Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,,163.0,,454.0,143.0,,82.0,97.0,110.0,127.0,143.0,173.0,,243.0,93.0,9,state_total,CONNECTICUT TOTAL,,,state_aggregate,False,False
MAINE TOTAL,57,18.0,46.0,265.0,121.0,47.0,,85.0,97.0,114.0,130.0,145.0,154.0,171.0,92.1,9,state_total,MAINE TOTAL,,,state_aggregate,False,False
MASSACHUSETS TOT AL,57,372.0,20.0,472.0,117.0,52.0,70.0,83.0,94.0,106.0,121.0,,159.0,195.0,89.8,9,,MASSACHUSETS TOT AL,,0.0,unmatched,False,False
NEW HAMPSHRE TOT AL,57,17.0,,152.0,70.0,44.0,47.0,52.0,58.0,65.0,68.0,73.0,97.0,105.0,92.9,9,,NEW HAMPSHRE TOT AL,,0.0,unmatched,False,False
HODE ISL A NO TOT AL,54 57,73.0,17.0,289.0,97.0,34.0,47.0,69.0,80.0,88.0,103.0,117.0,132.0,171.0,93.0,9,,HODE ISL A NO TOT AL,,0.0,unmatched,True,False
ERMONT T 0 TAL,57,26.0,24.0,83.0,,34.0,36.0,40.0,44.0,49.0,55.0,65.0,72.0,76.0,93.5,9,,ERMONT T 0 TAL,,0.0,unmatched,False,False
DELAWARE TOTAL,57,28.0,77.0,481.0,188.0,94.0,110.0,119.0,138.0,162.0,186.0,236.0,264.0,311.0,92.9,9,state_total,DELAWARE TOTAL,,,state_aggregate,False,False
NEW JERSEY TOTAL,57,422.0,26.0,971.0,144.0,66.0,,96.0,111.0,126.0,141.0,163.0,,40.0,92.1,9,state_total,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,53 57,376.0,38.0,642.0,175.0,72.0,94.0,115.0,138.0,160.0,183.0,211.0,243.0,305.0,91.1,9,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
ENNSYLVA N 1A TOT AL,53 57,570.0,25.0,,206.0,85.0,113.0,138.0,159.0,182.0,207.0,233.0,273.0,343.0,92.2,9,,ENNSYLVA N 1A TOT AL,,0.0,unmatched,True,False
IS COLUM 8 LA TOT AL,53 57,154.0,41.0,459.0,140.0,76.0,95.0,106.0,120.0,131.0,142.0,159.0,180.0,2109.0,88.7,9,,IS COLUM 8 LA TOT AL,,0.0,unmatched,True,False
ENTUCKY T OTA,54 57,129.0,43.0,384.0,166.0,94.0,109.0,,137.0,153.0,170.0,,213.0,262.0,92.9,9,,ENTUCKY T OTA,,0.0,unmatched,True,False
ARYLAND T OTA,56 57,54.0,77.0,729.0,200.0,100.0,117.0,130.0,145.0,167.0,188.0,222.0,268.0,327.0,92.3,9,,Orlando,83.0,60.0,low_confidence,True,False
CCAROLT N A OTA,57,51.0,,322.0,111.0,58.0,65.0,79.0,91.0,101.0,114.0,,142.0,171.0,87.9,9,,CCAROLT N A OTA,,46.7,unmatched,False,False
VERTO RT C 0 T OTA,57,21.0,45.0,132.0,73.0,49.0,52.0,55.0,62.0,69.0,74.0,79.0,86.0,105.0,88.0,9,,VERTO RT C 0 T OTA,,0.0,unmatched,False,False
IRGT WIA T OTA,57,,50.0,232.0,106.0,65.0,76.0,,96.0,105.0,112.0,119.0,130.0,150.0,85.6,9,,IRGT WIA T OTA,,0.0,unmatched,False,False
4 EST VERG T NAN TOT AL,53 57,163.0,44.0,793.0,246.0,79.0,,125.0,153.0,186.0,244.0,320.0,,400.0,89.4,9,,4 EST VERG T NAN TOT AL,,0.0,unmatched,True,False
LABA MA T 0 TAL,57,25.0,50.0,285.0,129.0,65.0,81.0,89.0,100.0,117.0,145.0,161.0,171.0,201.0,92.1,9,,LABA MA T 0 TAL,,0.0,unmatched,False,False
LORI DA T 0 TAL,53 57,182.0,31.0,377.0,87.0,50.0,58.0,66.0,73.0,80.0,90.0,99.0,111.0,133.0,92.8,9,,LORI DA T 0 TAL,,0.0,unmatched,True,False
EORG LA T 0 TAL,57,,31.0,421.0,130.0,70.0,89.0,98.0,107.0,120.0,133.0,,168.0,208.0,89.1,9,,EORG LA T 0 TAL,,0.0,unmatched,False,False
P T OTA,57,24.0,15.0,198.0,76.0,21.0,49.0,53.0,60.0,65.0,76.0,86.0,105.0,145.0,91.9,9,,P T OTA,,0.0,unmatched,False,False
CA ROLIN A T OTA,57,53.0,46.0,285.0,109.0,59.0,76.0,83.0,90.0,97.0,103.0,129.0,142.0,171.0,90.3,9,,CA ROLIN A T OTA,,0.0,unmatched,False,False
ENNE SSEE TOT AL,54 57,260.0,25.0,644.0,166.0,68.0,89.0,109.0,128.0,148.0,169.0,196.0,236.0,292.0,91.7,9,,ENNE SSEE TOT AL,,0.0,unmatched,True,False
ILLINOIS TOTAL,54 57,476.0,14.0,865.0,,77.0,,141.0,170.0,199.0,234.0,268.0,313.0,388.0,82.9,9,state_total,ILLINOIS TOTAL,,,state_aggregate,True,False
ND 1A NAN T 0 TAL,55 57,307.0,13.0,978.0,220.0,93.0,117.0,137.0,162.0,189.0,220.0,261.0,312.0,389.0,90.7,9,,ND 1A NAN T 0 TAL,,0.0,unmatched,True,False
MICHIGAN TOTAL,53 57,240.0,23.0,743.0,173.0,56.0,84.0,101.0,115.0,136.0,158.0,189.0,234.0,340.0,87.7,9,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
0 HD 0 TOTA,53 57,607.0,17.0,656.0,157.0,72.0,90.0,108.0,123.0,139.0,157.0,179.0,211.0,270.0,90.1,9,,0 HD 0 TOTA,,0.0,unmatched,True,False
IS CONSIN TOT AL,57,48.0,56.0,367.0,153.0,71.0,100.0,112.0,123.0,137.0,154.0,176.0,196.0,253.0,89.5,9,,IS CONSIN TOT AL,,0.0,unmatched,False,False
IOWA TOTAL,57,26.0,77.0,458.0,176.0,94.0,,123.0,150.0,166.0,181.0,191.0,210.0,227.0,94.1,9,state_total,IOWA TOTAL,,,state_aggregate,False,False
AN SA S TO TAL,55 57,83.0,30.0,470.0,146.0,58.0,72.0,89.0,101.0,123.0,141.0,175.0,213.0,2988.0,86.7,9,,Kansas City,142.0,60.0,low_confidence,True,False
IN NE SOTA TOT AL,53 57,254.0,25.0,722.0,122.0,61.0,77.0,90.0,100.0,110.0,121.0,135.0,,100.0,91.9,9,,IN NE SOTA TOT AL,,0.0,unmatched,True,False
MISSOURI TOTAL,53 57,414.0,12.0,800.0,181.0,70.0,98.0,120.0,143.0,170.0,190.0,214.0,245.0,301.0,87.3,9,state_total,MISSOURI TOTAL,,,state_aggregate,True,False
NEBRASKA TOTAL,57,52.0,65.0,248.0,127.0,81.0,92.0,101.0,109.0,119.0,130.0,141.0,166.0,191.0,89.7,9,state_total,NEBRASKA TOTAL,,,state_aggregate,False,False
NOR TH DAK OTA TOTAL,57,24.0,51.0,220.0,109.0,535.0,,74.0,94.0,105.0,117.0,132.0,141.0,171.0,93.2,9,,NOR TH DAK OTA TOTAL,,0.0,unmatched,False,False
SOU TH DAK OTA TOTAL,57,26.0,51.0,169.0,87.0,53.0,58.0,69.0,76.0,82.0,87.0,94.0,111.0,123.0,89.2,9,,SOU TH DAK OTA TOTAL,,0.0,unmatched,False,False
ARKANSAS TOTAL,57,26.0,34.0,170.0,83.0,42.0,47.0,60.0,63.0,76.0,86.0,97.0,123.0,134.0,93.9,9,state_total,ARKANSAS TOTAL,,,state_aggregate,False,False
LOU LANA TOT AL,54 57,240.0,16.0,775.0,94.0,42.0,53.0,61.0,71.0,81.0,89.0,101.0,120.0,159.0,91.8,9,,LOU LANA TOT AL,,0.0,unmatched,True,False
NEW MEXICO TOTAL,57,22.0,114.0,375.0,201.0,123.0,145.0,161.0,171.0,183.0,195.0,213.0,257.0,327.0,94.5,9,state_total,NEW MEXICO TOTAL,,,state_aggregate,False,False
OKLAHOMA TOTAL,57,20.0,22.0,268.0,87.0,40.0,49.0,52.0,55.0,72.0,83.0,97.0,123.0,145.0,91.2,9,state_total,OKLAHOMA TOTAL,,,state_aggregate,False,False
TEX AS TOT AL,53 57,575.0,10.0,2928.0,142.0,64.0,76.0,90.0,104.0,115.0,130.0,150.0,175.0,233.0,95.1,9,,TEX AS TOT AL,,0.0,unmatched,True,False
COLORADO TOTAL,54 57,1435.0,15.0,593.0,153.0,76.0,94.0,107.0,119.0,135.0,151.0,173.0,206.0,,91.4,9,state_total,COLORADO TOTAL,,,state_aggregate,True,False
HO TOT AL,57,34.0,48.0,207.0,118.0,68.0,79.0,89.0,102.0,110.0,118.0,132.0,145.0,191.0,93.2,9,,HO TOT AL,,0.0,unmatched,False,False
MONTANA TOTAL,57,25.0,17.0,466.0,109.0,25.0,34.0,40.0,62.0,,105.0,129.0,140.0,236.0,93.6,9,state_total,MONTANA TOTAL,,,state_aggregate,False,False
UTAH TOTAL,53 57,129.0,54.0,,176.0,87.0,121.0,,130.0,146.0,163.0,183.0,215.0,321.0,90.3,9,state_total,UTAH TOTAL,,,state_aggregate,True,False
WYOMING TOTAL,57,27.0,22.0,130.0,56.0,29.0,32.0,47.0,51.0,55.0,58.0,63.0,71.0,76.0,89.9,9,state_total,WYOMING TOTAL,,,state_aggregate,False,False
ALASKA TOTAL,57,127.0,,3112.0,240.0,45.0,63.0,89.0,123.0,158.0,198.0,264.0,333.0,473.0,90.7,9,state_total,ALASKA TOTAL,,,state_aggregate,False,False
ARIZONA TOTAL,57,26.0,119.0,488.0,246.0,134.0,,166.0,201.0,227.0,257.0,278.0,327.0,419.0,93.6,9,state_total,ARIZONA TOTAL,,,state_aggregate,False,False
CALIFORNIA TOTAL,53 57,690.0,11.0,991.0,146.0,2.0,74.0,90.0,109.0,127.0,149.0,171.0,200.0,266.0,93.2,9,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
HAWAII TOTAL,56 57,62.0,20.0,87.0,39.0,26.0,28.0,31.0,32.0,34.0,37.0,39.0,47.0,65.0,95.5,9,state_total,HAWAII TOTAL,,,state_aggregate,True,False
NEVADA TOTAL,57,27.0,54.0,468.0,164.0,114.0,1253.0,,140.0,149.0,156.0,167.0,191.0,250.0,91.2,9,state_total,NEVADA TOTAL,,,state_aggregate,False,False
OREGON TOTAL,53 57,278.0,26.0,632.0,141.0,56.0,71.0,87.0,99.0,114.0,135.0,160.0,187.0,266.0,91.4,9,state_total,OREGON TOTAL,,,state_aggregate,True,False
WASHINGTON TOTAL,57,25.0,41.0,446.0,124.0,,60.0,89.0,108.0,117.0,1235.0,,154.0,201.0,90.2,9,state_total,WASHINGTON TOTAL,,,state_aggregate,False,False
NEW ENGLAND TOTAL,,669.0,,472.0,,,,,92.0,104.0,121.0,138.0,163.0,203.0,92.7,10,region_total,NEW ENGLAND TOTAL,,,skip,False,False
MID ATLANTIC TOTAL,53,2398.0,25.0,1011.0,191.0,78.0,101.0,125.0,,168.0,193.0,,258.0,320.0,91.9,10,region_total,MID ATLANTIC TOTAL,,,skip,False,False
MID EAST TOTAL,53 57,623.0,28.0,793.0,170.0,72.0,92.0,106.0,121.0,137.0,155.0,180.0,221.0,317.0,92.4,10,region_total,MID EAST TOTAL,,,skip,True,False
SOUTH EAST TOTAL,57,758.0,15.0,644.0,129.0,57.0,72.0,85.0,97.0,110.0,127.0,148.0,173.0,226.0,92.2,10,region_total,SOUTH EAST TOTAL,,,skip,False,False
MID WEST TOTAL,53 57,1705.0,13.0,978.0,,74.0,97.0,117.0,137.0,159.0,186.0,,268.0,344.0,94.2,10,region_total,MID WEST TOTAL,,,skip,True,False
GREAT PLAINS TOTAL,57,879.0,12.0,800.0,152.0,65.0,83.0,99.0,114.0,131.0,151.0,179.0,200.0,262.0,91.2,10,region_total,GREAT PLAINS TOTAL,,,skip,False,False
GULF SOUTH TOTAL,53 57,883.0,10.0,2928.0,128.0,52.0,67.0,79.0,91.0,105.0,118.0,138.0,163.0,214.0,92.2,10,region_total,GULF SOUTH TOTAL,,,skip,True,False
ROCKY MOUNTAIN TOTAL,53 57,358.0,15.0,1070.0,148.0,59.0,81.0,97.0,111.0,126.0,142.0,167.0,194.0,264.0,88.0,10,region_total,ROCKY MOUNTAIN TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,53 57,1235.0,,3112.0,153.0,44.0,66.0,85.0,104.0,123.0,146.0,170.0,205.0,290.0,93.4,10,region_total,PACIFIC COAST TOTAL,,,skip,True,False
