Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,,,40.0,4400.0,,63.0,186.0,408.0,550.0,,,,,,88.6,217,state_total,CONNECTICUT TOTAL,,,state_aggregate,False,False
MASSACHUSETTS TOTAL,55,49.0,,1100.0,75.0,1.0,6.0,9.0,13.0,,27.0,,96.0,124.0,92.2,217,state_total,MASSACHUSETTS TOTAL,,,state_aggregate,False,False
NEW JERSEY TOTAL,56,,,2100.0,6.0,10.0,16.0,,30.0,40.0,53.0,72.0,129.0,153.0,93.9,217,state_total,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,54 56,36.0,6.0,4600.0,693.0,29.0,37.0,83.0,129.0,186.0,208.0,267.0,,1946.0,92.7,217,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,55 56,265.0,,4400.0,98.0,9.0,17.0,23.0,29.0,38.0,51.0,66.0,93.0,171.0,93.6,217,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,True,False
OTS COLUMBIA TOTAL,55 56,17.0,10.0,140.0,45.0,20.0,22.0,31.0,39.0,42.0,43.0,47.0,53.0,63.0,92.2,217,,Columbia,90.0,61.5,low_confidence,True,False
KENTUCKY TOTAL,54 55,62.0,,540.0,56.0,1.0,6.0,15.0,26.0,29.0,49.0,61.0,86.0,142.0,93.0,217,state_total,KENTUCKY TOTAL,,,state_aggregate,True,False
MARYLAND TOTAL,57,18.0,,170.0,61.0,1.0,41.0,44.0,49.0,53.0,63.0,75.0,83.0,108.0,90.9,217,state_total,MARYLAND TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOTAL,55,16.0,,40.0,13.0,1.0,7.0,8.0,,,10.0,19.0,21.0,22.0,95.0,217,,WEST VIRGINA TOTAL,,0.0,unmatched,False,False
FLORIDA TOTAL,,21.0,,70.0,16.0,,1.0,6.0,,10.0,13.0,20.0,22.0,31.0,94.2,217,state_total,FLORIDA TOTAL,,,state_aggregate,False,False
GEORGIA TOTAL,55 56,16.0,4.0,3200.0,374.0,7.0,22.0,44.0,58.0,69.0,90.0,186.0,459.0,659.0,90.9,217,state_total,GEORGIA TOTAL,,,state_aggregate,True,False
TENNESSEE TOTAL,56,32.0,,170.0,42.0,4.0,9.0,19.0,,29.0,41.0,46.0,58.0,119.0,94.7,217,state_total,TENNESSEE TOTAL,,,state_aggregate,False,False
TOTAL,55 56,106.0,7.0,4900.0,522.0,27.0,42.0,75.0,102.0,138.0,181.0,297.0,520.0,1731.0,92.6,217,,TOTAL,,,state_aggregate,True,False
INDEANA TOTAL,55 56,,7.0,5000.0,343.0,21.0,44.0,66.0,77.0,104.0,142.0,162.0,294.0,659.0,88.6,217,,Indianapolis,113.0,64.0,low_confidence,True,False
OHIO TOTAL,57,34.0,6.0,2400.0,418.0,31.0,63.0,90.0,124.0,155.0,223.0,,459.0,1132.0,86.2,217,state_total,OHIO TOTAL,,,state_aggregate,False,False
WISCONSIN TOTAL,57,19.0,,140.0,45.0,,,1.0,,53.0,56.0,,83.0,129.0,89.2,217,state_total,WISCONSIN TOTAL,,,state_aggregate,False,False
MINNESOTA TOTAL,54 55,21.0,,90.0,30.0,9.0,10.0,10.0,,29.0,31.0,40.0,43.0,53.0,93.5,217,state_total,MINNESOTA TOTAL,,,state_aggregate,True,False
MISSOURI TOTAL,55 56,50.0,,2900.0,156.0,10.0,26.0,42.0,56.0,75.0,88.0,108.0,195.0,267.0,93.7,217,state_total,MISSOURI TOTAL,,,state_aggregate,True,False
LOUISIANA TOTAL,54,46.0,,430.0,22.0,,,1.0,,,,10.0,,44.0,94.4,217,state_total,LOUISIANA TOTAL,,,state_aggregate,False,False
TEXAS TOTAL,54,119.0,,300.0,34.0,1.0,4.0,6.0,10.0,18.0,24.0,41.0,54.0,90.0,93.6,217,state_total,TEXAS TOTAL,,,state_aggregate,False,False
COLORADO TOTAL,54 55,23.0,6.0,290.0,79.0,10.0,29.0,31.0,50.0,58.0,63.0,99.0,115.0,155.0,94.0,217,state_total,COLORADO TOTAL,,,state_aggregate,True,False
UTAH TOTAL,54 55,30.0,,280.0,66.0,9.0,21.0,29.0,42.0,53.0,61.0,69.0,119.0,146.0,93.4,217,state_total,UTAH TOTAL,,,state_aggregate,True,False
ALASKA TOTAL,54 55,,,642.0,72.0,1.0,1.0,9.0,10.0,19.0,22.0,44.0,63.0,186.0,93.7,217,state_total,ALASKA TOTAL,,,state_aggregate,True,False
CALIFORNIA TOTAL,54 56,109.0,,950.0,68.0,1.0,4.0,9.0,,31.0,42.0,,2.0,129.0,93.1,217,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TOTAL,54 55,20.0,,890.0,269.0,22.0,44.0,63.0,90.0,155.0,,320.0,550.0,659.0,94.1,217,state_total,OREGON TOTAL,,,state_aggregate,True,False
WASHINGTON TOTAL,57,20.0,46.0,170.0,78.0,55.0,58.0,61.0,66.0,72.0,78.0,,90.0,119.0,93.1,217,state_total,WASHINGTON TOTAL,,,state_aggregate,False,False
NEW ENGLAND TOTAL,55 56,,,4400.0,649.0,6.0,10.0,21.0,40.0,90.0,129.0,459.0,,2793.0,88.7,217,region_total,NEW ENGLAND TOTAL,,,skip,True,False
MED ATLNTC TOTAL,54 56,424.0,,4600.0,146.0,10.0,17.0,295.0,,41.0,56.0,,124.0,219.0,90.1,217,,MED ATLNTC TOTAL,,0.0,unmatched,True,False
MID EAST TOTAL,54 57,113.0,,540.0,49.0,1.0,8.0,18.0,26.0,31.0,,5.0,71.0,129.0,90.5,217,region_total,MID EAST TOTAL,,,skip,True,False
SOUTH EAST TOTAL,55 56,69.0,,3200.0,111.0,3.0,7.0,10.0,20.0,27.0,39.0,,,155.0,90.6,217,region_total,SOUTH EAST TOTAL,,,skip,True,False
MID WEST TOTAL,55 57,245.0,,5000.0,408.0,19.0,42.0,64.0,84.0,118.0,,23.0,,1132.0,94.4,217,region_total,MID WEST TOTAL,,,skip,True,False
GREAT PLAINS TOTAL,54 56,71.0,,2900.0,119.0,9.0,19.0,28.0,39.0,49.0,69.0,,,223.0,90.7,217,region_total,GREAT PLAINS TOTAL,,,skip,True,False
GULF SOUTH TOTAL,54 55,165.0,,430.0,31.0,,1.0,5.0,,10.0,20.0,,0.0,34.0,90.4,217,region_total,GULF SOUTH TOTAL,,,skip,True,False
ROCKY MNTN TOTAL,54 55,53.0,6.0,290.0,72.0,10.0,27.0,30.0,46.0,56.0,62.0,,116.0,149.0,94.2,217,,ROCKY MNTN TOTAL,,0.0,unmatched,True,False
PACIFIC COAST TOTAL,54 57,170.0,,950.0,94.0,1.0,8.0,18.0,30.0,43.0,56.0,,108.0,,94.2,217,region_total,PACIFIC COAST TOTAL,,,skip,True,False
RAND TOTAL,54 57,1395.0,,5000.0,189.0,5.0,10.0,,30.0,45.0,,8.0,140.0,301.0,93.7,217,,RAND TOTAL,,0.0,unmatched,True,False
