Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
NEW YORK NOY,,54 55,,,109.0,24.0,1.0,5.0,,18.0,24.0,25.0,28.0,32.0,54.0,89.2,180,,New York,30,91.7,high_confidence,True,False
PHILADELPHIA PA,,54,10.0,,52.0,14.0,1.0,1.0,7.0,10.0,13.0,14.0,15.0,15.0,19.0,95.0,180,,Philadelphia,41,100.0,exact,False,False
WASHINGTON DC,,54 55,28.0,,26.0,6.0,,,1.0,1.0,1.0,4.0,,15.0,20.0,91.0,180,,Washington,61,96.3,high_confidence,True,False
LOUESVILLE KY,,54,6.0,,14.0,6.0,1.0,1.0,1.0,1.0,3.0,7.0,,13.0,13.0,93.6,180,,Louisville,64,92.3,high_confidence,False,False
CHARLESTON W VA,1,54,7.0,,65.0,22.0,1.0,1.0,1.0,19.0,21.0,21.0,26.0,29.0,29.0,92.4,180,,Charleston,77,100.0,exact,False,False
TAMPA FLA,1,54,8.0,,35.0,13.0,1.0,1.0,1.0,4.0,5.0,6.0,23.0,23.0,34.0,95.0,180,,Tampa,84,100.0,exact,False,False
ATLANTA GA,1,54,8.0,,25.0,10.0,1.0,1.0,1.0,4.0,8.0,9.0,17.0,17.0,23.0,95.4,180,,Atlanta,85,100.0,exact,False,False
CHICAGO PLL,1,54,3.0,1.0,,5.0,,1.0,1.0,1.0,5.0,5.0,,5.0,11.0,91.5,180,,Chicago,99,95.5,high_confidence,False,False
CHICAGO PLL,2,54 55,35.0,,119.0,34.0,1.0,15.0,23.0,28.0,33.0,36.0,45.0,48.0,60.0,94.1,180,,Chicago,100,95.5,high_confidence,True,False
CHICAGO PLL,3,54,3.0,,,,,,,,1.0,,,1.0,1.0,95.5,180,,Chicago,101,95.5,high_confidence,False,False
CHICAGO PLL,,54 55,41.0,,119.0,29.0,1.0,4.0,11.0,19.0,29.0,34.0,42.0,47.0,54.0,93.1,180,,Chicago,99,90.9,high_confidence,True,False
DETROIT MICH,1,53,21.0,10.0,67.0,33.0,3.0,16.0,17.0,19.0,31.0,36.0,44.0,57.0,60.0,88.6,180,,Detroit,115,100.0,exact,False,False
DETROIT MICH,1,54,11.0,2.0,,77.0,2.0,10.0,32.0,44.0,91.0,101.0,107.0,112.0,138.0,91.8,180,,Detroit,115,100.0,exact,False,False
DETROIT MICH,1,53 54,32.0,2.0,172.0,48.0,10.0,16.0,19.0,30.0,36.0,44.0,59.0,74.0,107.0,93.5,180,,Detroit,115,100.0,exact,True,False
CINCINNATI OHIO,1,54,60.0,,55.0,4.0,,,1.0,1.0,1.0,2.0,,7.0,190.0,91.3,180,,Cincinnati,126,93.3,high_confidence,False,False
CINCINNATI OHIO,1,55,4.0,19.0,37.0,26.0,,19.0,19.0,25.0,,23.0,26.0,26.0,40.0,92.9,180,,Cincinnati,126,93.3,high_confidence,False,False
