Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
ONNECT T OTAL,55 56,36.0,,10.0,3.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,4.0,5.0,92.5,200,,ONNECT T OTAL,,0.0,unmatched,True,False
ASSACH U SS TS TOTAL,55,49.0,,20.0,2.0,,,1.0,1.0,1.0,1.0,2.0,2.0,,89.1,200,,ASSACH U SS TS TOTAL,,0.0,unmatched,False,False
EW JER TO TAL,55,130.0,,61.0,2.0,,,1.0,1.0,1.0,,2.0,3.0,,92.5,200,,EW JER TO TAL,,0.0,unmatched,False,False
EW YOR K OTA,54 56,73.0,,61.0,9.0,,1.0,1.0,2.0,3.0,,5.0,14.0,37.0,93.2,200,,New York,30.0,70.0,low_confidence,True,False
ENNSYL LA TOTAL,54 56,275.0,,68.0,3.0,,,1.0,1.0,1.0,2.0,3.0,3.0,4.0,88.2,200,,ENNSYL LA TOTAL,,0.0,unmatched,True,False
I COL U TOTAL,54 56,46.0,,98.0,8.0,,,1.0,1.0,2.0,2.0,3.0,5.0,20.0,89.6,200,,I COL U TOTAL,,0.0,unmatched,True,False
ENTUC K OTA,54 55,67.0,,15.0,3.0,,1.0,1.0,2.0,2.0,3.0,4.0,,9.0,93.9,200,,ENTUC K OTA,,0.0,unmatched,True,False
ARYLA N OT.A,57,18.0,2.0,33.0,9.0,3.0,5.0,6.0,7.0,8.0,,9.0,11.0,12.0,94.2,200,,Atlanta,85.0,63.2,low_confidence,False,False
WEST VV I NAN TOTAL,54,27.0,,106.0,19.0,2.0,4.0,5.0,7.0,10.0,14.0,19.0,20.0,30.0,86.8,200,,WEST VV I NAN TOTAL,,0.0,unmatched,False,False
TAL,54 55,28.0,,9.0,,,,,,1.0,,1.0,1.0,1.0,92.7,200,,TAL,,0.0,unmatched,True,False
0 TAL,54 56,22.0,1.0,55.0,8.0,1.0,2.0,3.0,3.0,4.0,4.0,6.0,9.0,18.0,93.8,200,,0 TAL,,0.0,unmatched,True,False
