Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
NEW JERSEY TOTAL,,,,,,,1.0,1.0,3.0,3.0,4.0,4.0,7.0,11.0,95.3,185,state_total,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,54 55,34.0,,43.0,6.0,,,1.0,1.0,2.0,4.0,6.0,9.0,18.0,95.1,185,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54,10.0,,49.0,,,1.0,1.0,1.0,4.0,5.0,8.0,20.0,33.0,95.1,185,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,False,False
D.C. TOTAL,54 55,2.0,,61.0,12.0,3.0,4.0,5.0,,10.0,11.0,,16.0,20.0,87.9,185,state_total,D.C. TOTAL,,0.0,unmatched,True,False
KENTUCKY TOTAL,54,5.0,,,,,,,,1.0,,1.0,,1.0,94.1,185,state_total,KENTUCKY TOTAL,,,state_aggregate,False,False
WEST VIERGINA TOTAL,54,6.0,,36.0,13.0,1.0,1.0,1.0,1.0,5.0,6.0,,33.0,33.0,91.4,185,,WEST VIERGINA TOTAL,,0.0,unmatched,False,False
FLORIDA TOTAL,54,7.0,,11.0,6.0,1.0,1.0,3.0,,7.0,7.0,8.0,10.0,10.0,91.7,185,state_total,FLORIDA TOTAL,,,state_aggregate,False,False
GEORGIA TOTAL,54,5.0,,14.0,6.0,3.0,3.0,3.0,3.0,4.0,4.0,7.0,7.0,14.0,94.3,185,state_total,GEORGIA TOTAL,,,state_aggregate,False,False
TOTAL,54 55,41.0,,13.0,3.0,,,1.0,1.0,2.0,4.0,6.0,,10.0,94.7,185,,TOTAL,,,state_aggregate,True,False
MICHIGAN TOTAL,54,33.0,,57.0,25.0,3.0,,13.0,18.0,28.0,29.0,32.0,37.0,44.0,93.2,185,state_total,MICHIGAN TOTAL,,,state_aggregate,False,False
OHIO TOTAL,54 55,116.0,,34.0,5.0,,,1.0,1.0,1.0,5.0,9.0,12.0,16.0,93.6,185,state_total,OHIO TOTAL,,,state_aggregate,True,False
MINNESOTA TOTAL,54,15.0,,18.0,4.0,,,1.0,1.0,1.0,2.0,,,16.0,95.0,185,state_total,MINNESOTA TOTAL,,,state_aggregate,False,False
MISSOURI TOTAL,,11.0,,50.0,18.0,1.0,1.0,2.0,3.0,21.0,22.0,24.0,27.0,48.0,93.9,185,state_total,MISSOURI TOTAL,,,state_aggregate,False,False
LOUISIANA TOTAL,54,4.0,,,,,,,1.0,1.0,1.0,1.0,,1.0,92.9,185,state_total,LOUISIANA TOTAL,,,state_aggregate,False,False
TEXAS TOTAL,54,29.0,,59.0,19.0,1.0,2.0,5.0,9.0,11.0,27.0,30.0,32.0,45.0,90.0,185,state_total,TEXAS TOTAL,,,state_aggregate,False,False
COLORADO TOTAL,54,3.0,,,2.0,,1.0,1.0,,3.0,3.0,3.0,,4.0,95.8,185,state_total,COLORADO TOTAL,,,state_aggregate,False,False
UTAH TOTAL,54,5.0,,22.0,4.0,,,1.0,,1.0,1.0,1.0,1.0,22.0,92.1,185,state_total,UTAH TOTAL,,,state_aggregate,False,False
ALASKA TOTAL,54 55,25.0,,64.0,23.0,1.0,1.0,7.0,20.0,23.0,25.0,33.0,39.0,50.0,94.6,185,state_total,ALASKA TOTAL,,,state_aggregate,True,False
CALIFORNIA TOTAL,54 55,112.0,,108.0,7.0,,,1.0,1.0,1.0,3.0,4.0,,20.0,93.5,185,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TOTAL,54,54.0,,20.0,2.0,,,,1.0,1.0,1.0,3.0,,8.0,94.9,185,state_total,OREGON TOTAL,,,state_aggregate,False,False
M10 ATLNTC TOT AL,54 55,54.0,,49.0,7.0,,,1.0,1.0,3.0,4.0,6.0,10.0,20.0,92.0,185,,M10 ATLNTC TOT AL,,0.0,unmatched,True,False
MID EAST TOTAL,54 55,40.0,,61.0,10.0,1.0,1.0,4.0,5.0,6.0,10.0,12.0,16.0,27.0,94.3,185,region_total,MID EAST TOTAL,,,skip,True,False
SQUTH EAST TOT AL,54,12.0,,14.0,6.0,1.0,2.0,3.0,4.0,5.0,7.0,7.0,10.0,11.0,92.4,185,,SQUTH EAST TOT AL,,0.0,unmatched,False,False
MID WEST TOTAL,53,190.0,,57.0,8.0,,,1.0,1.0,3.0,6.0,11.0,14.0,27.0,93.3,185,region_total,MID WEST TOTAL,,,skip,False,False
GRT PLAINS TOT AL,54,26.0,,50.0,10.0,,1.0,1.0,1.0,3.0,6.0,13.0,21.0,24.0,93.1,185,,GRT PLAINS TOT AL,,0.0,unmatched,False,False
GULF SOUTH TOT AL,54,33.0,,59.0,17.0,,1.0,2.0,,10.0,22.0,29.0,32.0,45.0,94.8,185,,GULF SOUTH TOT AL,,,skip,False,False
ROCKY MNTN TOT AL,54,,,22.0,3.0,,,,1.0,1.0,1.0,3.0,3.0,4.0,94.4,185,,ROCKY MNTN TOT AL,,0.0,unmatched,False,False
PACIFIC COAST TOTAL,54 55,191.0,,108.0,8.0,,,1.0,1.0,1.0,3.0,,15.0,25.0,94.3,185,region_total,PACIFIC COAST TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,53 55,554.0,,108.0,8.0,,,1.0,1.0,3.0,5.0,,15.0,28.0,94.4,185,,PACIFIC COAST TOTAL,,,skip,True,False
