Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,,,,383.0,197.0,108.0,,146.0,162.0,,213.0,235.0,278.0,302.0,91.8,94,state_total,CONNECTICUT TOTAL,,,state_aggregate,False,False
MASSACHUSETTS TOTAL,55,,32.0,225.0,93.0,39.0,52.0,63.0,74.0,86.0,95.0,119.0,131.0,151.0,91.3,94,state_total,MASSACHUSETTS TOTAL,,,state_aggregate,False,False
NEW HAMPSHRE TOTAL,57,17.0,22.0,273.0,103.0,34.0,60.0,79.0,91.0,96.0,99.0,104.0,128.0,136.0,93.9,94,,NEW HAMPSHRE TOTAL,,0.0,unmatched,False,False
NEW JERSEY TOTAL,55 56,130.0,,434.0,169.0,80.0,97.0,124.0,134.0,161.0,178.0,200.0,239.0,248.0,91.5,94,state_total,NEW JERSEY TOTAL,,,state_aggregate,True,False
NEW YORK TOTAL,54 57,99.0,,510.0,228.0,85.0,140.0,170.0,205.0,241.0,260.0,283.0,310.0,363.0,93.8,94,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54 57,548.0,,878.0,224.0,88.0,117.0,147.0,173.0,200.0,,259.0,298.0,394.0,94.6,94,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,True,False
D.C. TOTAL,54 56,46.0,4.0,274.0,107.0,4.0,8.0,26.0,74.0,108.0,136.0,156.0,196.0,235.0,93.7,94,state_total,D.C. TOTAL,,0.0,unmatched,True,False
KENTUCKY TOTAL,54 57,72.0,2.0,415.0,148.0,9.0,69.0,98.0,122.0,142.0,164.0,190.0,229.0,280.0,93.5,94,state_total,KENTUCKY TOTAL,,,state_aggregate,True,False
MARYLAND TOTAL,57,19.0,10.0,254.0,120.0,32.0,,91.0,104.0,119.0,136.0,146.0,156.0,235.0,95.0,94,state_total,MARYLAND TOTAL,,,state_aggregate,False,False
NO CAROLI NAN TOTAL,57,25.0,29.0,,76.0,30.0,45.0,60.0,69.0,81.0,85.0,91.0,100.0,114.0,93.4,94,,NO CAROLI NAN TOTAL,,0.0,unmatched,False,False
VIRGINIA TOTAL,57,23.0,62.0,234.0,,91.0,,108.0,115.0,125.0,130.0,136.0,156.0,205.0,93.8,94,state_total,VIRGINIA TOTAL,,,state_aggregate,False,False
WEST VIRG INA TOTAL,54 57,28.0,,461.0,166.0,4.0,5.0,60.0,91.0,136.0,205.0,270.0,,356.0,93.7,94,,WEST VIRG INA TOTAL,,0.0,unmatched,True,False
FLORIDA TOTAL,54 57,35.0,,173.0,69.0,3.0,6.0,26.0,64.0,74.0,85.0,104.0,115.0,136.0,92.6,94,state_total,FLORIDA TOTAL,,,state_aggregate,True,False
GEORGIA TOTAL,54 56,26.0,1.0,332.0,69.0,3.0,5.0,,39.0,69.0,83.0,91.0,112.0,128.0,94.8,94,state_total,GEORGIA TOTAL,,,state_aggregate,True,False
TENNESSEE TOT AL,55 57,57.0,,321.0,104.0,31.0,49.0,74.0,86.0,104.0,113.0,129.0,145.0,156.0,94.4,94,,TENNESSEE TOT AL,,0.0,unmatched,True,False
ILLINOIS TOTAL,54 57,151.0,,540.0,1953.0,79.0,111.0,130.0,149.0,177.0,205.0,241.0,285.0,333.0,87.5,94,state_total,ILLINOIS TOTAL,,,state_aggregate,True,False
T OTAL,55 57,111.0,32.0,492.0,193.0,88.0,110.0,124.0,144.0,172.0,194.0,228.0,261.0,338.0,94.0,94,,T OTAL,,0.0,unmatched,True,False
MICHIGAN TOTAL,53 54,33.0,,462.0,82.0,1.0,4.0,,,63.0,104.0,123.0,136.0,192.0,92.9,94,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
OHIO TOTAL,54 57,221.0,1.0,395.0,98.0,5.0,8.0,16.0,38.0,79.0,114.0,145.0,179.0,229.0,93.2,94,state_total,OHIO TOTAL,,,state_aggregate,True,False
WISCONSIN TOT AL,57,19.0,22.0,274.0,116.0,45.0,79.0,91.0,96.0,101.0,104.0,119.0,146.0,220.0,90.2,94,,WISCONSIN TOT AL,,55.2,unmatched,False,False
1OWA TOTAL,57,26.0,35.0,425.0,123.0,52.0,60.0,81.0,86.0,98.0,119.0,136.0,168.0,205.0,92.2,94,,1OWA TOTAL,,0.0,unmatched,False,False
ANSAS TOTAL,57,25.0,27.0,167.0,63.0,30.0,41.0,45.0,52.0,60.0,63.0,68.0,79.0,119.0,94.6,94,,Kansas City,150.0,64.0,low_confidence,False,False
INNESOTA TOT AL,54 55,35.0,3.0,317.0,74.0,4.0,8.0,12.0,20.0,69.0,85.0,119.0,132.0,156.0,93.0,94,,INNESOTA TOT AL,,0.0,unmatched,True,False
TOTA L,54 56,65.0,2.0,439.0,140.0,6.0,30.0,69.0,96.0,119.0,,210.0,240.0,290.0,93.3,94,,TOTA L,,0.0,unmatched,True,False
ORTH DAKOTA TOTAL,57,23.0,18.0,142.0,48.0,19.0,28.0,34.0,37.0,43.0,52.0,56.0,60.0,79.0,92.8,94,,ORTH DAKOTA TOTAL,,0.0,unmatched,False,False
OUISIANA TOT AL,57,54.0,1.0,136.0,60.0,9.0,27.0,41.0,,59.0,66.0,79.0,91.0,112.0,90.8,94,,OUISIANA TOT AL,,0.0,unmatched,False,False
0 KLAHOMA TOTA L,,19.0,8.0,126.0,56.0,20.0,34.0,40.0,43.0,45.0,52.0,69.0,79.0,98.0,90.8,94,,Oklahoma City,167.0,68.8,low_confidence,False,False
EXAS TOTAL,54 57,73.0,,336.0,71.0,2.0,13.0,36.0,48.0,61.0,73.0,89.0,109.0,146.0,94.5,94,,EXAS TOTAL,,0.0,unmatched,True,False
OLORADO TOTA L,54 55,26.0,2.0,273.0,61.0,4.0,23.0,45.0,47.0,51.0,65.0,72.0,82.0,88.0,90.6,94,,OLORADO TOTA L,,0.0,unmatched,True,False
DAHO TOTAL,57,1.0,14.0,14.0,14.0,,,,,14.0,14.0,14.0,14.0,14.0,94.8,94,,DAHO TOTAL,,0.0,unmatched,False,False
ONTANA TOTAL,57,1.0,9.0,,,,,,,,,,,,93.0,94,,ONTANA TOTAL,,0.0,unmatched,False,False
TAH TOTAL,54 55,31.0,,374.0,123.0,1.0,60.0,85.0,98.0,114.0,130.0,146.0,,247.0,93.9,94,,TAH TOTAL,,0.0,unmatched,True,False
YOMING TOTAL,57,26.0,26.0,123.0,54.0,34.0,39.0,46.0,48.0,,55.0,57.0,65.0,74.0,90.5,94,,YOMING TOTAL,,0.0,unmatched,False,False
LASKA TOTAL,54 55,41.0,,,42.0,1.0,2.0,,22.0,34.0,42.0,56.0,74.0,98.0,92.7,94,,LASKA TOTAL,,0.0,unmatched,True,False
ALIFORNIA TOTAL,54 57,261.0,,565.0,96.0,3.0,6.0,26.0,,71.0,94.0,122.0,172.0,,91.4,94,,ALIFORNIA TOTAL,,0.0,unmatched,True,False
AWA I TOTAL,57,26.0,25.0,184.0,50.0,28.0,30.0,36.0,38.0,42.0,47.0,50.0,60.0,69.0,86.9,94,,AWA I TOTAL,,0.0,unmatched,False,False
0 REGON TOTAL,54 55,74.0,1.0,388.0,110.0,7.0,10.0,55.0,84.0,100.0,119.0,146.0,,235.0,91.9,94,,0 REGON TOTAL,,0.0,unmatched,True,False
ASHINGTON TOTAL,57,20.0,,76.0,23.0,1.0,1.0,,8.0,15.0,18.0,30.0,45.0,69.0,94.8,94,,Washington,61.0,72.0,low_confidence,False,False
NEW ENGLAD TOT AL,55 57,104.0,22.0,383.0,130.0,49.0,66.0,,95.0,112.0,,151.0,189.0,258.0,92.9,94,,NEW ENGLAD TOT AL,,0.0,unmatched,True,False
M10 ATUNTC TOT AL,57,777.0,,878.0,215.0,85.0,115.0,143.0,169.0,,,256.0,2935.0,,88.9,94,,M10 ATUNTC TOT AL,,0.0,unmatched,False,False
MID EAST TOTAL,54 57,213.0,,461.0,129.0,,50.0,79.0,98.0,116.0,137.0,164.0,203.0,258.0,93.4,94,region_total,MID EAST TOTAL,,,skip,True,False
SOUTH EAST TOT AL,54 57,118.0,,332.0,86.0,5.0,26.0,50.0,72.0,84.0,99.0,114.0,129.0,149.0,93.1,94,,SOUTH EAST TOT AL,,,skip,True,False
MID WEST TOTAL,57,535.0,,5940.0,144.0,7.0,30.0,82.0,110.0,,156.0,189.0,229.0,292.0,92.1,94,region_total,MID WEST TOTAL,,,skip,False,False
