Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
NEW YORK N Y,,,,,,6.0,,,1.0,1.0,2.0,4.0,6.0,9.0,18.0,91.8,184,,New York,30,100.0,exact,False,False
PHILADELPHIA PA,,54,10.0,,49.0,11.0,,1.0,1.0,1.0,4.0,5.0,8.0,20.0,33.0,92.1,184,,Philadelphia,41,100.0,exact,False,False
WASHINGTON OC,,54 55,29.0,,61.0,12.0,3.0,4.0,5.0,7.0,10.0,11.0,13.0,16.0,20.0,93.1,184,,Washington,61,88.9,high_confidence,True,False
LOUISVILLE KY,,54,5.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,89.9,184,,Louisville,64,100.0,exact,False,False
CHARLESTON W VA,1,54,6.0,,36.0,13.0,1.0,1.0,1.0,,5.0,6.0,6.0,33.0,33.0,91.4,184,,Charleston,77,100.0,exact,False,False
TAMPA FLA,1,54,7.0,,11.0,6.0,1.0,1.0,3.0,5.0,7.0,7.0,8.0,10.0,10.0,93.8,184,,Tampa,84,100.0,exact,False,False
ATLANTA GA,1,54,5.0,3.0,14.0,6.0,3.0,3.0,3.0,3.0,4.0,4.0,7.0,,14.0,95.7,184,,Atlanta,85,100.0,exact,False,False
CHICAGO PEL,1,54,3.0,5.0,8.0,6.0,,5.0,5.0,5.0,7.0,7.0,7.0,7.0,8.0,87.5,184,,Chicago,99,85.9,high_confidence,False,False
CHICAGO PEL,2,54 55,35.0,,13.0,3.0,,,1.0,1.0,1.0,2.0,5.0,6.0,10.0,92.9,184,,Chicago,100,85.9,high_confidence,True,False
CHICAGO PEL,3,54,3.0,,11.0,6.0,,1.0,1.0,1.0,8.0,8.0,8.0,8.0,11.0,92.0,184,,Chicago,101,85.9,high_confidence,False,False
CHICAGO PEL,,54 55,41.0,,13.0,3.0,,,1.0,1.0,2.0,4.0,6.0,8.0,10.0,92.1,184,,Chicago,99,81.8,low_confidence,True,False
DETROIT MICH,1,53,20.0,1.0,57.0,33.0,13.0,24.0,28.0,29.0,32.0,35.0,41.0,43.0,45.0,90.7,184,,Detroit,115,100.0,exact,False,False
DETROIT MICH,1,54,9.0,4.0,31.0,17.0,4.0,11.0,13.0,13.0,16.0,16.0,18.0,22.0,27.0,95.6,184,,Detroit,115,100.0,exact,False,False
