Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,55 56,36.0,10.0,4.7,2.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0,2.0,3.0,4.0,7.0,5.0,7.0,10.0,10.0,8.0,10.0,10.0,10.0,,3.0,3.0,3.0,3.0,3.0,7.0,5.0,8.0,5.0,7.0,,,3.0,2.0,2.0,3.0,2.0,5.0,3.0,8.0,4.0,3.0,8.0,94.8,100.0,exact,118
BOSTON MASS,Boston,6.0,55,17.0,3.0,2.0,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,,1.0,,2.0,1.0,3.0,,1.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,,,,2.0,2.0,1.0,2.0,2.0,2.0,2.0,,3.0,,,,2.0,2.0,,2.0,2.0,2.0,2.0,,95.0,100.0,exact,118
EVERETT MASS,Everett,8.0,55,26.0,70.0,7.2,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,5.0,70.0,5.0,2.0,4.0,40.0,4.0,2.0,3.0,,20.0,3.0,3.0,24.0,2.0,2.0,4.0,16.0,2.0,1.0,2.0,,20.0,3.0,,,,2.0,4.0,2.0,,,2.0,,20.0,3.0,95.7,100.0,exact,118
ELIZABETH N J,Elizabeth,21.0,55 56,20.0,5.0,2.4,1.0,3.0,2.0,2.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,5.0,2.0,3.0,4.0,2.0,,1.0,5.0,3.0,,3.0,4.0,3.0,2.0,2.0,2.0,2.0,,1.0,3.0,3.0,,3.0,3.0,1.0,2.0,2.0,1.0,2.0,,1.0,1.0,3.0,,3.0,3.0,90.2,100.0,exact,118
MUN 1 MUM,MUN 1 MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,0.0,unmatched,118
CAMDEN N J,Camden,19.0,55 56,,3.0,3.4,2.0,,,,,,,,,,,,,,,,,,,1.0,,3.0,2.0,,,,4.0,3.0,,,,5.0,,3.0,2.0,,,,3.0,2.0,,,,,,2.0,2.0,,,92.0,100.0,exact,118
PERTH AMBOY N J,Perth Amboy,18.0,55 56,21.0,12.0,2.9,2.0,3.0,1.0,3.0,4.0,,,1.0,2.0,,2.0,3.0,2.0,3.0,2.0,12.0,6.0,,,2.0,3.0,,4.0,9.0,4.0,1.0,2.0,5.0,2.0,,,2.0,2.0,,3.0,6.0,3.0,,2.0,2.0,,,,2.0,2.0,,3.0,2.0,2.0,92.7,100.0,exact,118
TRENTON N J,Trenton,28.0,55 56,16.0,6.0,2.6,1.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,2.0,4.0,3.0,,1.0,2.0,2.0,,,6.0,2.0,5.0,1.0,3.0,3.0,,1.0,2.0,1.0,,,6.0,2.0,4.0,,2.0,3.0,,1.0,2.0,1.0,,,6.0,2.0,3.0,93.2,100.0,exact,118
JERSEY CITY N OJ,Jersey City,27.0,,21.0,12.0,3.1,2.0,2.0,3.0,3.0,3.0,,2.0,2.0,2.0,1.0,,1.0,2.0,4.0,12.0,4.0,3.0,,7.0,2.0,4.0,2.0,,3.0,3.0,3.0,7.0,3.0,2.0,,5.0,1.0,3.0,2.0,,3.0,2.0,2.0,4.0,3.0,2.0,,4.0,,3.0,2.0,,3.0,2.0,74.0,96.8,high_confidence,118
NEW YORK N Y,New York,30.0,54 56,39.0,43.0,7.4,2.0,1.0,3.0,1.0,4.0,1.0,7.0,4.0,4.0,2.0,3.0,4.0,5.0,29.0,15.0,2.0,43.0,3.0,15.0,4.0,16.0,15.0,6.0,10.0,7.0,29.0,8.0,2.0,13.0,3.0,5.0,2.0,6.0,9.0,5.0,4.0,3.0,29.0,3.0,2.0,3.0,3.0,2.0,2.0,,4.0,5.0,2.0,,91.5,100.0,exact,118
