Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,,,,,,2.0,3.0,4.0,5.0,6.0,6.0,7.0,,,92.9,84,state_total,CONNECTICUT TOTAL,,,state_aggregate,False,False
MASSACHUSETTS TOTAL,55 57,51.0,4.0,38.0,6.0,1.0,2.0,4.0,4.0,5.0,6.0,8.0,10.0,12.0,91.9,84,state_total,MASSACHUSETTS TOTAL,,,state_aggregate,True,False
NEW HAMPSHRE TOTAL,57,17.0,4.0,35.0,12.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,24.0,25.0,94.0,84,,NEW HAMPSHRE TOTAL,,0.0,unmatched,False,False
NEW JERSEY TOTAL,55 56,130.0,,69.0,11.0,3.0,4.0,4.0,5.0,6.0,7.0,9.0,12.0,20.0,95.3,84,state_total,NEW JERSEY TOTAL,,,state_aggregate,True,False
NEW YORK TOTAL,54 57,4.0,1.0,74.0,17.0,2.0,5.0,7.0,10.0,14.0,18.0,22.0,27.0,35.0,93.9,84,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54 57,538.0,,83.0,16.0,4.0,7.0,9.0,11.0,13.0,16.0,20.0,24.0,31.0,94.4,84,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,True,False
D.C. TOTAL,54 56,36.0,1.0,93.0,24.0,6.0,7.0,9.0,10.0,15.0,,31.0,43.0,49.0,93.6,84,state_total,D.C. TOTAL,,0.0,unmatched,True,False
KENTUCKY TOTAL,54 57,64.0,3.0,47.0,17.0,7.0,9.0,,14.0,16.0,18.0,20.0,24.0,33.0,94.6,84,state_total,KENTUCKY TOTAL,,,state_aggregate,True,False
MARYLAND TOTAL,,19.0,13.0,42.0,24.0,14.0,16.0,18.0,21.0,24.0,25.0,29.0,32.0,36.0,93.7,84,state_total,MARYLAND TOTAL,,,state_aggregate,False,False
NO CAROLINA TOTAL,57,25.0,5.0,37.0,14.0,7.0,8.0,11.0,,14.0,15.0,18.0,20.0,22.0,94.3,84,,NO CAROLINA TOTAL,,0.0,unmatched,False,False
TOTAL,57,23.0,4.0,112.0,22.0,9.0,,13.0,15.0,16.0,17.0,19.0,27.0,36.0,95.4,84,,TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOTAL,57,17.0,1.0,50.0,10.0,2.0,2.0,5.0,6.0,7.0,7.0,190.0,,19.0,89.7,84,,WEST VIRGINA TOTAL,,0.0,unmatched,False,False
FLORIDA TOTAL,55 57,25.0,3.0,35.0,13.0,5.0,7.0,8.0,9.0,11.0,14.0,17.0,18.0,24.0,93.1,84,state_total,FLORIDA TOTAL,,,state_aggregate,True,False
GEORGIA TOTAL,55 56,16.0,2.0,60.0,13.0,2.0,5.0,6.0,7.0,9.0,11.0,12.0,17.0,22.0,90.5,84,state_total,GEORGIA TOTAL,,,state_aggregate,True,False
TENNESSEE TOTAL,55 57,57.0,5.0,140.0,22.0,9.0,10.0,13.0,16.0,20.0,22.0,25.0,31.0,35.0,93.6,84,state_total,TENNESSEE TOTAL,,,state_aggregate,True,False
