Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
WATERBURY CONN,,,36.0,2.0,,6.0,2.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,,95.5,81,,Waterbury,1,100.0,exact,False,False
BOSTON MASS,1,55 57,25.0,,38.0,7.0,1.0,2.0,4.0,4.0,5.0,6.0,7.0,10.0,13.0,93.1,81,,Boston,6,100.0,exact,True,False
EVERETT MASS,1,55,26.0,1.0,15.0,6.0,2.0,2.0,4.0,5.0,5.0,6.0,,10.0,11.0,93.1,81,,Everett,8,100.0,exact,False,False
MANCHESTER N H,1,57,17.0,4.0,35.0,12.0,4.0,6.0,7.0,8.0,9.0,10.0,11.0,24.0,25.0,93.5,81,,Manchester,13,100.0,exact,False,False
ELIZABETH N J,1,55 56,21.0,2.0,48.0,7.0,2.0,3.0,3.0,4.0,5.0,6.0,,8.0,,90.9,81,,Elizabeth,21,100.0,exact,True,False
PAULSBORO N J,1,55 56,25.0,3.0,69.0,11.0,3.0,4.0,4.0,5.0,5.0,6.0,8.0,9.0,17.0,93.7,81,,Paulsboro,22,100.0,exact,True,False
CAMDEN N OJ,1,55 56,21.0,2.0,66.0,11.0,4.0,4.0,5.0,5.0,6.0,6.0,7.0,8.0,12.0,91.5,81,,Camden,19,95.2,high_confidence,True,False
PERTH AMBOY N J,1,55 56,23.0,2.0,49.0,9.0,3.0,4.0,4.0,4.0,5.0,8.0,9.0,9.0,12.0,93.2,81,,Perth Amboy,18,100.0,exact,True,False
TRENTON N OJ,1,55 56,17.0,5.0,46.0,14.0,5.0,6.0,7.0,7.0,13.0,14.0,18.0,,22.0,91.3,81,,Trenton,28,95.7,high_confidence,True,False
JERSEY CITY N J,1,55 56,23.0,3.0,67.0,14.0,4.0,4.0,5.0,8.0,10.0,,13.0,16.0,22.0,94.8,81,,Jersey City,27,100.0,exact,True,False
NEW YORK N Y,1,57,5.0,11.0,43.0,21.0,11.0,11.0,12.0,12.0,19.0,19.0,25.0,25.0,46.0,93.9,81,,New York,30,100.0,exact,False,False
NEW YORK N Y,2,54,18.0,10.0,74.0,30.0,17.0,21.0,22.0,24.0,26.0,28.0,,34.0,46.0,91.4,81,,New York,31,100.0,exact,False,False
NEW YORK N Y,2,,21.0,1.0,47.0,14.0,2.0,,6.0,8.0,12.0,15.0,17.0,19.0,28.0,95.5,81,,New York,31,100.0,exact,False,False
NEW YORK N Y,2,56,3.0,2.0,15.0,7.0,,,2.0,2.0,5.0,5.0,5.0,5.0,15.0,94.2,81,,New York,31,100.0,exact,False,False
NEW YORK N Y,2,54 56,42.0,1.0,74.0,20.0,4.0,6.0,10.0,15.0,18.0,,25.0,30.0,36.0,94.7,81,,New York,31,100.0,exact,True,False
NEW YORK N Y,3,54 55,18.0,1.0,14.0,5.0,1.0,1.0,1.0,,4.0,5.0,7.0,9.0,12.0,94.3,81,,New York,32,100.0,exact,True,False
NEW YORK N Y,,54,19.0,10.0,74.0,29.0,15.0,19.0,22.0,24.0,26.0,27.0,30.0,34.0,46.0,94.6,81,,New York,30,100.0,exact,False,False
NEW YORK N Y,,55,38.0,1.0,47.0,10.0,1.0,2.0,4.0,5.0,7.0,9.0,12.0,15.0,19.0,93.5,81,,New York,30,100.0,exact,False,False
NEW YORK N Y,,56,3.0,2.0,15.0,7.0,,2.0,2.0,2.0,5.0,5.0,5.0,5.0,15.0,94.9,81,,New York,30,100.0,exact,False,False
NEW YORK N Y,,57,5.0,11.0,43.0,21.0,11.0,11.0,,12.0,19.0,19.0,25.0,25.0,46.0,94.7,81,,New York,30,100.0,exact,False,False
NEW YORK N Y,,54 57,65.0,1.0,74.0,16.0,1.0,4.0,6.0,9.0,13.0,16.0,21.0,26.0,35.0,94.0,81,,New York,30,100.0,exact,True,False
BUFFALO N Y,1,57,6.0,7.0,35.0,20.0,7.0,7.0,,7.0,15.0,25.0,25.0,32.0,32.0,94.8,81,,Buffalo,35,100.0,exact,False,False
BUFFALO N Y,2,57,13.0,4.0,35.0,19.0,4.0,7.0,7.0,17.0,20.0,21.0,22.0,33.0,35.0,94.5,81,,Buffalo,35,100.0,exact,False,False
BUFFALO N Y,,57,19.0,4.0,35.0,19.0,4.0,7.0,7.0,17.0,20.0,21.0,25.0,33.0,34.0,94.4,81,,Buffalo,35,100.0,exact,False,False
PHILADELPHIA PA,1,54,65.0,3.0,70.0,22.0,8.0,10.0,12.0,14.0,20.0,22.0,25.0,31.0,39.0,90.6,81,,Philadelphia,41,100.0,exact,False,False
PHILADELPHIA PA,1,55,281.0,4.0,83.0,19.0,8.0,10.0,12.0,14.0,17.0,19.0,22.0,26.0,31.0,92.1,81,,Philadelphia,41,100.0,exact,False,False
PHILADELPHIA PA,1,56,,,44.0,18.0,5.0,6.0,7.0,12.0,17.0,22.0,25.0,27.0,41.0,93.1,81,,Philadelphia,41,100.0,exact,False,False
PHILADELPHIA PA,1,54 56,361.0,,83.0,19.0,7.0,10.0,12.0,14.0,17.0,20.0,22.0,27.0,32.0,94.0,81,,Philadelphia,41,100.0,exact,True,False
PHILADELPHIA PA,4,56,14.0,1.0,26.0,,1.0,4.0,5.0,8.0,10.0,10.0,12.0,17.0,25.0,93.9,81,,Philadelphia,44,100.0,exact,False,False
PHILADELPHIA PA,4,57,2.0,10.0,19.0,14.0,,,10.0,10.0,10.0,10.0,10.0,19.0,19.0,95.4,81,,Philadelphia,44,100.0,exact,False,False
PHILADELPHIA PA,4,56 57,16.0,1.0,26.0,,2.0,4.0,7.0,8.0,10.0,11.0,12.0,19.0,22.0,90.7,81,,Philadelphia,44,100.0,exact,True,False
