Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,54 55,32.0,62.0,418.0,177.0,85.0,98.0,128.0,137.0,145.0,175.0,207.0,244.0,248.0,93.8,26,state_total,CONNECTICUT TOTAL,,,state_aggregate,True,False
TOTAL,54 55,77.0,51.0,680.0,196.0,90.0,109.0,123.0,153.0,171.0,202.0,231.0,264.0,323.0,91.6,26,,TOTAL,,,state_aggregate,True,False
RHOOE ISLANO TOTAL,54 55,46.0,39.0,463.0,195.0,76.0,90.0,116.0,148.0,175.0,219.0,236.0,301.0,355.0,87.1,26,,RHOOE ISLANO TOTAL,,0.0,unmatched,True,False
NEW JERSEY TOTAL,54 55,105.0,23.0,598.0,183.0,,106.0,126.0,152.0,,189.0,214.0,270.0,310.0,93.4,26,state_total,NEW JERSEY TOTAL,,,state_aggregate,True,False
NEW YORK TOTAL,53 55,117.0,21.0,970.0,239.0,88.0,112.0,138.0,172.0,200.0,237.0,275.0,349.0,455.0,92.8,26,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,53 55,312.0,24.0,1340.0,272.0,111.0,142.0,169.0,200.0,,247.0,285.0,357.0,501.0,92.1,26,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,True,False
COLUMBIA TOTAL,53 55,65.0,63.0,955.0,249.0,112.0,133.0,160.0,191.0,,238.0,266.0,352.0,444.0,89.4,26,,Columbia,90.0,72.7,low_confidence,True,False
KENTUCKY TOTAL,54 55,50.0,44.0,685.0,200.0,80.0,90.0,128.0,142.0,164.0,,219.0,2986.0,,93.4,26,state_total,KENTUCKY TOTAL,,,state_aggregate,True,False
WEST VIRGINA TOTAL,53 55,63.0,60.0,,2968.0,125.0,151.0,172.0,207.0,226.0,241.0,303.0,371.0,461.0,91.1,26,,WEST VIRGINA TOTAL,,0.0,unmatched,True,False
FLORIDA TOTAL,53 55,70.0,25.0,377.0,150.0,67.0,87.0,100.0,113.0,133.0,,180.0,218.0,262.0,89.6,26,state_total,FLORIDA TOTAL,,,state_aggregate,True,False
TOTAL,53 55,95.0,23.0,728.0,219.0,101.0,130.0,156.0,1853.0,,231.0,261.0,,340.0,93.0,26,,TOTAL,,,state_aggregate,True,False
TENNESSEE TOTAL,55,86.0,,,,79.0,106.0,148.0,166.0,195.0,235.0,277.0,340.0,425.0,93.6,26,state_total,TENNESSEE TOTAL,,,state_aggregate,False,False
TOTAL,54 55,202.0,29.0,1409.0,354.0,119.0,168.0,204.0,253.0,300.0,350.0,418.0,,625.0,92.2,26,,TOTAL,,,state_aggregate,True,False
INDIANA TOTAL,55,27.0,35.0,725.0,294.0,76.0,106.0,148.0,196.0,301.0,327.0,401.0,490.0,,91.5,26,state_total,INDIANA TOTAL,,,state_aggregate,False,False
MICHIGAN TOTAL,53 54,58.0,47.0,1045.0,502.0,262.0,305.0,352.0,413.0,482.0,,608.0,709.0,,90.9,26,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
OHIO TOTAL,53,332.0,21.0,1430.0,258.0,101.0,132.0,160.0,185.0,215.0,242.0,284.0,356.0,460.0,91.4,26,state_total,OHIO TOTAL,,,state_aggregate,False,False
KANSAS TOTAL,55,13.0,113.0,3688.0,213.0,125.0,175.0,1860.0,,196.0,202.0,207.0,244.0,340.0,90.9,26,state_total,KANSAS TOTAL,,,state_aggregate,False,False
MINNESOTA TOTAL,53 55,86.0,26.0,675.0,166.0,71.0,81.0,98.0,114.0,134.0,158.0,199.0,240.0,,91.1,26,state_total,MINNESOTA TOTAL,,,state_aggregate,True,False
MISSOURI TOTAL,53 55,73.0,16.0,458.0,145.0,46.0,714.0,,112.0,131.0,146.0,172.0,196.0,277.0,94.2,26,state_total,MISSOURI TOTAL,,,state_aggregate,True,False
LOUISIANA TOTAL,54 55,102.0,14.0,541.0,148.0,,79.0,95.0,111.0,131.0,144.0,163.0,202.0,272.0,93.8,26,state_total,LOUISIANA TOTAL,,,state_aggregate,True,False
TEXAS TOTAL,53 55,269.0,,1150.0,149.0,57.0,71.0,687.0,,126.0,146.0,172.0,200.0,270.0,91.9,26,state_total,TEXAS TOTAL,,,state_aggregate,True,False
COLORADO TOTAL,54 55,49.0,65.0,440.0,170.0,83.0,103.0,125.0,139.0,159.0,179.0,196.0,219.0,259.0,93.1,26,state_total,COLORADO TOTAL,,,state_aggregate,True,False
UTAH TOTAL,53 55,53.0,70.0,932.0,275.0,101.0,130.0,143.0,162.0,,244.0,298.0,360.0,658.0,93.8,26,state_total,UTAH TOTAL,,,state_aggregate,True,False
ALASKA TOTAL,53 55,92.0,168.0,1000.0,235.0,76.0,114.0,141.0,163.0,,202.0,255.0,350.0,449.0,93.6,26,state_total,ALASKA TOTAL,,,state_aggregate,True,False
TOTAL,53 55,196.0,32.0,1730.0,330.0,93.0,126.0,149.0,174.0,221.0,305.0,397.0,473.0,688.0,91.2,26,,TOTAL,,,state_aggregate,True,False
OREGON TOTAL,53,140.0,10.0,2356.0,399.0,84.0,130.0,168.0,205.0,248.0,305.0,394.0,403.0,,94.5,26,state_total,OREGON TOTAL,,,state_aggregate,False,False
NEW ENGLND TOTAL,54,155.0,51.0,680.0,192.0,84.0,103.0,1253.0,,168.0,204.0,230.0,263.0,348.0,90.4,26,,NEW ENGLND TOTAL,,0.0,unmatched,False,False
M10 ATLNTC TOTAL,53,534.0,21.0,1340.0,255.0,103.0,129.0,158.0,165.0,214.0,239.0,278.0,342.0,464.0,88.6,26,,M10 ATLNTC TOTAL,,0.0,unmatched,False,False
M10 EAST TOTAL,53 55,1738.0,44.0,955.0,238.0,90.0,130.0,151.0,175.0,209.0,230.0,264.0,331.0,440.0,90.2,26,,M10 EAST TOTAL,,0.0,unmatched,True,False
SOUTH EAST TOTAL,53,251.0,25.0,728.0,202.0,78.0,103.0,128.0,156.0,181.0,208.0,244.0,282.0,354.0,89.2,26,region_total,SOUTH EAST TOTAL,,,skip,False,False
MID WEST TOTAL,53 55,619.0,21.0,1430.0,311.0,109.0,147.0,180.0,214.0,253.0,302.0,363.0,452.0,,92.3,26,region_total,MID WEST TOTAL,,,skip,True,False
GREAT PLAINS TOTAL,53 55,173.0,16.0,675.0,160.0,67.0,,100.0,119.0,139.0,161.0,188.0,,,92.4,26,region_total,GREAT PLAINS TOTAL,,,skip,True,False
GULF SOUTH TOTAL,53 55,371.0,,1150.0,149.0,57.0,73.0,90.0,107.0,128.0,146.0,170.0,200.0,270.0,94.8,26,region_total,GULF SOUTH TOTAL,,,skip,True,False
ROCKY MNTN TOTAL,53 55,102.0,65.0,932.0,225.0,92.0,114.0,134.0,148.0,173.0,193.0,223.0,288.0,401.0,93.9,26,,ROCKY MNTN TOTAL,,0.0,unmatched,True,False
PACIFIC COAST TOTAL,53 55,424.0,10.0,2356.0,332.0,85.0,124.0,149.0,180.0,216.0,277.0,365.0,,,93.1,26,region_total,PACIFIC COAST TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,53 55,2811.0,,2356.0,249.0,2.0,111.0,137.0,163.0,193.0,226.0,271.0,344.0,469.0,91.1,26,,PACIFIC COAST TOTAL,,,skip,True,False
