Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,55 56,35.0,20.0,5.5,2.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,,4.0,3.0,2.0,7.0,,9.0,11.0,9.0,6.0,20.0,11.0,,7.0,9.0,8.0,4.0,,6.0,5.0,7.0,4.0,11.0,6.0,2.0,5.0,6.0,5.0,2.0,,4.0,2.0,6.0,4.0,6.0,3.0,2.0,3.0,4.0,3.0,95.5,100.0,exact,86
BOSTON MASS,Boston,6.0,55 57,25.0,38.0,7.2,1.0,2.0,2.0,5.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,10.0,38.0,,,6.0,2.0,13.0,9.0,6.0,,6.0,5.0,8.0,25.0,,,6.0,2.0,7.0,5.0,6.0,3.0,5.0,5.0,7.0,13.0,3.0,1.0,6.0,2.0,2.0,2.0,6.0,2.0,4.0,5.0,94.8,100.0,exact,86
EV ERETT MASS,Everett,8.0,55,26.0,15.0,5.2,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,,13.0,15.0,2.0,5.0,5.0,6.0,,,1.0,5.0,9.0,,10.0,9.0,2.0,5.0,3.0,4.0,,6.0,1.0,5.0,7.0,,8.0,5.0,2.0,5.0,2.0,2.0,,5.0,1.0,5.0,5.0,87.2,96.0,high_confidence,86
MA NCHESTER N H,Manchester,13.0,57,17.0,35.0,12.6,4.0,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,2.0,1.0,2.0,,11.0,10.0,35.0,23.0,25.0,,9.0,10.0,28.0,4.0,12.0,,11.0,,19.0,15.0,25.0,7.0,8.0,10.0,18.0,4.0,9.0,,11.0,6.0,4.0,8.0,25.0,7.0,7.0,10.0,9.0,4.0,6.0,85.8,96.6,high_confidence,86
EL N,Helena,184.0,55,21.0,48.0,6.9,,3.0,2.0,3.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,5.0,6.0,48.0,8.0,7.0,,3.0,4.0,5.0,,,13.0,3.0,5.0,21.0,5.0,,,3.0,3.0,5.0,,7.0,10.0,,,,,,,,,,,,,87.2,60.0,low_confidence,86
MIENIMUM,MiENIMUM,,,,69.0,8.8,3.0,,,,,,,,,,,,,8.0,9.0,69.0,62.0,6.0,3.0,4.0,5.0,,6.0,,7.0,6.0,7.0,26.0,20.0,5.0,3.0,4.0,5.0,,5.0,,7.0,5.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,,5.0,,7.0,87.6,0.0,unmatched,86
CA MOEN N J,Camden,19.0,55 56,21.0,66.0,10.1,,2.0,3.0,3.0,2.0,,1.0,1.0,2.0,3.0,2.0,,2.0,9.0,12.0,66.0,59.0,,4.0,5.0,5.0,7.0,6.0,,7.0,7.0,7.0,26.0,32.0,,4.0,5.0,3.0,6.0,5.0,,6.0,,,,,,,,,,,,,88.7,85.7,high_confidence,86
MIENITMUM,MiENITMUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.2,0.0,unmatched,86
PERTH AMBOY N J,Perth Amboy,18.0,55 56,23.0,49.0,7.6,2.0,3.0,1.0,4.0,5.0,,,1.0,2.0,,2.0,3.0,2.0,10.0,4.0,49.0,48.0,,,5.0,5.0,,8.0,10.0,11.0,6.0,4.0,17.0,,,,5.0,4.0,,6.0,9.0,10.0,4.0,4.0,5.0,2.0,,,5.0,4.0,,5.0,8.0,9.0,88.3,100.0,exact,86
TRENTON N J,Trenton,28.0,55 56,16.0,46.0,14.8,5.0,3.0,2.0,1.0,1.0,,1.0,2.0,1.0,,1.0,1.0,3.0,23.0,21.0,5.0,46.0,7.0,5.0,7.0,6.0,,22.0,18.0,18.0,14.0,18.0,5.0,46.0,7.0,5.0,7.0,6.0,,22.0,18.0,15.0,7.0,15.0,5.0,46.0,7.0,5.0,7.0,6.0,,22.0,18.0,13.0,90.6,100.0,exact,86
