Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,55 56,36.0,,19.0,7.0,,,,,,,,10.0,14.0,88.8,140,state_total,CONNECTICUT TOTAL,,,state_aggregate,True,False
CONNECTICUT TOTAL,,,,,,,,,4.0,,,,,,69.0,140,,CONNECTICUT TOTAL,,,state_aggregate,False,False
MASSACHUSETTS TOTAL,,49.0,,37.0,7.0,1.0,2.0,3.0,,6.0,7.0,9.0,11.0,13.0,90.0,140,state_total,MASSACHUSETTS TOTAL,,,state_aggregate,False,False
NEW JERSEY TOTAL,55 56,130.0,,,5.0,,,1.0,4.0,,3.0,,,,91.4,140,state_total,NEW JERSEY TOTAL,,,state_aggregate,True,False
NEW JERSEY TOTAL,,,,,,,,,,,,4.0,,14.0,93.5,140,,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,54 56,75.0,,107.0,33.0,1.0,3.0,5.0,,20.0,44.0,59.0,69.0,83.0,93.9,140,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54 56,275.0,,160.0,12.0,1.0,2.0,3.0,,7.0,8.0,11.0,17.0,30.0,94.1,140,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,True,False
COLUMBIA TOTAL,54 56,46.0,,101.0,39.0,7.0,9.0,13.0,34.0,45.0,,35.0,62.0,70.0,90.8,140,,Columbia,90.0,72.7,low_confidence,True,False
KENTUCKY TOTAL,54,71.0,,110.0,20.0,2.0,4.0,6.0,7.0,12.0,16.0,20.0,36.0,50.0,93.1,140,state_total,KENTUCKY TOTAL,,,state_aggregate,False,False
MARYLAND TOTAL,57,16.0,12.0,130.0,30.0,13.0,18.0,20.0,22.0,24.0,26.0,27.0,28.0,32.0,92.9,140,state_total,MARYLAND TOTAL,,,state_aggregate,False,False
