Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,55 56,36.0,1.0,17.0,5.0,2.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,12.0,94.0,149,state_total,CONNECTICUT TOTAL,,,state_aggregate,True,False
MASSACHUSETTS TOTAL,55,49.0,1.0,170.0,12.0,2.0,2.0,3.0,4.0,,5.0,8.0,10.0,17.0,94.9,149,state_total,MASSACHUSETTS TOTAL,,,state_aggregate,False,False
NEW JERSEY TOTAL,55 56,130.0,,26.0,5.0,1.0,2.0,2.0,3.0,4.0,5.0,6.0,,11.0,94.9,149,state_total,NEW JERSEY TOTAL,,,state_aggregate,True,False
NEW YORK TOTAL,54 56,76.0,2.0,89.0,21.0,4.0,6.0,8.0,,15.0,21.0,24.0,32.0,41.0,93.9,149,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54 56,275.0,,212.0,7.0,1.0,2.0,3.0,3.0,4.0,5.0,6.0,9.0,14.0,95.4,149,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,True,False
COLUMBIA TOTAL,54 56,46.0,,39.0,16.0,6.0,8.0,10.0,11.0,14.0,18.0,20.0,22.0,26.0,95.4,149,,Columbia,90.0,72.7,low_confidence,True,False
KENTUCKY TOTAL,54 55,71.0,1.0,130.0,19.0,2.0,4.0,6.0,9.0,13.0,16.0,23.0,26.0,48.0,95.2,149,state_total,KENTUCKY TOTAL,,,state_aggregate,True,False
MARYLAND TOTAL,57,18.0,3.0,32.0,9.0,4.0,5.0,5.0,7.0,7.0,8.0,9.0,9.0,10.0,95.1,149,state_total,MARYLAND TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOTAL,54 55,27.0,1.0,25.0,6.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,9.0,13.0,95.1,149,,WEST VIRGINA TOTAL,,0.0,unmatched,True,False
FLORIDA TOTAL,54 55,31.0,1.0,43.0,8.0,2.0,3.0,3.0,4.0,,6.0,7.0,11.0,14.0,92.1,149,state_total,FLORIDA TOTAL,,,state_aggregate,True,False
