Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,56,1042.0,178.0,113.8,12.0,174.0,206.0,,14.0,144.0,130.0,,,112.0,,,262.0,,,,,,,,,,,178.0,,174.0,132.0,144.0,124.0,73.0,97.0,61.0,62.0,80.0,140.0,,165.0,174.0,58.0,83.0,94.0,40.0,48.0,12.0,38.0,49.0,49.0,50.0,,94.7,100.0,exact,41
HARTFORO CON,Hartford,2.0,57,26.0,440.0,107.8,26.0,2.0,2.0,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,118.0,245.0,440.0,73.0,100.0,54.0,59.0,53.0,130.0,89.0,181.0,232.0,115.0,,205.0,67.0,80.0,,50.0,,105.0,67.0,108.0,173.0,112.0,118.0,60.0,62.0,61.0,54.0,34.0,50.0,81.0,45.0,26.0,115.0,93.3,88.0,high_confidence,41
STAMFORD CONN,Stamford,4.0,57,26.0,217.0,78.6,17.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,64.0,167.0,97.0,68.0,83.0,96.0,97.0,64.0,119.0,127.0,50.0,217.0,54.0,146.0,57.0,37.0,57.0,76.0,77.0,64.0,78.0,127.0,48.0,122.0,44.0,125.0,17.0,,35.0,56.0,59.0,64.0,57.0,127.0,47.0,72.0,94.7,100.0,exact,41
PORTLAND MAINE,Portland,5.0,57,16.0,290.0,105.8,15.0,,1.0,2.0,2.0,2.0,2.0,,,1.0,1.0,2.0,3.0,,126.0,162.0,151.0,52.0,54.0,49.0,,79.0,290.0,146.0,171.0,,,120.0,112.0,33.0,40.0,44.0,,79.0,290.0,130.0,104.0,,126.0,79.0,74.0,15.0,26.0,39.0,,79.0,290.0,114.0,64.0,94.5,88.0,high_confidence,41
BOSTON MASS,Boston,6.0,55 57,78.0,615.0,128.2,35.0,6.0,6.0,6.0,6.0,6.0,7.0,12.0,11.0,10.0,1.0,,7.0,615.0,173.0,225.0,310.0,228.0,110.0,112.0,162.0,124.0,231.0,,202.0,222.0,128.0,155.0,139.0,126.0,78.0,72.0,94.0,91.0,161.0,127.0,146.0,86.0,86.0,70.0,54.0,71.0,48.0,35.0,62.0,53.0,119.0,81.0,94.0,91.2,100.0,exact,41
PL TTSFIELD MASS,Pittsfield,7.0,55 56,25.0,117.0,38.1,10.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,40.0,50.0,47.0,33.0,39.0,31.0,40.0,27.0,117.0,61.0,26.0,,40.0,40.0,44.0,27.0,35.0,26.0,40.0,18.0,85.0,30.0,21.0,51.0,40.0,31.0,41.0,21.0,32.0,22.0,40.0,10.0,70.0,11.0,16.0,35.0,77.8,90.3,high_confidence,41
EVERETT MASS,Everett,8.0,56,69.0,318.0,102.7,24.0,4.0,5.0,4.0,4.0,5.0,4.0,9.0,9.0,8.0,8.0,5.0,4.0,265.0,95.0,291.0,83.0,153.0,111.0,146.0,318.0,190.0,283.0,236.0,103.0,167.0,74.0,162.0,72.0,71.0,82.0,68.0,114.0,111.0,129.0,107.0,75.0,68.0,45.0,94.0,61.0,36.0,53.0,38.0,46.0,,48.0,62.0,24.0,95.3,100.0,exact,41
LAWRENCE MASS,Lawrence,9.0,57,24.0,123.0,44.2,19.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,3.0,2.0,,2.0,17.0,70.0,61.0,19.0,41.0,39.0,60.0,89.0,117.0,29.0,123.0,70.0,7.0,48.0,39.0,19.0,35.0,35.0,39.0,64.0,75.0,25.0,94.0,51.0,,27.0,20.0,19.0,29.0,32.0,,39.0,29.0,22.0,66.0,33.0,95.3,100.0,exact,41
LYNN MASS,Lynn,10.0,57,21.0,333.0,96.0,21.0,,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0,2.0,2.0,,68.0,74.0,240.0,71.0,187.0,126.0,134.0,68.0,333.0,53.0,80.0,,68.0,74.0,147.0,45.0,133.0,,134.0,54.0,187.0,43.0,75.0,,68.0,74.0,54.0,21.0,80.0,119.0,134.0,41.0,76.0,33.0,70.0,94.7,100.0,exact,41
SOMERVILLE MASS,Somerville,11.0,57,26.0,120.0,58.2,17.0,2.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,73.0,65.0,94.0,120.0,59.0,75.0,47.0,91.0,76.0,48.0,65.0,77.0,45.0,58.0,59.0,93.0,59.0,58.0,37.0,75.0,57.0,41.0,62.0,54.0,17.0,52.0,33.0,66.0,59.0,41.0,24.0,60.0,48.0,34.0,59.0,32.0,87.0,100.0,exact,41
