Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,54 55,21.0,418.0,178.2,62.0,,3.0,3.0,2.0,4.0,5.0,,,1.0,,3.0,,271.0,418.0,139.0,250.0,216.0,236.0,,,127.0,268.0,390.0,145.0,196.0,344.0,127.0,178.0,167.0,160.0,,,127.0,156.0,226.0,101.0,133.0,216.0,104.0,107.0,102.0,78.0,,,127.0,90.0,137.0,62.0,94.0,100.0,exact,28
BOSTON MASS,Boston,6.0,54 55,28.0,4355.0,501.9,80.0,4.0,3.0,5.0,3.0,4.0,5.0,,,,,4.0,,4355.0,266.0,275.0,256.0,264.0,203.0,,,,333.0,,439.0,378.0,243.0,175.0,163.0,151.0,141.0,,,,255.0,2738.0,273.0,284.0,,102.0,113.0,80.0,101.0,,,,182.0,225.0,223.0,95.8,100.0,exact,28
EV ERET T MASS,Everett,8.0,54 55,34.0,680.0,357.6,51.0,4.0,5.0,5.0,2.0,4.0,5.0,,,,,4.0,5.0,268.0,,231.0,72.0,460.0,148.0,,,,189.0,363.0,680.0,214.0,1865.0,156.0,69.0,215.0,109.0,,,,138.0,210.0,242.0,141.0,138.0,112.0,66.0,105.0,51.0,,,,83.0,92.0,98.0,91.7,92.3,high_confidence,28
NE W YO RK N Y,New York,30.0,53 55,112.0,,,,11.0,10.0,20.0,12.0,11.0,17.0,5.0,,4.0,,12.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.6,92.3,high_confidence,28
MA X 1 MUM,MA X 1 MUM,,,,,251.2,21.0,,,,,,,,,,,,,,,,,,,,,,,,,196.0,208.0,189.0,229.0,290.0,205.0,221.0,143.0,236.0,494.0,287.0,316.0,93.0,102.0,21.0,101.0,90.0,50.0,68.0,90.0,130.0,230.0,80.0,73.0,90.2,0.0,unmatched,28
PH ILAOELPHIA PA,Philadelphia,41.0,53 55,510.0,1018.0,266.5,24.0,25.0,33.0,37.0,36.0,30.0,33.0,223.0,,14.0,15.0,28.0,36.0,340.0,773.0,697.0,959.0,435.0,,,266.0,317.0,500.0,,1018.0,335.0,286.0,239.0,254.0,243.0,,172.0,152.0,203.0,292.0,403.0,353.0,55.0,86.0,71.0,24.0,69.0,,142.0,71.0,107.0,65.0,76.0,,84.2,90.3,high_confidence,28
WA SHIN GTON OC,Washington,61.0,53 55,302.0,955.0,276.3,63.0,4.0,7.0,8.0,7.0,7.0,9.0,3.0,,254.0,,3.0,,456.0,454.0,403.0,256.0,345.0,278.0,226.0,232.0,,562.0,955.0,,302.0,324.0,154.0,179.0,221.0,,181.0,163.0,186.0,361.0,555.0,413.0,138.0,196.0,63.0,71.0,125.0,108.0,145.0,113.0,125.0,240.0,180.0,230.0,91.5,82.8,low_confidence,28
LO UI SV ILLE KY,Louisville,64.0,54 55,33.0,685.0,223.8,44.0,2.0,3.0,1.0,6.0,4.0,4.0,9.0,,4.0,,,,141.0,289.0,180.0,323.0,212.0,190.0,344.0,160.0,310.0,685.0,,600.0,,217.0,180.0,229.0,157.0,136.0,,106.0,233.0,436.0,,320.0,,141.0,180.0,126.0,132.0,82.0,44.0,77.0,197.0,182.0,,161.0,64.6,89.7,high_confidence,28
CH ARLE STON W WA,Charleston,77.0,53 55,37.0,4353.0,262.2,,2.0,4.0,5.0,6.0,7.0,,4.0,,5.0,,4.0,,559.0,567.0,449.0,4353.0,314.0,322.0,314.0,232.0,435.0,580.0,480.0,625.0,349.0,379.0,280.0,255.0,244.0,217.0,184.0,201.0,271.0,247.0,250.0,270.0,,,,,,,,,,,,,88.0,87.5,high_confidence,28
MIEN MUM,MIEN MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.7,0.0,unmatched,28
