Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,55 56,32.0,9052.0,119.8,9.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,,3.0,2.0,20.0,60.0,80.0,,2800.0,20.0,40.0,20.0,40.0,9052.0,100.0,100.0,20.0,40.0,40.0,32.0,946.0,16.0,26.0,12.0,40.0,,66.0,80.0,20.0,20.0,20.0,20.0,20.0,10.0,20.0,9.0,40.0,30.0,50.0,60.0,94.8,100.0,exact,172
BOSTON MASS,Boston,6.0,55,23.0,300.0,46.2,5.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,,30.0,50.0,10.0,20.0,20.0,300.0,,70.0,40.0,60.0,40.0,,25.0,35.0,10.0,20.0,12.0,170.0,,70.0,35.0,45.0,40.0,,20.0,20.0,10.0,20.0,5.0,40.0,,70.0,30.0,30.0,40.0,85.3,100.0,exact,172
EVERETT MAS S,Everett,8.0,55,25.0,80.0,28.1,3.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,,1.0,2.0,20.0,80.0,50.0,4.0,80.0,20.0,40.0,30.0,30.0,70.0,20.0,60.0,16.0,39.0,30.0,4.0,55.0,12.0,17.0,16.0,18.0,70.0,20.0,40.0,8.0,8.0,10.0,4.0,30.0,6.0,3.0,3.0,7.0,70.0,20.0,20.0,77.0,96.0,high_confidence,172
EL 1ZABETH WN,Elizabeth,21.0,55 56,20.0,40.0,18.7,3.0,3.0,2.0,2.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,16.0,10.0,,35.0,10.0,,3.0,27.0,30.0,,25.0,40.0,13.0,8.0,38.0,19.0,10.0,,3.0,16.0,30.0,,25.0,25.0,9.0,6.0,8.0,9.0,10.0,,3.0,6.0,30.0,,25.0,10.0,66.4,76.9,low_confidence,172
PA ULSBORO N,Paulsboro,22.0,55 56,21.0,40.0,14.5,,2.0,4.0,2.0,4.0,,1.0,4.0,1.0,,2.0,,1.0,24.0,1.0,40.0,23.0,5.0,,22.0,4.0,,18.0,,7.0,21.0,33.0,25.0,15.0,4.0,11.0,9.0,4.0,,16.0,,7.0,,,,,,,,,,,,,92.4,88.0,high_confidence,172
MI N I MUM,Mi N I MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.6,0.0,unmatched,172
CA MDEN N J,Camden,19.0,55 56,19.0,95.0,24.4,7.0,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,3.0,2.0,,2.0,25.0,72.0,28.0,10.0,,7.0,14.0,95.0,17.0,12.0,,19.0,24.0,42.0,28.0,10.0,,,14.0,61.0,12.0,11.0,,18.0,24.0,26.0,26.0,10.0,,7.0,14.0,28.0,9.0,10.0,,17.0,86.3,95.2,high_confidence,172
PERTH AMBOY N J,Perth Amboy,18.0,55 56,21.0,53.0,16.3,,3.0,1.0,3.0,4.0,,,1.0,2.0,,2.0,3.0,2.0,39.0,8.0,21.0,53.0,,,5.0,19.0,,38.0,26.0,18.0,15.0,8.0,19.0,32.0,,,5.0,16.0,,24.0,13.0,15.0,,,,,,,,,,,,,93.0,100.0,exact,172
MTN I MUM,Mtn I MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.3,0.0,unmatched,172
TRENTON WN J,Trenton,28.0,55 56,16.0,45.0,18.9,3.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,20.0,41.0,45.0,,,7.0,4.0,4.0,,35.0,15.0,30.0,13.0,30.0,45.0,,,7.0,3.0,4.0,,35.0,15.0,18.0,9.0,19.0,45.0,,,7.0,3.0,4.0,,35.0,15.0,11.0,86.6,95.7,high_confidence,172
JERSEY CIITY NJ,Jersey City,27.0,55 56,21.0,150.0,39.3,9.0,2.0,3.0,3.0,3.0,,2.0,2.0,2.0,1.0,,1.0,2.0,34.0,100.0,150.0,29.0,,45.0,18.0,41.0,28.0,,30.0,42.0,27.0,72.0,85.0,25.0,,43.0,13.0,38.0,28.0,,30.0,32.0,20.0,46.0,41.0,22.0,,41.0,9.0,35.0,28.0,,30.0,22.0,76.2,93.3,high_confidence,172
NEW YORK WN,New York,30.0,54 56,31.0,210.0,67.4,1.0,1.0,3.0,1.0,4.0,1.0,,4.0,4.0,2.0,3.0,4.0,4.0,89.0,84.0,58.0,110.0,68.0,60.0,100.0,60.0,41.0,95.0,210.0,137.0,89.0,66.0,58.0,78.0,68.0,38.0,67.0,26.0,40.0,69.0,119.0,91.0,89.0,55.0,58.0,30.0,68.0,21.0,21.0,1.0,40.0,54.0,68.0,45.0,88.8,87.0,high_confidence,172
PU ILADELPHI A PA,Philadelphia,41.0,55 56,134.0,130.0,26.2,1.0,17.0,13.0,13.0,,18.0,12.0,13.0,13.0,10.0,8.0,8.0,9.0,120.0,69.0,43.0,98.0,130.0,74.0,23.0,40.0,40.0,52.0,,83.0,39.0,36.0,20.0,27.0,26.0,22.0,11.0,18.0,20.0,20.0,35.0,41.0,9.0,11.0,9.0,9.0,8.0,5.0,1.0,6.0,8.0,12.0,,15.0,84.7,87.5,high_confidence,172
AL TOONA PA,Altoona,57.0,56,13.0,10.0,6.1,3.0,,1.0,1.0,2.0,3.0,,,1.0,2.0,2.0,1.0,,,3.0,7.0,8.0,10.0,,,8.0,10.0,10.0,8.0,,,3.0,7.0,6.0,6.0,,,8.0,6.0,5.0,8.0,,,3.0,7.0,5.0,3.0,,,8.0,3.0,,8.0,,93.2,95.2,high_confidence,172
BR PA,Erie,56.0,55 56,18.0,17.0,8.0,,,1.0,1.0,1.0,2.0,,2.0,1.0,4.0,2.0,2.0,2.0,,17.0,12.0,3.0,3.0,,13.0,,17.0,9.0,9.0,17.0,,17.0,12.0,3.0,1.0,,6.0,,6.0,4.0,7.0,16.0,,,,,,,,,,,,,95.2,66.7,low_confidence,172
MIWN,MiWN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,0.0,unmatched,172
CH ESTER PA,Chester,55.0,55 56,17.0,98.0,15.7,5.0,,1.0,,2.0,2.0,2.0,2.0,3.0,4.0,1.0,,,,17.0,,98.0,5.0,12.0,10.0,57.0,14.0,6.0,,11.0,,17.0,,53.0,2.0,8.0,10.0,24.0,10.0,6.0,,11.0,,17.0,,8.0,,5.0,10.0,7.0,7.0,6.0,,11.0,93.8,95.2,high_confidence,172
ER BE PA,Erie,56.0,56,25.0,20.0,5.0,2.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,,3.0,4.0,2.0,3.0,20.0,4.0,6.0,5.0,20.0,4.0,3.0,,5.0,7.0,,4.0,13.0,4.0,6.0,2.0,10.0,4.0,3.0,,3.0,3.0,4.0,3.0,9.0,4.0,6.0,,,4.0,3.0,,2.0,2.0,3.0,2.0,87.5,80.0,low_confidence,172
PT TTSBURGH PA,Pittsburgh,48.0,56,19.0,100.0,14.9,3.0,3.0,3.0,3.0,,,3.0,2.0,,,2.0,2.0,1.0,10.0,9.0,40.0,,,100.0,,,20.0,20.0,10.0,8.0,8.0,6.0,23.0,,,40.0,,,15.0,13.0,6.0,8.0,5.0,4.0,,,,10.0,,,10.0,7.0,3.0,8.0,86.8,88.9,high_confidence,172
WILLEAMSPORT PA,Williamsport,50.0,55 56,22.0,200.0,27.4,6.0,,3.0,1.0,2.0,3.0,2.0,1.0,,3.0,2.0,3.0,2.0,,20.0,10.0,20.0,20.0,2.0,8.0,200.0,10.0,5.0,10.0,,,12.0,10.0,14.0,10.0,1.0,8.0,200.0,9.0,2.0,8.0,,,7.0,10.0,9.0,,,8.0,200.0,8.0,,6.0,8.0,84.2,93.3,high_confidence,173
WASHINGTON OC,Washington,61.0,55 56,15.0,40.0,27.6,8.0,1.0,2.0,,1.0,3.0,2.0,1.0,3.0,,1.0,1.0,,40.0,30.0,,20.0,30.0,40.0,30.0,20.0,30.0,40.0,20.0,,40.0,25.0,,20.0,23.0,25.0,30.0,,25.0,40.0,20.0,,40.0,20.0,,20.0,20.0,10.0,30.0,8.0,20.0,40.0,20.0,,89.5,88.9,high_confidence,173
