Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,55,31.0,10.0,3.2,1.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,,,3.0,2.0,3.0,4.0,5.0,2.0,3.0,2.0,4.0,9.0,5.0,7.0,10.0,8.0,1.0,3.0,2.0,2.0,2.0,1.0,3.0,5.0,5.0,4.0,5.0,5.0,,3.0,2.0,2.0,2.0,1.0,3.0,3.0,,2.0,2.0,3.0,91.7,100.0,exact,202
BOSTON MASS,Boston,6.0,55,23.0,20.0,2.3,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,3.0,2.0,20.0,,1.0,1.0,10.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,5.0,,1.0,,5.0,,2.0,1.0,1.0,2.0,3.0,1.0,,,1.0,,1.0,,2.0,1.0,1.0,2.0,96.0,100.0,exact,202
EV ERETT MASS,Everett,8.0,,26.0,7.0,2.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,7.0,4.0,1.0,,2.0,4.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,1.0,4.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,,2.0,1.0,4.0,1.0,1.0,,1.0,2.0,2.0,2.0,85.5,96.0,high_confidence,202
EL N J,Elizabeth,21.0,55 56,21.0,2.0,1.4,1.0,3.0,2.0,3.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,,,,1.0,1.0,,1.0,,,,1.0,1.0,,,,,1.0,,1.0,3.0,,,1.0,1.0,,,,,1.0,,1.0,1.0,89.6,63.2,low_confidence,202
PA ULSBORO N J,Paulsboro,22.0,55,25.0,4.0,1.6,1.0,2.0,4.0,3.0,5.0,2.0,1.0,4.0,1.0,,2.0,,1.0,4.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,,3.0,,,3.0,3.0,2.0,1.0,1.0,1.0,,1.0,,1.0,,,3.0,2.0,2.0,1.0,,1.0,,1.0,,,,,92.0,96.3,high_confidence,202
CA MOEN N OJ,Camden,19.0,55 56,21.0,5.0,2.3,1.0,2.0,3.0,3.0,2.0,,1.0,1.0,2.0,3.0,2.0,,2.0,2.0,5.0,4.0,5.0,,1.0,2.0,2.0,2.0,4.0,,4.0,2.0,3.0,3.0,3.0,,1.0,2.0,1.0,1.0,4.0,,3.0,2.0,2.0,3.0,1.0,,1.0,2.0,1.0,1.0,4.0,,2.0,77.7,81.8,low_confidence,202
PERTH AMBOY N J,Perth Amboy,18.0,55 56,22.0,61.0,2.6,1.0,3.0,1.0,4.0,5.0,,,,2.0,,2.0,3.0,2.0,3.0,1.0,2.0,61.0,,,,1.0,,1.0,4.0,3.0,1.0,1.0,1.0,13.0,,,,1.0,,1.0,1.0,2.0,,1.0,1.0,,,,,1.0,,1.0,,1.0,92.3,100.0,exact,202
TR ENTON N,Trenton,28.0,55 56,17.0,6.0,2.1,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,1.0,4.0,1.0,6.0,,,1.0,1.0,,5.0,1.0,2.0,1.0,2.0,1.0,6.0,,,1.0,1.0,,5.0,1.0,1.0,1.0,1.0,1.0,6.0,,,1.0,1.0,,5.0,1.0,1.0,94.2,85.7,high_confidence,202
NEW YORK WN,New York,30.0,54 56,73.0,61.0,9.5,1.0,4.0,4.0,4.0,8.0,5.0,10.0,7.0,5.0,6.0,6.0,7.0,7.0,45.0,3.0,37.0,24.0,41.0,34.0,14.0,4.0,61.0,26.0,57.0,40.0,13.0,1.0,19.0,9.0,8.0,4.0,4.0,2.0,24.0,8.0,10.0,12.0,1.0,1.0,2.0,1.0,,,,,2.0,2.0,,,89.0,87.0,high_confidence,202
A PA,Tampa,84.0,54 56,157.0,68.0,3.2,1.0,20.0,16.0,14.0,15.0,19.0,12.0,13.0,13.0,10.0,8.0,8.0,9.0,68.0,53.0,3.0,26.0,10.0,5.0,4.0,6.0,8.0,4.0,4.0,9.0,8.0,8.0,2.0,3.0,3.0,2.0,1.0,2.0,3.0,2.0,2.0,3.0,,1.0,1.0,,,1.0,,1.0,1.0,1.0,1.0,1.0,94.0,66.7,low_confidence,202
ALTOONA PA,Altoona,57.0,56,11.0,3.0,1.0,1.0,,1.0,1.0,2.0,3.0,,,1.0,2.0,,1.0,,,,1.0,1.0,3.0,,,1.0,,2.0,1.0,,,1.0,1.0,1.0,,,,1.0,,1.0,1.0,,,1.0,1.0,1.0,,,,1.0,,,1.0,,93.3,100.0,exact,202
BRISTOL PA,Bristol,58.0,55 56,17.0,5.0,1.4,1.0,,,1.0,1.0,2.0,,2.0,1.0,4.0,2.0,2.0,2.0,,2.0,1.0,,1.0,,5.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,3.0,,1.0,1.0,1.0,1.0,,2.0,1.0,,,,1.0,,1.0,1.0,1.0,1.0,91.0,100.0,exact,202
CHESTER PA,Chester,55.0,55 56,18.0,5.0,2.6,1.0,,1.0,,2.0,2.0,2.0,2.0,3.0,4.0,1.0,,1.0,,3.0,,2.0,1.0,1.0,4.0,5.0,5.0,,,4.0,,3.0,,2.0,,1.0,2.0,3.0,3.0,,,4.0,,3.0,,2.0,,1.0,,1.0,3.0,,,4.0,94.0,100.0,exact,202
ER VE PA,Erie,56.0,56,25.0,3.0,1.0,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,,3.0,4.0,2.0,3.0,1.0,,1.0,2.0,,1.0,,,1.0,3.0,1.0,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,1.0,,,,,1.0,,80.2,80.0,low_confidence,202
PJ TTSBURGH PA,Pittsburgh,48.0,56,20.0,6.0,2.3,1.0,3.0,3.0,3.0,,,3.0,2.0,,2.0,2.0,2.0,,3.0,3.0,,,,4.0,1.0,,3.0,3.0,6.0,3.0,1.0,1.0,4.0,,,2.0,1.0,,2.0,3.0,4.0,3.0,1.0,1.0,3.0,,,1.0,1.0,,2.0,3.0,3.0,3.0,76.2,88.9,high_confidence,202
WII LLIAMSPORT PA,Williamsport,50.0,55 56,23.0,5.0,2.4,1.0,,3.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,,5.0,3.0,4.0,4.0,,1.0,3.0,,1.0,3.0,3.0,,3.0,3.0,3.0,2.0,,1.0,3.0,,,2.0,2.0,,2.0,3.0,3.0,1.0,,1.0,3.0,2.0,,1.0,1.0,89.8,93.8,high_confidence,202
WASHINGTON OC,Washington,61.0,,43.0,98.0,10.0,2.0,1.0,6.0,1.0,5.0,6.0,6.0,4.0,7.0,6.0,,1.0,,5.0,6.0,3.0,87.0,98.0,48.0,2.0,2.0,3.0,3.0,3.0,,5.0,4.0,3.0,27.0,18.0,19.0,,,,1.0,3.0,,5.0,3.0,3.0,2.0,,,,,,,3.0,,83.0,88.9,high_confidence,203
LO UISVILLE KY,Louisville,64.0,54 55,67.0,15.0,3.4,,2.0,3.0,1.0,2.0,4.0,4.0,13.0,13.0,12.0,6.0,1.0,6.0,2.0,5.0,7.0,4.0,7.0,13.0,,9.0,15.0,9.0,3.0,15.0,1.0,3.0,7.0,2.0,1.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,,,,,,,,,,,,,86.8,96.3,high_confidence,203
MI NTMUM,MI NtMUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.0,0.0,unmatched,203
BA LTTMORE MD,Baltimore,67.0,57,18.0,,,,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.8,88.0,high_confidence,203
MA X 1 MUM,MA X 1 MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.2,0.0,unmatched,203
AV ERAGE,AV ERAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.3,0.0,unmatched,203
MI,Mi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.2,0.0,unmatched,203
CHAR LESTON W VA,Charleston,77.0,54 55,24.0,,,,,1.0,3.0,5.0,5.0,3.0,2.0,1.0,1.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.5,96.8,high_confidence,203
MA XI MUM,MA Xi MUM,,,,,19.1,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,9.0,40.0,15.0,32.0,6.0,10.0,20.0,9.0,,30.0,,,,,,,,,,,,,87.6,0.0,unmatched,203
M I NI MUM,M I NI MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.4,0.0,unmatched,203
TAMP A FLA,Tampa,84.0,54 55,28.0,,,,2.0,2.0,1.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.8,94.7,high_confidence,203
MA X 1 MUM,MA X 1 MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.6,0.0,unmatched,203
AV ERAGE,AV ERAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.5,0.0,unmatched,203
MI NI MUM,Mi Ni MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.2,0.0,unmatched,203
ATLA NTA GA,Atlanta,85.0,54 56,22.0,,,,1.0,2.0,4.0,4.0,3.0,1.0,3.0,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90.0,95.2,high_confidence,203
MA X1MUM,MA X1MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.5,0.0,unmatched,203
AY ERAGE,AY ERAGE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.5,0.0,unmatched,203
MI NIMUM,MI NIMUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2,0.0,unmatched,203
CH ATTANOOGA TENN,Chattanooga,92.0,55 56,31.0,4.0,1.9,1.0,1.0,5.0,3.0,2.0,2.0,,,4.0,4.0,5.0,3.0,2.0,,,2.0,3.0,4.0,,3.0,2.0,3.0,3.0,2.0,4.0,,2.0,1.0,2.0,3.0,,3.0,1.0,2.0,2.0,1.0,2.0,,,1.0,1.0,3.0,,3.0,1.0,1.0,1.0,1.0,1.0,92.8,97.0,high_confidence,203
CH PEL,CH PEL,,54 55,110.0,62.0,4.7,1.0,4.0,7.0,6.0,3.0,10.0,20.0,14.0,9.0,8.0,16.0,13.0,,1.0,,3.0,5.0,18.0,62.0,9.0,5.0,9.0,9.0,16.0,42.0,,10.0,2.0,3.0,4.0,14.0,1.0,1.0,2.0,2.0,3.0,10.0,,1.0,,1.0,,,,,,,,,82.5,0.0,unmatched,203
EA ST ST LOU IS PLL,East St. Louis,104.0,55 56,27.0,10.0,3.1,1.0,4.0,2.0,2.0,2.0,,3.0,1.0,4.0,3.0,1.0,2.0,3.0,5.0,3.0,10.0,8.0,,4.0,6.0,3.0,4.0,1.0,5.0,4.0,2.0,2.0,6.0,5.0,2.0,3.0,6.0,2.0,2.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,1.0,3.0,6.0,2.0,1.0,1.0,2.0,,80.4,88.9,high_confidence,203
EA ST CHICAG 0 INO,East Chicago,107.0,55 56,86.0,30.0,4.8,1.0,6.0,5.0,14.0,7.0,4.0,6.0,10.0,5.0,7.0,6.0,8.0,8.0,5.0,20.0,14.0,13.0,16.0,20.0,30.0,29.0,4.0,5.0,3.0,4.0,3.0,4.0,5.0,7.0,10.0,,8.0,8.0,2.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,4.0,3.0,1.0,2.0,1.0,1.0,,,89.0,82.4,low_confidence,203
DE TROUT MIC,Detroit,115.0,53 54,21.0,108.0,50.6,1.0,,,1.0,2.0,1.0,1.0,,,,,16.0,,,,37.0,108.0,51.0,53.0,,,,,105.0,,,,37.0,78.0,51.0,53.0,,,,,34.0,,,,37.0,48.0,51.0,53.0,,,,,1.0,,79.2,83.3,low_confidence,203
NCINNATI,Cincinnati,126.0,54 55,123.0,741.0,10.8,1.0,3.0,5.0,30.0,10.0,10.0,19.0,8.0,9.0,12.0,8.0,3.0,6.0,57.0,20.0,65.0,741.0,22.0,5.0,3.0,4.0,4.0,6.0,70.0,10.0,20.0,7.0,15.0,23.0,2.0,,,1.0,2.0,2.0,25.0,,1.0,4.0,,,,,,,,1.0,2.0,1.0,84.7,88.9,high_confidence,203
YOUNGSTOWN QHIO,Youngstown,137.0,57,12.0,29.0,12.0,3.0,,,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,,,,,10.0,18.0,10.0,3.0,16.0,29.0,7.0,21.0,,,,,10.0,13.0,10.0,3.0,15.0,22.0,7.0,16.0,,,,,10.0,8.0,10.0,3.0,15.0,16.0,7.0,12.0,,,82.3,88.9,high_confidence,203
M II LWAUKEE W A,Milwaukee,138.0,57,19.0,38.0,25.2,4.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0,1.0,,,13.0,21.0,16.0,38.0,15.0,4.0,10.0,7.0,14.0,,,,11.0,13.0,10.0,26.0,9.0,4.0,7.0,7.0,12.0,153.0,,,10.0,5.0,5.0,9.0,4.0,4.0,4.0,7.0,11.0,13.0,,,65.0,73.3,low_confidence,203
KA NSAS CITYY MO,Kansas City,150.0,54 56,37.0,60.0,5.2,1.0,4.0,2.0,8.0,6.0,5.0,3.0,2.0,4.0,1.0,1.0,1.0,,4.0,3.0,60.0,31.0,1.0,3.0,1.0,5.0,2.0,,2.0,2.0,2.0,3.0,29.0,8.0,,1.0,1.0,2.0,2.0,,2.0,2.0,1.0,3.0,2.0,,,,1.0,1.0,2.0,,2.0,2.0,83.0,93.3,high_confidence,203
8T LOUIS MO,St. Louis,154.0,55,23.0,30.0,2.6,1.0,2.0,2.0,,2.0,3.0,2.0,2.0,3.0,1.0,1.0,3.0,2.0,6.0,4.0,,5.0,2.0,3.0,2.0,30.0,3.0,3.0,1.0,,3.0,3.0,,4.0,1.0,2.0,1.0,,3.0,3.0,,3.0,1.0,2.0,,3.0,1.0,1.0,,,3.0,3.0,1.0,3.0,80.2,95.2,high_confidence,204
NEW ORLEANS LA,New Orleans,162.0,,50.0,1.0,,,2.0,3.0,3.0,4.0,6.0,6.0,6.0,4.0,4.0,4.0,5.0,3.0,,1.0,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,93.2,100.0,exact,204
FT WORTH TEXAS,Ft. Worth,174.0,54 55,27.0,518.0,29.7,1.0,2.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,518.0,1.0,,1.0,,,,1.0,1.0,3.0,1.0,1.0,173.0,,,1.0,,,,1.0,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,91.0,85.7,high_confidence,204
HOUSTON TEXAS,Houston,177.0,55,79.0,86.0,6.3,1.0,1.0,5.0,8.0,5.0,8.0,14.0,7.0,3.0,6.0,6.0,9.0,7.0,5.0,3.0,61.0,77.0,45.0,86.0,8.0,2.0,,4.0,1.0,7.0,5.0,1.0,13.0,17.0,12.0,18.0,3.0,1.0,2.0,1.0,1.0,2.0,5.0,1.0,,1.0,1.0,,,,1.0,,1.0,,95.0,91.7,high_confidence,204
BELLA I RE TEXAS,Bellaire,179.0,54 55,31.0,127.0,2.1,1.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0,,4.0,2.0,3.0,3.0,4.0,,1.0,1.0,,11.0,127.0,2.0,2.0,2.0,3.0,2.0,2.0,1.0,1.0,,,8.0,,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,,,6.0,,1.0,1.0,1.0,2.0,87.0,85.7,high_confidence,204
DENVER COL,Denver,182.0,54 55,26.0,24.0,5.2,1.0,2.0,2.0,2.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,10.0,20.0,4.0,24.0,7.0,5.0,3.0,4.0,10.0,6.0,2.0,1.0,7.0,12.0,3.0,10.0,5.0,3.0,2.0,4.0,10.0,4.0,2.0,1.0,5.0,,3.0,2.0,4.0,2.0,2.0,4.0,10.0,3.0,86.5,95.2,high_confidence,204
