Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
HARTFORO CONN,Hartford,2.0,57,19.0,490.0,45.9,5.0,,2.0,,2.0,2.0,1.0,3.0,2.0,2.0,,3.0,2.0,,13.0,,85.0,30.0,41.0,490.0,100.0,41.0,31.0,14.0,40.0,,9.0,,59.0,22.0,41.0,173.0,56.0,34.0,27.0,11.0,27.0,,,,33.0,15.0,41.0,12.0,13.0,27.0,23.0,5.0,15.0,91.0,92.3,high_confidence,59
STAMFORD CONN,Stamford,4.0,,20.0,304.0,27.2,1.0,1.0,,,1.0,3.0,2.0,3.0,1.0,3.0,1.0,2.0,3.0,10.0,,,33.0,74.0,29.0,304.0,10.0,291.0,86.0,8.0,16.0,10.0,,,33.0,38.0,22.0,,10.0,,88.0,4.0,13.0,10.0,,,33.0,16.0,,45.0,10.0,16.0,88.0,1.0,12.0,94.0,100.0,exact,59
PO RTLAND MAIWE,Portland,5.0,,14.0,38.0,15.0,6.0,,1.0,1.0,,1.0,2.0,2.0,,1.0,1.0,2.0,3.0,,12.0,14.0,,10.0,28.0,24.0,,22.0,38.0,37.0,15.0,,,4.0,,10.0,19.0,17.0,,22.0,36.0,2.0,10.0,,12.0,14.0,,10.0,10.0,10.0,,22.0,38.0,19.0,6.0,90.7,84.6,low_confidence,59
BO STON MASS,Boston,6.0,,46.0,156.0,16.3,1.0,3.0,2.0,1.0,,4.0,3.0,6.0,4.0,3.0,7.0,8.0,5.0,7.0,,17.0,15.0,156.0,26.0,21.0,13.0,,69.0,8.0,17.0,6.0,9.0,17.0,1.0,44.0,24.0,9.0,8.0,44.0,27.0,4.0,3.0,5.0,8.0,,7.0,4.0,22.0,,6.0,2.0,,,1.0,94.0,95.7,high_confidence,59
EV ERETT MASS,Everett,8.0,,14.0,5388.0,57.8,3.0,1.0,1.0,2.0,1.0,2.0,2.0,,2.0,1.0,,,2.0,,,10.0,19.0,5388.0,9.0,,7.0,8.0,,,12.0,,,,19.0,299.0,6.0,,6.0,8.0,,,9.0,,11.0,,19.0,11.0,3.0,,5.0,8.0,,,7.0,87.2,96.0,high_confidence,59
LA WRENCE MASS,Lawrence,9.0,,16.0,65.0,30.1,9.0,,,1.0,,3.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,9.0,,36.0,38.0,38.0,17.0,,65.0,19.0,19.0,,,,,22.0,31.0,25.0,13.0,65.0,38.0,,17.0,,,9.0,,10.0,25.0,13.0,9.0,47.0,12.0,19.0,16.0,93.7,96.3,high_confidence,59
LYNN MASS,Lynn,10.0,,14.0,320.0,88.2,9.0,,1.0,,,3.0,2.0,2.0,,2.0,2.0,,2.0,,19.0,,,53.0,250.0,13.0,320.0,36.0,164.0,9.0,14.0,,19.0,,,28.0,141.0,153.0,320.0,34.0,78.0,9.0,12.0,,19.0,,,12.0,32.0,15.0,320.0,32.0,35.0,9.0,10.0,92.3,100.0,exact,59
30 MERVILLE MASS,Somerville,11.0,,18.0,179.0,37.0,1.0,,1.0,1.0,,1.0,2.0,3.0,2.0,3.0,1.0,2.0,2.0,,6.0,,,81.0,22.0,102.0,,179.0,39.0,15.0,17.0,,6.0,20.0,,81.0,15.0,41.0,109.0,,39.0,13.0,9.0,,6.0,20.0,,,9.0,4.0,11.0,3.0,39.0,11.0,1.0,72.3,92.9,high_confidence,59
WO RCESTER MASS,Worcester,12.0,,19.0,45.0,16.8,4.0,,,1.0,,2.0,3.0,3.0,2.0,3.0,2.0,,3.0,,,2.0,,45.0,37.0,28.0,11.0,,,14.0,11.0,,,,,30.0,34.0,6.0,10.0,,,14.0,7.0,,,26.0,,15.0,32.0,7.0,10.0,,4.0,14.0,5.0,81.3,96.6,high_confidence,59
MA NCHESTER WN H,Manchester,13.0,57,12.0,140.0,26.9,6.0,,,,,2.0,1.0,,2.0,2.0,2.0,1.0,2.0,,,,,40.0,16.0,,140.0,13.0,68.0,6.0,9.0,,,,,31.0,16.0,,76.0,13.0,43.0,6.0,3.0,,,,,23.0,16.0,,13.0,13.0,,6.0,,71.2,93.3,high_confidence,59
