Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Col_17,Col_18,Col_19,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
MINE MUM,,,45.0,,,,53.0,,46.0,,48.0,62.0,,,,,,,87.5,41,,MINE MUM,,0.0,unmatched,False,False
LAWRENCE MASS,57,,,,,,,,,,,,,,,,,,95.3,41,,Lawrence,9.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,2.0,,,,2.0,2.0,2.0,3.0,,,2.0,,,,,,95.5,41,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
NUMBER OF SAMPLES,,,70.0,,,,39.0,60.0,89.0,117.0,,123.0,,,,,,,93.5,41,,nan,,0.0,unmatched,False,False
AVERAGE,,,48.0,,,,35.0,39.0,64.0,75.0,,94.0,,,,,,,88.5,41,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,27.0,,,,32.0,,39.0,,,66.0,,,,,,,92.9,41,,MINIMUM,,0.0,unmatched,False,False
LYNN MASS,57,,,,,,,,,,,,,,,,,,94.7,41,,Lynn,10.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,1.0,1.0,,3.0,2.0,2.0,,2.0,3.0,,2.0,,,,,,95.8,41,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,68.0,,240.0,71.0,187.0,,134.0,,333.0,,80.0,,,,,,88.8,41,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,68.0,,147.0,45.0,133.0,,134.0,,187.0,,75.0,,,,,,94.8,41,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,68.0,,,,80.0,119.0,134.0,,76.0,,70.0,,,,,,93.3,41,,MINIMUM,,0.0,unmatched,False,False
SOMERVILLE MASS,57,,,,,,,,,,,,,,,,,,87.0,41,,Somerville,11.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,2.0,,,,2.0,3.0,,3.0,,2.0,2.0,,,,,,95.7,41,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,65.0,,120.0,59.0,75.0,,91.0,,,65.0,77.0,,,,,,94.4,41,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,58.0,59.0,93.0,59.0,58.0,,75.0,,,62.0,,,,,,,92.0,41,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,52.0,33.0,66.0,59.0,41.0,,60.0,,,59.0,,,,,,,90.8,41,,MINIMUM,,0.0,unmatched,False,False
WORCESTER MASS,57,,,,,,,,,,,,,,,,,,92.0,41,,Worcester,12.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,2.0,,,,3.0,3.0,,3.0,,,3.0,,,,,,93.4,41,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
NUMBER OF SAMPLES,,,110.0,,92.0,82.0,79.0,,,78.0,,137.0,,,,,,,94.2,41,,,,,skip,False,False
AVERAGE,,,89.0,,92.0,51.0,71.0,,,60.0,,137.0,,,,,,,91.4,41,,Anchorage,187.0,62.5,low_confidence,False,False
MIN MUM,,,69.0,,92.0,20.0,57.0,,,34.0,46.0,137.0,,,,,,,92.5,41,,MIN MUM,,0.0,unmatched,False,False
MANCHESTER NH,57,,,,,,,,,,,,,,,,,,75.0,41,,Manchester,13.0,96.3,high_confidence,False,False
NUMBER OF SAMPLES,,,1.0,2.0,2.0,2.0,1.0,1.0,2.0,,2.0,,2.0,,,,,,94.7,41,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXUMUM,,,73.0,,99.0,49.0,33.0,33.0,56.0,68.0,107.0,,101.0,,,,,,86.3,41,,MAXUMUM,,0.0,unmatched,False,False
AVERAGE,,,73.0,,57.0,45.0,33.0,33.0,43.0,68.0,72.0,,69.0,,,,,,94.3,41,,Anchorage,187.0,62.5,low_confidence,False,False
MINEMUM,,,73.0,,,,33.0,33.0,,68.0,,,37.0,,,,,,88.2,41,,MINEMUM,,0.0,unmatched,False,False
PROVIOENCE R I,57,,,,,,,,,,,,,,,,,,76.0,41,,Providence,14.0,92.9,high_confidence,False,False
NUMBER OF SAMPLES,,,2.0,,,,3.0,,3.0,,6.0,,3.0,,,,,,93.3,41,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,700.0,2.0,,70.0,52.0,85.0,,,172.0,,167.0,,,,,,85.6,41,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,400.0,,,,44.0,79.0,,,113.0,146.0,,,,,,,93.8,41,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,101.0,,,,33.0,73.0,,,83.0,146.0,,,,,,,88.3,41,,MINIMUM,,0.0,unmatched,False,False
BURLINGTORN,57,,,,,,,,,,,,,,,,,,49.5,41,,Burlington,16.0,95.2,high_confidence,False,False
UM R OF SAMPLES,,,3.0,1.0,2.0,2.0,3.0,,2.0,2.0,2.0,3.0,,,,,,,93.5,41,,UM R OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,45.0,,32.0,24.0,25.0,34.0,,,34.0,,33.0,,,,,,94.2,41,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,30.0,,,,19.0,21.0,24.0,24.0,28.0,,29.0,,,,,,95.2,41,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,22.0,,,,15.0,,15.0,16.0,,8.0,26.0,,,,,,87.2,41,,MINIMUM,,0.0,unmatched,False,False
WI LMINGTON,57,,,,,,,,,,,,,,,,,,75.3,41,,Wilmington,17.0,95.2,high_confidence,False,False
NUMBER OF SAMPLES,,,2.0,2.0,,3.0,3.0,,3.0,,2.0,5.0,,,,,,,95.5,41,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,136.0,,,,145.0,,1086.0,,96.0,332.0,410.0,,,,,,89.5,41,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,88.0,,98.0,96.0,91.0,,82.0,,81.0,170.0,410.0,,,,,,91.6,41,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,41.0,,,,38.0,,52.0,67.0,67.0,79.0,410.0,,,,,,93.4,41,,MINIMUM,,0.0,unmatched,False,False
ELIZABETH N SAMPLES,56,,,,,,,,,,,,,,,,,,92.0,42,,Elizabeth,21.0,75.0,low_confidence,False,False
NUMBER OF,,,109.0,126.0,68.0,,,122.0,132.0,275.0,,,249.0,,,,,,91.1,42,,NUMBER OF,,0.0,unmatched,False,False
MAXIMUM,,,,,,,,,,,,,,,,,,,59.0,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,77.0,85.0,54.0,,,86.0,108.0,150.0,,222.0,,,,,,,92.3,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,46.0,45.0,42.0,,,65.0,,86.0,,161.0,,,,,,,87.5,42,,MINIMUM,,0.0,unmatched,False,False
PA ULSBORO WN J,55 56,,,,,,,,,,,,,,,,,,88.0,42,,Paulsboro,22.0,92.9,high_confidence,False,True
NUMBER OF SAMPLES,,,4.0,3.0,4.0,4.0,,4.0,,4.0,4.0,,4.0,,,,,,95.8,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,183.0,,,,,117.0,,160.0,,142.0,,,,,,,94.0,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,129.0,,,,,92.0,,5293.0,,107.0,,,,,,,92.5,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,98.0,,,,,73.0,,,39.0,85.0,,,,,,,91.3,42,,MINIMUM,,0.0,unmatched,False,False
CA MODEN N J,55 57,,,,,,,,,,,,,,,,,,82.3,42,,Camden,19.0,90.9,high_confidence,False,True
NUMBER OF SAMPLES,,,6.0,5.0,6.0,6.0,2.0,5.0,6.0,6.0,,7.0,,,,,,,94.3,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,213.0,,,,105.0,138.0,,163.0,,,24.0,,,,,,91.2,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,114.0,,,,92.0,,93.0,,,160.0,,,,,,,92.5,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,44.0,,,,80.0,,,,57.0,91.0,,,,,,,85.2,42,,MINIMUM,,0.0,unmatched,False,False
PERTH AMBOY N J,55 56,,,,,,,,,,,,,,,,,,93.0,42,,Perth Amboy,18.0,100.0,exact,False,True
NUMBER OF SAMPLES,,,3.0,3.0,3.0,3.0,,4.0,,3.0,,3.0,4.0,,,,,,94.8,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,115.0,,,,,106.0,119.0,,105.0,161.0,184.0,,,,,,91.8,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,84.0,,,,,81.0,,,76.0,104.0,130.0,,,,,,91.0,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,59.0,,,,,61.0,,,47.0,47.0,67.0,,,,,,94.5,42,,MINIMUM,,0.0,unmatched,False,False
TRENTON N J,55 56,,,,,,,,,,,,,,,,,,88.4,42,,Trenton,28.0,100.0,exact,False,True
NUMBER OF SAMPLES,,,4.0,3.0,,4.0,,2.0,2.0,,3.0,3.0,,,,,,,90.3,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,302.0,,133.0,53.0,,1.0,56.0,,80.0,191.0,318.0,,,,,,92.3,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,150.0,,77.0,47.0,,58.0,,,46.0,123.0,133.0,,,,,,95.4,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,,,,,,36.0,36.0,,18.0,53.0,,,,,,,92.1,42,,MINIMUM,,0.0,unmatched,False,False
JERSEY CITY J,55 57,,,,,,,,,,,,,,,,,,90.2,42,,Jersey City,27.0,92.9,high_confidence,False,True
NUMBER OF SAMPLES,,,6.0,5.0,6.0,6.0,2.0,7.0,,,7.0,,5.0,,,,,,90.9,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,199.0,,,,125.0,176.0,238.0,,,225.0,,,,,,,93.8,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,125.0,,,,101.0,110.0,118.0,,,146.0,168.0,,,,,,90.8,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,86.0,,,,79.0,,74.0,,,109.0,,,,,,,93.6,42,,MINIMUM,,0.0,unmatched,False,False
EAST ORANGE,57,,,,,,,,,,,,,,,,,,72.3,42,,East Orange,29.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,2.0,,,,1.0,2.0,2.0,2.0,,,2.0,,,,,,95.3,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
NUMBER OF SAMPLES,,,201.0,26.0,151.0,86.0,145.0,,92.0,173.0,,24.0,354.0,,,,,,90.9,42,,nan,,0.0,unmatched,False,False
AVERAGE,,,121.0,20.0,151.0,,145.0,,80.0,130.0,,24.0,253.0,,,,,,91.5,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,41.0,16.0,151.0,25.0,145.0,,69.0,88.0,,24.0,148.0,,,,,,90.7,42,,MINIMUM,,0.0,unmatched,False,False
NEWARK N J,57,,,,,,,,,,,,,,,,,,93.0,42,,Newark,20.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,2.0,,3.0,1.0,2.0,,1.0,2.0,2.0,,,,,,,,95.2,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,102.0,300.0,378.0,,83.0,,63.0,,74.0,,,,,,,,91.5,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,85.0,,192.0,52.0,77.0,,63.0,,67.0,,,,,,,,86.9,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,68.0,,74.0,52.0,71.0,,63.0,,61.0,,,,,,,,90.0,42,,MINIMUM,,0.0,unmatched,False,False
NEW YORK WN Y,55 57,,,,,,,,,,,,,,,,,,85.5,42,,New York,30.0,96.0,high_confidence,False,True
NUMBER OF SAMPLES,,,9.0,,,,7.0,15.0,15.0,16.0,,,,,,,,,94.0,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,344.0,,,,127.0,,,130.0,402.0,,1748.0,,,,,,88.2,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,151.0,,,,82.0,,79.0,83.0,142.0,,,,,,,,91.8,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,54.0,,,,17.0,18.0,23.0,44.0,58.0,59.0,,,,,,,92.6,42,,MINIMUM,,0.0,unmatched,False,False
BINGHAMTON N Y,57,,,,,,,,,,,,,,,,,,64.0,42,,Binghamton,34.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,,2.0,,,,,,94.8,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,82.0,,,,49.0,,68.0,,75.0,81.0,,,,,,,93.2,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,74.0,,108.0,69.0,40.0,,65.0,,60.0,74.0,,,,,,,94.5,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,66.0,,108.0,41.0,32.0,33.0,63.0,,44.0,67.0,,,,,,,94.8,42,,MINIMUM,,0.0,unmatched,False,False
BUFF ALA N Y,57,,,,,,,,,,,,,,,,,,65.2,42,,Buffalo,35.0,87.0,high_confidence,False,False
NUMBER OF SAMPLES,,,2.0,2.0,2.0,2.0,3.0,,,2.0,,1.0,1.0,,,,,,95.1,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,46.0,,3453.0,22.0,181.0,,,106.0,,114.0,,,,,,,89.4,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,36.0,,196.0,78.0,144.0,,,105.0,,114.0,,,,,,,91.6,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINEMUM,,,26.0,,,,114.0,,,105.0,,114.0,,,,,,,93.5,42,,MINEMUM,,0.0,unmatched,False,False
SCHENECTADY NY,57,,,,,,,,,,,,,,,,,,76.3,42,,Schenectady,36.0,96.6,high_confidence,False,False
NUMBER OF SAMPLES,,,2.0,,,,1.0,2.0,2.0,2.0,2.0,2.0,,,,,,,93.3,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,82.0,,,,42.0,,,54.0,236.0,,,,,,,,93.8,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,57.0,,,,42.0,,,44.0,132.0,,,,,,,,93.7,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,33.0,25.0,,47.0,42.0,,,35.0,,47.0,,,,,,,93.4,42,,MINIMUM,,0.0,unmatched,False,False
SYRACUSE NY,57,,,,,,,,,,,,,,,,,,75.0,42,,Syracuse,37.0,95.7,high_confidence,False,False
NUMBER OF SAMPLES,,,3.0,2.0,,3.0,1.0,3.0,,2.0,2.0,3.0,,,,,,,94.8,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,18.0,,,,109.0,,,,112.0,283.0,,,,,,,89.9,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,67.0,,,,109.0,,74.0,,90.0,130.0,,,,,,,93.2,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,38.0,,,,109.0,,63.0,68.0,68.0,,48.0,,,,,,94.5,42,,MINIMUM,,0.0,unmatched,False,False
UTICA N,57,,,,,,,,,,,,,,,,,,91.7,42,,Utica,38.0,87.5,high_confidence,False,False
NUMBER OF SAMPLES,,,2.0,2.0,2.0,2.0,1.0,3.0,,3.0,,2.0,,,,,,,94.3,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,139.0,,91.0,36.0,44.0,50.0,83.0,120.0,,125.0,,,,,,,93.7,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,95.0,,71.0,31.0,44.0,,83.0,,,80.0,,,,,,,93.2,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,51.0,,,,44.0,,83.0,,,35.0,42.0,,,,,,88.6,42,,MINIMUM,,0.0,unmatched,False,False
PHILADELPHIA,57,,,,,,,,,,,,,,,,,,88.0,42,,Philadelphia,41.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,61.0,,,,66.0,99.0,,89.0,,93.0,,,,,,,91.9,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,2.0,400.0,829.0,522.0,281.0,383.0,,343.0,,616.0,738.0,,,,,,85.4,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,185.0,,177.0,145.0,1353.0,,111.0,125.0,137.0,180.0,220.0,,,,,,89.1,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINI MUM,,,32.0,,34.0,48.0,53.0,,34.0,,,42.0,44.0,,,,,,80.7,42,,Mini MUM,,0.0,unmatched,False,False
ALTOONA PA,55 56,,,,,,,,,,,,,,,,,,95.5,42,,Altoona,57.0,100.0,exact,False,True
NUMBER OF SAMPLES,,,1.0,1.0,,3.0,3.0,,3.0,3.0,5.0,,3.0,,,,,,95.6,42,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,173.0,,,,,,110.0,,490.0,,,,,,,,94.4,42,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,173.0,,,,40.0,,63.0,74.0,171.0,,,,,,,,91.0,42,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,173.0,230.0,,98.0,35.0,,40.0,63.0,,83.0,,,,,,,93.0,42,,MINIMUM,,0.0,unmatched,False,False
BRISTOL PA,53 56,,,,,,,,,,,,,,,,,,92.5,43,,Bristol,58.0,100.0,exact,False,True
NUMBER OF SAMPLES,,,3.0,3.0,3.0,3.0,,4.0,,4.0,,3.0,4.0,,,,,,95.9,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXT MUM,,,71.0,,,,,109.0,,101.0,,126.0,156.0,,,,,,86.3,43,,MAXt MUM,,0.0,unmatched,False,False
AVERAGE,,,59.0,106.0,37.0,,,65.0,,76.0,,92.0,,,,,,,92.6,43,,Anchorage,187.0,62.5,low_confidence,False,False
AVERAGE,,,53.0,,,,,40.0,,52.0,,49.0,,,,,,,89.6,43,,nan,,0.0,unmatched,False,False
CHESTEK PA,56,,,,,,,,,,,,,,,,,,92.7,43,,Chester,55.0,90.0,high_confidence,False,False
NUMBER OF SAMPLES,,,4.0,1.0,4.0,4.0,,4.0,4.0,4.0,5.0,,4.0,,,,,,93.1,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAX MUM,,,209.0,73.0,,100.0,,130.0,,110.0,120.0,350.0,,,,,,,88.2,43,,MAX MUM,,0.0,unmatched,False,False
AVERAGE,,,124.0,73.0,,68.0,,79.0,,71.0,,278.0,,,,,,,91.3,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,60.0,,,,,51.0,,,40.0,207.0,,,,,,,84.0,43,,MINIMUM,,0.0,unmatched,False,False
ERTE PA,55 56,,,,,,,,,,,,,,,,,,93.2,43,,Erie,56.0,85.7,high_confidence,False,True
NUMBER OF SAMPLES,,,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,,5.0,,,,,,94.5,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,106.0,,85.0,54.0,73.0,,48.0,62.0,66.0,,90.0,,,,,,88.0,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,63.0,74.0,,47.0,48.0,,,39.0,,37.0,39.0,,,,,,95.6,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINEMUM,,,33.0,,,,24.0,31.0,,,,20.0,20.0,,,,,,89.4,43,,MINEMUM,,0.0,unmatched,False,False
PL TTSBURGH PA,55 57,,,,,,,,,,,,,,,,,,87.4,43,,Pittsburgh,48.0,88.9,high_confidence,False,True
NUMBER OF SAMPLES,,,147.0,5.0,309.0,6.0,7.0,19.0,,,,6.0,,,,,,,95.3,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAX IMUM,,,,200.0,,224.0,239.0,,223.0,230.0,361.0,,,,,,,,88.3,43,,MAX IMUM,,0.0,unmatched,False,False
AVERAGE,,,121.0,136.0,147.0,146.0,140.0,,124.0,,134.0,,,,,,,,94.9,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,63.0,2.0,,94.0,2.0,10.0,69.0,,,,,,,,,,91.2,43,,MINIMUM,,0.0,unmatched,False,False
WI LLIAMSPORT PA,55 56,,,,,,,,,,,,,,,,,,89.4,43,,Williamsport,50.0,96.8,high_confidence,False,True
NUMBER OF SAMPLES,,,3.0,,,,4.0,4.0,5.0,,5.0,7.0,,,,,,,93.8,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,240.0,,,,190.0,1987.0,,,315.0,414.0,,,,,,,90.2,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,173.0,,153.0,128.0,,,118.0,128.0,,236.0,,,,,,,95.0,43,,Anchorage,187.0,62.5,low_confidence,False,False
AVERAGE,,,58.0,,,,99.0,,97.0,114.0,,,,,,,,,92.4,43,,nan,,0.0,unmatched,False,False
ALLENTOWN PA,57,,,,,,,,,,,,,,,,,,95.3,43,,Allentown,51.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,,,1.0,2.0,2.0,2.0,3.0,,3.0,,3.0,,,,,,95.1,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,,,,,87.0,,97.0,,76.0,,87.0,,,,,,92.1,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,,,,,69.0,,77.0,,,42.0,60.0,,,,,,92.1,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINS MUM,,,,,,,,63.0,,,,42.0,45.0,,,,,,80.4,43,,MINS MUM,,0.0,unmatched,False,False
JOHNSTOWN PA,57,,,,,,,,,,,,,,,,,,93.3,43,,Johnstown,52.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,,,1.0,1.0,3.0,,2.0,,1.0,1.0,,,,,,,93.4,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,,,235.0,106.0,69.0,,160.0,,198.0,,,,,,,,87.1,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,,,235.0,106.0,44.0,73.0,106.0,147.0,198.0,,,,,,,,94.1,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,,,235.0,106.0,18.0,73.0,,147.0,198.0,,,,,,,,91.4,43,,MINIMUM,,0.0,unmatched,False,False
LANCASTER PA,57,,,,,,,,,,,,,,,,,,95.0,43,,Lancaster,53.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,,,,93.5,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,,,233.0,,70.0,,72.0,,89.0,,,,,,,,89.5,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,,,2353.0,77.0,69.0,,69.0,,89.0,,,,,,,,92.4,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINT MUM,,,,,233.0,77.0,69.0,,66.0,,89.0,,,,,,,,81.0,43,,MINT MUM,,0.0,unmatched,False,False
SCRANTON PA,57,,,,,,,,,,,,,,,,,,93.0,43,,Scranton,54.0,100.0,exact,False,False
NUMBER OF SAMPLES,,,2.0,,,,2.0,2.0,2.0,2.0,3.0,,2.0,,,,,,95.2,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,295.0,,,,125.0,,114.0,,301.0,2253.0,,,,,,,86.3,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,221.0,,,,86.0,,78.0,78.0,222.0,,224.0,,,,,,94.0,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINT MUM,,,147.0,,,,49.0,,43.0,75.0,78.0,216.0,,,,,,,88.5,43,,MINT MUM,,0.0,unmatched,False,False
WASHINGTON OC,55 57,,,,,,,,,,,,,,,,,,93.5,43,,Washington,61.0,88.9,high_confidence,False,True
NUMBER OF SAMPLES,,,5.0,6.0,,7.0,6.0,8.0,12.0,,10.0,,,,,,,,94.9,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,365.0,,550.0,169.0,229.0,,,148.0,365.0,,,,,,,,94.6,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,184.0,,155.0,70.0,103.0,,,,172.0,,,,,,,,93.2,43,,Anchorage,187.0,62.5,low_confidence,False,False
AVERAGE,,,87.0,,,,9.0,28.0,,,35.0,36.0,47.0,,,,,,92.8,43,,nan,,0.0,unmatched,False,False
LOUISVILLE,55 57,,,,,,,,,,,,,,,,,,90.0,43,,Louisville,64.0,100.0,exact,False,True
NUMBER OF SAMPLES,,,5.0,,,,3.0,8.0,12.0,14.0,,7.0,7.0,,,,,,95.5,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,198.0,95.0,,268.0,100.0,105.0,276.0,,529.0,706.0,,,,,,,94.7,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,125.0,76.0,,138.0,78.0,78.0,99.0,103.0,206.0,340.0,,,,,,,94.5,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,58.0,,,,67.0,,,,,170.0,,,,,,,89.5,43,,MINIMUM,,0.0,unmatched,False,False
BALTIMORE MO,56,,,,,,,,,,,,,,,,,,93.7,43,,Baltimore,67.0,91.7,high_confidence,False,False
NUMBER OF SAMPLES,,,2.0,2.0,3.0,2.0,6.0,,8.0,,,7.0,,,,,,,93.0,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,103.0,,336.0,124.0,202.0,,177.0,,,375.0,952.0,,,,,,95.2,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,102.0,,177.0,74.0,97.0,116.0,,119.0,235.0,,410.0,,,,,,93.5,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINIMUM,,,102.0,,,,52.0,86.0,,85.0,86.0,115.0,,,,,,,90.3,43,,MINIMUM,,0.0,unmatched,False,False
CHARLOTTE NC,57,,,,,,,,,,,,,,,,,,84.7,43,,Charlotte,69.0,96.0,high_confidence,False,False
NUMBER OF SAMPLES,,,2.0,2.0,2.0,2.0,3.0,,2.0,2.0,,2.0,3.0,,,,,,95.5,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,158.0,,,,42.0,72.0,,255.0,,,531.0,,,,,,94.2,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,117.0,,,,32.0,61.0,,152.0,170.0,,364.0,,,,,,94.2,43,,Anchorage,187.0,62.5,low_confidence,False,False
MINE MUM,,,76.0,,,,23.0,51.0,,49.0,170.0,1012.0,,,,,,,82.1,43,,MINE MUM,,0.0,unmatched,False,False
WINSTON SALEM NC,,,,,,,,,,,,,,,,,,,87.7,43,,Winston-Salem,72.0,97.0,high_confidence,False,False
NUMBER OF SAMPLES,,,2.0,2.0,3.0,2.0,2.0,2.0,3.0,,3.0,,2.0,,,,,,95.5,43,,NUMBER OF SAMPLES,,0.0,unmatched,False,False
MAXIMUM,,,298.0,,,,37.0,52.0,67.0,,70.0,167.0,,,,,,,91.8,43,,MAXIMUM,,0.0,unmatched,False,False
AVERAGE,,,173.0,,,,37.0,52.0,,,590.0,,127.0,,,,,,90.4,43,,Anchorage,187.0,62.5,low_confidence,False,False
