Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Col_17,Col_18,Col_19,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
PROVIDEWCE R,2,54,23.0,17.0,133.0,50.0,20.0,29.0,34.0,40.0,44.0,47.0,52.0,65.0,,,,,94.2,1,,nan,,0.0,unmatched,False,False
PROVIDEWCE R,,54,23.0,17.0,208.0,76.0,21.0,40.0,47.0,,76.0,80.0,85.0,89.0,134.0,,,,92.6,1,,nan,,0.0,unmatched,False,False
PROVIDEWCE R,,,23.0,,289.0,96.0,25.0,40.0,45.0,55.0,76.0,89.0,123.0,145.0,219.0,,,,94.6,1,,nan,,0.0,unmatched,False,False
PROVIDEWCE R,,57,27.0,73.0,253.0,,,86.0,94.0,102.0,111.0,117.0,127.0,138.0,145.0,,,,91.4,1,,nan,,0.0,unmatched,False,False
PROVIDEWCE R,,54 57,73.0,17.0,289.0,97.0,34.0,47.0,69.0,80.0,88.0,103.0,117.0,132.0,171.0,,,,91.3,1,,nan,,0.0,unmatched,True,False
BURLINGTON VT,1,57,26.0,24.0,83.0,52.0,34.0,36.0,40.0,44.0,49.0,55.0,65.0,72.0,76.0,,,,94.5,1,,Burlington,16.0,100.0,exact,False,False
WILMINGTON DEL,1,57,26.0,77.0,481.0,,94.0,110.0,119.0,138.0,162.0,186.0,236.0,264.0,311.0,,,,90.6,1,,Wilmington,17.0,100.0,exact,False,False
ATLANTIC CIITY N J,1,54,6.0,55.0,240.0,113.0,55.0,55.0,65.0,65.0,105.0,114.0,114.0,123.0,123.0,,,,90.1,1,,Atlantic City,23.0,97.1,high_confidence,False,False
ATLANTIC CIITY N J,,,1.0,87.0,225.0,133.0,83.0,89.0,105.0,114.0,134.0,145.0,154.0,162.0,174.0,,,,88.2,1,,nan,,0.0,unmatched,False,False
ATLANTIC CIITY N J,1,54 55,17.0,,240.0,126.0,65.0,83.0,97.0,110.0,119.0,123.0,145.0,162.0,,,,,90.4,1,,nan,,0.0,unmatched,True,False
HTGHTSTOWN N,1,54,2.0,63.0,72.0,67.0,,,65.0,65.0,65.0,65.0,65.0,76.0,,,,,87.9,1,,Hightstown,24.0,84.6,low_confidence,False,False
HTGHTSTOWN N,1,55,,25.0,107.0,62.0,25.0,40.0,40.0,55.0,65.0,76.0,83.0,83.0,89.0,,,,92.3,1,,nan,,0.0,unmatched,False,False
HTGHTSTOWN N,1,54,10.0,25.0,107.0,63.0,25.0,40.0,55.0,,65.0,71.0,76.0,83.0,,,,,91.3,1,,nan,,0.0,unmatched,False,False
GLEN GARDWER N J,1,54,6.0,24.0,149.0,59.0,23.0,23.0,25.0,25.0,37.0,40.0,40.0,89.0,389.0,,,,90.9,1,,Glen Gardner,25.0,93.8,high_confidence,False,False
GLEN GARDWER N J,1,55,6.0,19.0,116.0,50.0,2.0,21.0,25.0,25.0,29.0,55.0,55.0,76.0,76.0,,,,88.8,1,,nan,,0.0,unmatched,False,False
GLEN GARDWER N J,1,54 55,,19.0,149.0,55.0,21.0,22.0,25.0,29.0,37.0,40.0,55.0,89.0,123.0,,,,87.9,1,,nan,,0.0,unmatched,True,False
RED BANK N J,1,54,4.0,35.0,116.0,76.0,,40.0,40.0,76.0,76.0,76.0,89.0,89.0,123.0,,,,93.3,1,,Red Bank,26.0,100.0,exact,False,False
RED BANK N J,1,55,5.0,41.0,,77.0,47.0,47.0,76.0,76.0,83.0,83.0,89.0,89.0,,,,,92.6,1,,nan,,0.0,unmatched,False,False
RED BANK N J,1,54 55,9.0,35.0,116.0,76.0,40.0,47.0,71.0,76.0,80.0,,85.0,89.0,114.0,,,,90.5,1,,nan,,0.0,unmatched,True,False
ELIZABETH,1,55,,55.0,250.0,116.0,71.0,85.0,91.0,97.0,103.0,112.0,123.0,134.0,201.0,,,,87.3,1,,Elizabeth,21.0,100.0,exact,False,False
ELIZABETH,1,56,14.0,37.0,137.0,77.0,40.0,55.0,65.0,69.0,72.0,74.0,89.0,105.0,123.0,,,,92.1,1,,nan,,0.0,unmatched,False,False
ELIZABETH,1,55 56,42.0,37.0,250.0,103.0,55.0,68.0,76.0,89.0,96.0,103.0,113.0,127.0,145.0,,,,93.2,1,,nan,,0.0,unmatched,True,False
PAULSBORO N,,55,33.0,38.0,236.0,101.0,55.0,71.0,79.0,89.0,102.0,111.0,120.0,130.0,145.0,,,,88.2,1,,Paulsboro,22.0,91.7,high_confidence,False,False
PAULSBORO N,1,56,19.0,73.0,224.0,125.0,76.0,89.0,110.0,119.0,126.0,129.0,136.0,142.0,171.0,,,,91.0,1,,nan,,0.0,unmatched,False,False
PAULSBORO N,1,55 56,92.0,38.0,236.0,110.0,65.0,74.0,87.0,100.0,110.0,119.0,128.0,138.0,154.0,,,,91.6,1,,nan,,0.0,unmatched,True,False
CAMDEN N J,1,55,30.0,61.0,376.0,151.0,76.0,97.0,112.0,123.0,132.0,142.0,158.0,201.0,236.0,,,,92.3,1,,Camden,19.0,100.0,exact,False,False
CAMDEN N J,1,56,,118.0,368.0,218.0,171.0,181.0,186.0,196.0,213.0,236.0,253.0,261.0,278.0,,,,93.2,1,,nan,,0.0,unmatched,False,False
CAMDEN N J,1,57,26.0,54.0,352.0,210.0,130.0,145.0,161.0,171.0,201.0,236.0,253.0,278.0,311.0,,,,91.8,1,,nan,,0.0,unmatched,False,False
CAMDEN N J,1,55 57,74.0,,376.0,,94.0,123.0,138.0,153.0,177.0,198.0,228.0,257.0,303.0,,,,92.7,1,,nan,,0.0,unmatched,True,False
PERTH AMBOY NN J,1,55,31.0,42.0,217.0,93.0,55.0,63.0,,77.0,83.0,88.0,97.0,114.0,158.0,,,,87.6,1,,Perth Amboy,18.0,96.8,high_confidence,False,False
PERTH AMBOY NN J,1,56,17.0,33.0,217.0,115.0,47.0,69.0,76.0,105.0,127.0,132.0,141.0,158.0,171.0,,,,91.2,1,,nan,,0.0,unmatched,False,False
PERTH AMBOY NN J,1,55 56,46.0,33.0,,101.0,35.0,67.0,73.0,80.0,88.0,100.0,123.0,138.0,1455.0,,,,88.8,1,,nan,,0.0,unmatched,True,False
TRENTON N J,1,55,21.0,35.0,971.0,150.0,65.0,72.0,79.0,84.0,94.0,105.0,123.0,,201.0,,,,84.9,1,,Trenton,28.0,100.0,exact,False,False
TRENTON N J,1,,16.0,39.0,730.0,158.0,76.0,89.0,94.0,105.0,114.0,123.0,138.0,145.0,,,,,92.4,1,,nan,,0.0,unmatched,False,False
TRENTON N J,1,56,,39.0,971.0,154.0,68.0,78.0,85.0,94.0,105.0,114.0,,158.0,257.0,,,,90.1,1,,nan,,0.0,unmatched,False,False
JERSEY CITY N J,1,54,,232.0,329.0,267.0,,236.0,236.0,236.0,278.0,278.0,278.0,278.0,335.0,,,,90.4,1,,Jersey City,27.0,100.0,exact,False,False
JERSEY CITY N J,1,,34.0,71.0,314.0,169.0,94.0,,119.0,145.0,161.0,179.0,206.0,221.0,257.0,,,,93.3,1,,nan,,0.0,unmatched,False,False
