Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,,36.0,,,12.0,5.0,6.0,7.0,8.0,9.0,,,19.0,,95.3,131,state_total,CONNECTICUT TOTAL,,,state_aggregate,False,False
TOTAL,55,49.0,10.0,550.0,123.0,34.0,45.0,52.0,66.0,82.0,94.0,117.0,162.0,315.0,95.1,131,,TOTAL,,,state_aggregate,False,False
NEW JERSEY TOTAL,56,130.0,,1500.0,82.0,18.0,26.0,30.0,38.0,44.0,55.0,65.0,83.0,119.0,90.4,131,state_total,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,54 56,74.0,,102.0,20.0,2.0,7.0,9.0,10.0,13.0,18.0,,29.0,42.0,94.1,131,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54 56,275.0,,2400.0,95.0,1.0,2.0,4.0,5.0,7.0,14.0,29.0,60.0,224.0,95.0,131,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,True,False
D.C. TOTAL,54 56,43.0,,12.0,1.0,,,1.0,1.0,1.0,1.0,,3.0,5.0,94.5,131,state_total,D.C. TOTAL,,0.0,unmatched,True,False
KENTUCKY TOTAL,54 55,69.0,,79.0,9.0,1.0,1.0,2.0,4.0,5.0,5.0,10.0,16.0,24.0,93.9,131,state_total,KENTUCKY TOTAL,,,state_aggregate,True,False
MARYLAND TOTAL,57,18.0,4.0,13.0,6.0,4.0,5.0,5.0,6.0,6.0,7.0,,7.0,8.0,89.7,131,state_total,MARYLAND TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOTAL,54 55,22.0,,27.0,8.0,4.0,4.0,5.0,6.0,6.0,7.0,9.0,11.0,20.0,94.5,131,,WEST VIRGINA TOTAL,,0.0,unmatched,True,False
FLORIDA TOTAL,54,28.0,,39.0,6.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,6.0,95.7,131,state_total,FLORIDA TOTAL,,,state_aggregate,False,False
GEORGIA TOTAL,54 56,22.0,,30.0,6.0,,1.0,4.0,4.0,4.0,5.0,,7.0,11.0,95.3,131,state_total,GEORGIA TOTAL,,,state_aggregate,True,False
TENNESSEE TOTAL,55 56,32.0,,20.0,4.0,,1.0,1.0,2.0,3.0,4.0,5.0,7.0,9.0,95.5,131,state_total,TENNESSEE TOTAL,,,state_aggregate,True,False
