Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
TOTAL,54 56,149.0,,300.0,11.0,,1.0,4.0,5.0,6.0,9.0,10.0,12.0,19.0,93.1,131,,TOTAL,,,state_aggregate,True,False
TOTAL,55 56,86.0,,170.0,17.0,1.0,4.0,6.0,7.0,9.0,10.0,16.0,21.0,31.0,92.8,131,,TOTAL,,,state_aggregate,True,False
MICHIGAN TOTAL,53 54,32.0,,396.0,66.0,6.0,15.0,26.0,37.0,41.0,45.0,49.0,62.0,123.0,95.1,131,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
OHIO TOTAL,54,163.0,,467.0,15.0,,1.0,1.0,2.0,4.0,,8.0,11.0,26.0,93.2,131,state_total,OHIO TOTAL,,,state_aggregate,False,False
WISCONSIN TOTAL,57,19.0,4.0,80.0,19.0,4.0,5.0,6.0,8.0,11.0,13.0,18.0,31.0,44.0,93.8,131,state_total,WISCONSIN TOTAL,,,state_aggregate,False,False
MINNESOTA TOTAL,54 55,31.0,,46.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,8.0,10.0,17.0,95.0,131,state_total,MINNESOTA TOTAL,,,state_aggregate,True,False
MISSOURI TOTAL,54 56,58.0,,50.0,7.0,1.0,2.0,3.0,4.0,5.0,6.0,9.0,10.0,19.0,94.6,131,state_total,MISSOURI TOTAL,,,state_aggregate,True,False
LOUISIANA TOTAL,54 55,50.0,,20.0,2.0,,,,,1.0,1.0,,3.0,4.0,90.9,131,state_total,LOUISIANA TOTAL,,,state_aggregate,True,False
TEXAS TOTAL,54 55,147.0,,114.0,12.0,,1.0,1.0,,5.0,,14.0,21.0,29.0,95.2,131,state_total,TEXAS TOTAL,,,state_aggregate,True,False
COLORADO TOTAL,54 55,26.0,,40.0,9.0,1.0,2.0,4.0,,6.0,9.0,10.0,19.0,20.0,95.5,131,state_total,COLORADO TOTAL,,,state_aggregate,True,False
UTAH TOTAL,54 55,31.0,,30.0,7.0,1.0,2.0,3.0,4.0,6.0,,,10.0,19.0,95.5,131,state_total,UTAH TOTAL,,,state_aggregate,True,False
ALASKA TOTAL,54 55,34.0,,53.0,3.0,,,,,1.0,1.0,,1.0,3.0,94.4,131,state_total,ALASKA TOTAL,,,state_aggregate,True,False
CALIFORNIA TOTAL,54 56,222.0,,61.0,5.0,,1.0,1.0,,,,,,17.0,95.2,131,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TOTAL,54 55,72.0,,40.0,4.0,,1.0,1.0,,2.0,,,5.0,8.0,91.6,131,state_total,OREGON TOTAL,,,state_aggregate,True,False
WASHINGTON TOTAL,57,20.0,,42.0,8.0,3.0,4.0,5.0,,6.0,,,,13.0,93.6,131,state_total,WASHINGTON TOTAL,,,state_aggregate,False,False
NEW ENGLND TOT AL,55 56,85.0,,550.0,76.0,6.0,9.0,,2.0,42.0,,,104.0,,89.1,131,,NEW ENGLND TOT AL,,0.0,unmatched,True,False
MIO ATLNTC TOT AL,54 56,479.0,,2400.0,80.0,1.0,4.0,6.0,10.0,,2.0,42.0,65.0,123.0,91.7,131,,MIO ATLNTC TOT AL,,0.0,unmatched,True,False
MID EAST TOTAL,54,152.0,,79.0,7.0,,1.0,,,,,,10.0,17.0,95.1,131,region_total,MID EAST TOTAL,,,skip,False,False
SOUTH EAST TOT AL,54 56,2.0,,39.0,5.0,,1.0,2.0,,,,,6.0,10.0,92.4,131,,SOUTH EAST TOT AL,,,skip,True,False
WEST TOTAL,53 57,449.0,,467.0,18.0,,1.0,3.0,,,,1.0,1.0,38.0,94.8,131,,WEST TOTAL,,0.0,unmatched,True,False
GRT PLAINS TOT AL,54 56,89.0,,50.0,7.0,1.0,2.0,,,,,,1.0,18.0,93.8,131,,GRT PLAINS TOT AL,,0.0,unmatched,True,False
GULF SOUTH TOT AL,54 55,197.0,,114.0,9.0,,1.0,1.0,,,,,1.0,25.0,95.1,131,,GULF SOUTH TOT AL,,,skip,True,False
ROCKY MNTN TOTAL,54 55,57.0,,40.0,8.0,1.0,2.0,,,,,,1.0,20.0,93.7,131,,ROCKY MNTN TOTAL,,0.0,unmatched,True,False
PACIFIC COAST TOTAL,54 57,348.0,,61.0,5.0,,,,,,,,,15.0,95.3,131,region_total,PACIFIC COAST TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,53 57,1938.0,,2400.0,31.0,,1.0,,,,,1.0,2.0,52.0,92.7,131,,PACIFIC COAST TOTAL,,,skip,True,False
