Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
NEW JERSEY TOTAL,,10.0,,,,,,,,1.0,1.0,,,,95.3,156,state_total,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,54 55,34.0,,135.0,13.0,,,,1.0,1.0,1.0,,30.0,54.0,93.0,156,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54,10.0,,102.0,32.0,1.0,1.0,2.0,15.0,38.0,41.0,43.0,46.0,48.0,95.3,156,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,False,False
COLUMBIA TOTAL,54 55,27.0,,61.0,5.0,,,,,1.0,,,,,94.8,156,,Columbia,90.0,72.7,low_confidence,True,False
KENTUCKY TOTAL,54,7.0,9.0,120.0,67.0,9.0,9.0,34.0,58.0,61.0,61.0,88.0,118.0,118.0,94.5,156,state_total,KENTUCKY TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOTAL,54,4.0,2.0,46.0,25.0,,2.0,2.0,15.0,15.0,15.0,38.0,38.0,48.0,94.3,156,,WEST VIRGINA TOTAL,,0.0,unmatched,False,False
FLORIDA TOTAL,54,9.0,,56.0,11.0,,1.0,1.0,,8.0,8.0,,,17.0,91.3,156,state_total,FLORIDA TOTAL,,,state_aggregate,False,False
GEORGIA TOTAL,54,6.0,1.0,57.0,18.0,,,1.0,,1.0,17.0,17.0,38.0,38.0,92.8,156,state_total,GEORGIA TOTAL,,,state_aggregate,False,False
PLLINOTS TOTAL,54 55,41.0,,65.0,5.0,,,,,1.0,,,,27.0,89.6,156,,PLLINOTS TOTAL,,0.0,unmatched,True,False
MICHIGAN TOTAL,53 54,27.0,,137.0,50.0,1.0,7.0,26.0,30.0,43.0,54.0,69.0,88.0,,95.1,156,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
QHIO TOTAL,54 55,115.0,,118.0,22.0,,,1.0,1.0,,12.0,30.0,46.0,80.0,89.2,156,,QHIO TOTAL,,0.0,unmatched,True,False
MENNESOTA TOTAL,54,12.0,,100.0,48.0,1.0,1.0,34.0,38.0,54.0,58.0,61.0,78.0,99.0,94.3,156,,MENNESOTA TOTAL,,0.0,unmatched,False,False
TOTAL,54,11.0,,32.0,16.0,,1.0,1.0,8.0,22.0,23.0,23.0,24.0,30.0,95.5,156,,TOTAL,,,state_aggregate,False,False
LOUISIANA TOTAL,54,4.0,,,,,,,1.0,1.0,1.0,,,,94.7,156,state_total,LOUISIANA TOTAL,,,state_aggregate,False,False
TEXAS TOTAL,54,29.0,,420.0,34.0,,,1.0,1.0,,24.0,43.0,54.0,59.0,95.2,156,state_total,TEXAS TOTAL,,,state_aggregate,False,False
COLORADO TOTAL,54,3.0,,,,,,,,1.0,1.0,,,,93.7,156,state_total,COLORADO TOTAL,,,state_aggregate,False,False
UTAH TOTAL,54,4.0,,52.0,16.0,,1.0,1.0,1.0,1.0,1.0,11.0,11.0,54.0,94.9,156,state_total,UTAH TOTAL,,,state_aggregate,False,False
ALASKA TOTAL,54 55,21.0,,448.0,25.0,,,,,1.0,1.0,,,24.0,93.7,156,state_total,ALASKA TOTAL,,,state_aggregate,True,False
CALIFORNIA TOTAL,54 55,115.0,,100.0,10.0,,,,1.0,1.0,4.0,,16.0,46.0,93.5,156,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TOTAL,54,53.0,,114.0,8.0,,,,,1.0,1.0,,,46.0,92.0,156,state_total,OREGON TOTAL,,,state_aggregate,False,False
ATLNTC TOT AL,54 55,54.0,,135.0,14.0,,,,1.0,1.0,1.0,,35.0,48.0,93.4,156,,Atlantic City,23.0,61.5,low_confidence,True,False
MID EAST TOTAL,54 55,38.0,,120.0,19.0,,,,1.0,1.0,1.0,15.0,43.0,,93.8,156,region_total,MID EAST TOTAL,,,skip,True,False
SOUTH EAST TOT AL,54,15.0,,57.0,14.0,,1.0,1.0,1.0,8.0,8.0,16.0,17.0,58.0,95.4,156,,SOUTH EAST TOT AL,,,skip,False,False
MID WEST TOTAL,53,183.0,,137.0,22.0,,,1.0,1.0,1.0,12.0,28.0,47.0,78.0,95.3,156,region_total,MID WEST TOTAL,,,skip,False,False
GRF PLAINS TOT AL,54,23.0,,100.0,33.0,,1.0,9.0,,24.0,32.0,38.0,58.0,78.0,94.5,156,,GRF PLAINS TOT AL,,0.0,unmatched,False,False
GULF SOUTH TOT AL,54,33.0,,420.0,30.0,,,1.0,1.0,1.0,1.0,38.0,,59.0,93.4,156,,GULF SOUTH TOT AL,,,skip,False,False
ROCKY MNTN TOT AL,54,7.0,,52.0,9.0,,,,1.0,1.0,1.0,,11.0,11.0,94.2,156,,ROCKY MNTN TOT AL,,0.0,unmatched,False,False
PACIFIC COAST TOTAL,54 55,189.0,,448.0,11.0,,,,1.0,1.0,1.0,,10.0,44.0,92.1,156,region_total,PACIFIC COAST TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,53 55,42.0,,448.0,18.0,,,,1.0,1.0,1.0,16.0,38.0,62.0,94.8,156,,PACIFIC COAST TOTAL,,,skip,True,False
