Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
NEW JERSEY TOTAL,55,,,,,6.0,6.0,7.0,7.0,,,,,,94.9,181,state_total,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,54 55,35.0,,109.0,24.0,4.0,,11.0,18.0,24.0,25.0,28.0,32.0,54.0,91.6,181,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54,10.0,,52.0,14.0,1.0,1.0,7.0,10.0,13.0,14.0,15.0,15.0,19.0,94.0,181,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,False,False
D.C. TOTAL,54 55,28.0,,26.0,6.0,,,1.0,1.0,1.0,4.0,7.0,15.0,20.0,92.8,181,state_total,D.C. TOTAL,,0.0,unmatched,True,False
KENTUCKY TOTAL,54,6.0,,14.0,6.0,1.0,1.0,1.0,1.0,3.0,7.0,7.0,13.0,13.0,93.5,181,state_total,KENTUCKY TOTAL,,,state_aggregate,False,False
WEST VIRG INA TOTAL,54,7.0,,65.0,22.0,1.0,1.0,1.0,19.0,21.0,,26.0,29.0,29.0,90.5,181,,WEST VIRG INA TOTAL,,0.0,unmatched,False,False
FLORIDA TOTAL,54,8.0,,35.0,13.0,1.0,1.0,1.0,4.0,5.0,6.0,23.0,23.0,34.0,91.2,181,state_total,FLORIDA TOTAL,,,state_aggregate,False,False
GEORGIA TOTAL,54,8.0,,25.0,10.0,1.0,1.0,1.0,4.0,8.0,9.0,17.0,17.0,23.0,91.8,181,state_total,GEORGIA TOTAL,,,state_aggregate,False,False
PLLINOIS FOTAL,54 55,41.0,,119.0,29.0,1.0,1.0,,19.0,29.0,34.0,42.0,47.0,54.0,89.2,181,,PLLINOIS FOTAL,,0.0,unmatched,True,False
MICHIGAN TOTAL,53 54,36.0,,172.0,43.0,1.0,10.0,16.0,19.0,31.0,43.0,57.0,67.0,101.0,92.0,181,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
OHIO TOTAL,54,111.0,,56.0,8.0,,,1.0,1.0,4.0,7.0,,15.0,19.0,91.1,181,state_total,OHIO TOTAL,,,state_aggregate,False,False
MINNESOTA TOTAL,54,14.0,,23.0,4.0,,,,1.0,1.0,1.0,3.0,,17.0,92.9,181,state_total,MINNESOTA TOTAL,,,state_aggregate,False,False
MISSOURI TOTAL,,1.0,,,2.0,,,1.0,1.0,1.0,4.0,4.0,6.0,,93.5,181,state_total,MISSOURI TOTAL,,,state_aggregate,False,False
LOUISIANA TOTAL,54,4.0,,13.0,4.0,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,13.0,89.3,181,state_total,LOUISIANA TOTAL,,,state_aggregate,False,False
TEXAS TOT A L,54,26.0,,99.0,16.0,,1.0,1.0,5.0,8.0,16.0,19.0,,36.0,94.8,181,,TEXAS TOT A L,,0.0,unmatched,False,False
UTAH TOTAL,54,5.0,,26.0,5.0,,,1.0,1.0,1.0,1.0,1.0,1.0,26.0,93.5,181,state_total,UTAH TOTAL,,,state_aggregate,False,False
ALASKA TO T AL,54,27.0,,275.0,17.0,,1.0,2.0,4.0,5.0,7.0,,14.0,19.0,89.2,181,,ALASKA TO T AL,,0.0,unmatched,False,False
CALIFORNIA TOTAL,54 55,117.0,,125.0,31.0,7.0,11.0,15.0,20.0,25.0,32.0,39.0,49.0,67.0,91.5,181,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TO T AL,54,34.0,,178.0,23.0,1.0,7.0,,16.0,19.0,25.0,30.0,32.0,36.0,90.4,181,,OREGON TO T AL,,0.0,unmatched,False,False
MID ATL N TC TOTAL,54 55,55.0,,109.0,21.0,1.0,6.0,10.0,13.0,18.0,22.0,25.0,29.0,,89.2,181,,MID ATL N TC TOTAL,,0.0,unmatched,True,False
MID EAS T TOTAL,54,41.0,,65.0,8.0,,,1.0,1.0,3.0,,14.0,19.0,23.0,92.6,181,,MID EAS T TOTAL,,0.0,unmatched,False,False
SOUTH E A ST TOTAL,54,16.0,,35.0,11.0,1.0,1.0,4.0,4.0,6.0,9.0,17.0,23.0,26.0,91.1,181,,SOUTH E A ST TOTAL,,0.0,unmatched,False,False
MIO WES T TOTAL,53 55,188.0,,172.0,19.0,,1.0,1.0,6.0,,15.0,21.0,33.0,54.0,92.0,181,,MIO WES T TOTAL,,0.0,unmatched,True,False
GRT PLA NS TOTAL,54,25.0,,23.0,3.0,,,1.0,1.0,1.0,1.0,4.0,8.0,11.0,95.0,181,,GRT PLA NS TOTAL,,0.0,unmatched,False,False
GULF U TH TOTAL,54,30.0,,99.0,,,1.0,1.0,4.0,7.0,11.0,17.0,20.0,36.0,92.1,181,,GULF U TH TOTAL,,0.0,unmatched,False,False
ROCKY M N TN TOTAL,54,8.0,,26.0,3.0,,,,,1.0,1.0,,1.0,,93.9,181,,ROCKY M N TN TOTAL,,0.0,unmatched,False,False
PAC COA ST TOTAL,54 55,198.0,,275.0,27.0,2.0,7.0,11.0,16.0,20.0,26.0,32.0,39.0,57.0,92.6,181,,PAC COA ST TOTAL,,0.0,unmatched,True,False
PAC COA ST TOTAL,53 55,561.0,,275.0,20.0,1.0,1.0,7.0,11.0,16.0,20.0,27.0,35.0,53.0,94.1,181,,PAC COA ST TOTAL,,0.0,unmatched,True,False
