Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,55 56,36.0,40.0,7.5,,2.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0,,2.0,9.0,6.0,20.0,7.0,10.0,8.0,10.0,10.0,30.0,40.0,,1.0,3.0,1.0,8.0,4.0,9.0,4.0,10.0,6.0,13.0,23.0,,,,,,,,,,,,,88.5,100.0,exact,125
MI NI MUM,MI NI MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.8,0.0,unmatched,125
BOSTON MASS,Boston,6.0,55,,4.0,3.5,1.0,,,,,,,,,,,,,,2.0,4.0,1.0,1.0,,2.0,4.0,,2.0,2.0,1.0,,,,,,5.0,,,,2.0,,,,,,,,2.0,,,,1.0,,,95.0,100.0,exact,125
EVERETT MASS,Everett,8.0,55,26.0,10.0,2.0,2.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,2.0,10.0,3.0,2.0,7.0,4.0,3.0,1.0,,2.0,2.0,2.0,1.0,4.0,1.0,2.0,4.0,1.0,1.0,,,2.0,2.0,2.0,,,,2.0,2.0,,,,,2.0,2.0,2.0,94.0,100.0,exact,125
ELIZABETH N,Elizabeth,21.0,55 56,20.0,4.0,2.0,4.0,3.0,2.0,2.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,2.0,,2.0,2.0,,,,2.0,,,4.0,,,,1.0,,,,,1.0,,,4.0,,,,,,,,,,,,4.0,,93.2,91.7,high_confidence,125
CAMDEN WN J,Camden,19.0,55 56,19.0,8.0,2.3,1.0,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,3.0,2.0,,2.0,4.0,3.0,,,,,,8.0,,,,,2.0,1.0,,,,,,4.0,,,,,,,,,,,,1.0,,,,,79.8,95.2,high_confidence,125
TRENTON N J,Trenton,28.0,55 56,15.0,4.0,2.0,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,,3.0,,4.0,3.0,,,,,,,2.0,2.0,2.0,,2.0,3.0,,,,,,,2.0,2.0,1.0,,,3.0,,,,,,,2.0,2.0,,91.0,100.0,exact,125
JERSEY CITY N J,Jersey City,27.0,56,21.0,70.0,11.2,2.0,2.0,3.0,3.0,3.0,,2.0,2.0,2.0,1.0,,1.0,2.0,5.0,47.0,23.0,4.0,,8.0,2.0,70.0,4.0,,3.0,14.0,3.0,27.0,16.0,2.0,,6.0,1.0,38.0,4.0,,3.0,12.0,2.0,13.0,,2.0,,4.0,,6.0,4.0,,3.0,11.0,87.4,100.0,exact,125
NEW YORK N,New York,30.0,54 56,39.0,30.0,5.8,2.0,1.0,3.0,1.0,4.0,1.0,7.0,4.0,4.0,2.0,3.0,4.0,5.0,10.0,5.0,5.0,16.0,5.0,4.0,30.0,7.0,4.0,13.0,30.0,19.0,10.0,3.0,5.0,5.0,5.0,1.0,10.0,2.0,3.0,8.0,12.0,,10.0,2.0,5.0,2.0,5.0,,,,2.0,2.0,,,93.0,90.9,high_confidence,125
A PA,Tampa,84.0,55 56,128.0,49.0,2.6,,17.0,13.0,13.0,13.0,18.0,12.0,3.0,13.0,10.0,8.0,8.0,,31.0,7.0,3.0,12.0,49.0,9.0,9.0,8.0,7.0,,3.0,10.0,4.0,1.0,,1.0,4.0,3.0,1.0,3.0,2.0,,,4.0,,,,,,,,,,,,,94.5,66.7,low_confidence,125
