Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
NEW YORK N Y,New York,30.0,55,36.0,59.0,23.6,1.0,2.0,3.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,32.0,,29.0,15.0,28.0,59.0,39.0,39.0,29.0,42.0,33.0,35.0,18.0,14.0,12.0,8.0,10.0,37.0,37.0,39.0,19.0,36.0,26.0,27.0,4.0,9.0,2.0,1.0,,23.0,34.0,39.0,11.0,28.0,22.0,19.0,91.0,100.0,exact,179
WASHINGTON OC,Washington,61.0,54 55,25.0,34.0,23.6,5.0,,3.0,,2.0,3.0,4.0,3.0,4.0,4.0,2.0,,,,,,,20.0,16.0,34.0,23.0,32.0,18.0,,,,82.0,,,8.0,9.0,24.0,18.0,8.0,16.0,,,,20.0,,,,5.0,19.0,14.0,6.0,15.0,,,93.5,88.9,high_confidence,179
CHICAGO PLL,Chicago,99.0,54 55,40.0,86.0,33.3,2.0,2.0,4.0,,,4.0,9.0,5.0,3.0,4.0,6.0,3.0,,35.0,44.0,,,14.0,41.0,48.0,51.0,37.0,63.0,55.0,86.0,32.0,29.0,,,8.0,16.0,36.0,31.0,34.0,47.0,41.0,59.0,29.0,5.0,,,2.0,,17.0,18.0,28.0,32.0,25.0,28.0,72.8,90.9,high_confidence,179
MICH,MICH,,53 54,29.0,71.0,30.5,,,2.0,3.0,4.0,2.0,1.0,,,,,17.0,,,22.0,26.0,46.0,15.0,71.0,,,,,61.0,,,21.0,24.0,31.0,10.0,71.0,,,,,26.0,,,,,,,,,,,,,,92.0,0.0,unmatched,179
MIME MUM,MIME MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.4,0.0,unmatched,179
CUNCINNATI OHIO,Cincinnati,126.0,54,118.0,69.0,18.4,3.0,1.0,6.0,44.0,18.0,17.0,,6.0,6.0,10.0,5.0,1.0,4.0,17.0,28.0,69.0,68.0,30.0,32.0,25.0,17.0,25.0,33.0,38.0,20.0,17.0,15.0,22.0,22.0,16.0,18.0,15.0,14.0,17.0,13.0,38.0,14.0,17.0,3.0,4.0,,3.0,3.0,8.0,8.0,10.0,4.0,38.0,11.0,76.0,81.5,low_confidence,179
LOS ANGELES CALIF,Los Angeles,195.0,54,19.0,40.0,14.3,1.0,,1.0,4.0,4.0,6.0,2.0,2.0,,,,,,,7.0,26.0,40.0,18.0,22.0,30.0,,,,,,,7.0,2.0,27.0,7.0,15.0,28.0,,,,,,,7.0,1.0,10.0,2.0,9.0,27.0,,,,,,81.8,100.0,exact,179
PASADENA CALIF,Pasadena,199.0,54,24.0,34.0,19.8,2.0,2.0,3.0,1.0,1.0,2.0,3.0,4.0,2.0,2.0,4.0,,,13.0,31.0,2.0,,6.0,20.0,31.0,25.0,34.0,,,,11.0,23.0,2.0,,5.0,16.0,28.0,23.0,31.0,39.0,,,10.0,17.0,2.0,,4.0,15.0,22.0,22.0,28.0,22.0,,,86.5,100.0,exact,179
BERKELEY CALIF,Berkeley,191.0,54 55,35.0,35.0,11.6,1.0,3.0,5.0,,2.0,2.0,2.0,3.0,2.0,3.0,4.0,5.0,4.0,35.0,25.0,,6.0,2.0,14.0,26.0,14.0,16.0,16.0,32.0,24.0,17.0,13.0,,3.0,1.0,11.0,16.0,11.0,15.0,11.0,16.0,14.0,7.0,5.0,,1.0,1.0,8.0,10.0,8.0,15.0,9.0,7.0,9.0,88.8,100.0,exact,179
SAN JOSE CALIF,San Jose,206.0,54 55,34.0,25.0,13.5,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0,18.0,20.0,25.0,16.0,7.0,20.0,21.0,,21.0,19.0,19.0,20.0,15.0,16.0,16.0,8.0,4.0,14.0,11.0,18.0,14.0,19.0,12.0,15.0,13.0,11.0,7.0,,1.0,8.0,1.0,16.0,2.0,19.0,2.0,9.0,91.4,100.0,exact,179
PORTLAND OREGON,Portland,212.0,54,54.0,36.0,11.3,2.0,,2.0,6.0,3.0,3.0,,,,,20.0,20.0,,,26.0,8.0,4.0,17.0,,,,,25.0,36.0,,,18.0,1.0,1.0,10.0,,,,,16.0,22.0,,,,,,2.0,,,,,10.0,,,94.7,88.9,high_confidence,179
SUBURBAN,SUBURBAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,skip,179
HAMILTON COUNTY OHIO,Hamilton County,224.0,54,,4.0,,11.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,88.2,91.9,high_confidence,179
