Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
SUBURBAN,,,,,,,,,,,,,,,,96.0,27,,SUBURBAN,,,skip,False,False
MIDOLESEX CNTY MASS,1,54,11.0,,153.0,102.0,54.0,64.0,70.0,76.0,106.0,125.0,137.0,148.0,162.0,94.6,27,,Middlesex County,219.0,90.0,high_confidence,False,False
MIDOLESEX CNTY MASS,1,55,25.0,48.0,247.0,95.0,54.0,61.0,76.0,81.0,88.0,95.0,112.0,125.0,148.0,91.5,27,,Middlesex County,219.0,90.0,high_confidence,False,False
MIDOLESEX CNTY MASS,1,54 55,36.0,48.0,247.0,97.0,,62.0,73.0,80.0,88.0,102.0,116.0,134.0,148.0,94.3,27,,Middlesex County,219.0,90.0,high_confidence,True,False
LAKEHURST N J,1,55,22.0,25.0,520.0,101.0,46.0,54.0,72.0,78.0,83.0,88.0,95.0,112.0,125.0,93.1,27,,Lakehurst,220.0,100.0,exact,False,False
KANAWHA OM W VA,1,54,26.0,56.0,257.0,134.0,76.0,83.0,95.0,106.0,120.0,137.0,148.0,168.0,226.0,88.6,27,,Kanawha County,221.0,82.4,low_confidence,False,False
KANAWHA OM W VA,1,55,15.0,67.0,252.0,155.0,76.0,106.0,125.0,131.0,142.0,148.0,207.0,226.0,266.0,93.9,27,,Kanawha County,221.0,82.4,low_confidence,False,False
KANAWHA OM W VA,1,54 55,41.0,56.0,257.0,141.0,72.0,87.0,102.0,116.0,131.0,142.0,159.0,207.0,244.0,91.4,27,,Kanawha County,221.0,82.4,low_confidence,True,False
HILLSBOROUGH CO FLA,1,53,4.0,79.0,149.0,110.0,,83.0,83.0,90.0,90.0,90.0,148.0,148.0,,90.3,27,,Hillsborough County,222.0,90.5,high_confidence,False,False
HILLSBOROUGH CO FLA,1,54,37.0,12.0,220.0,81.0,43.0,48.0,53.0,60.0,68.0,74.0,90.0,131.0,148.0,93.1,27,,Hillsborough County,222.0,90.5,high_confidence,False,False
HILLSBOROUGH CO FLA,1,55,19.0,15.0,482.0,137.0,46.0,64.0,76.0,112.0,125.0,137.0,157.0,175.0,226.0,95.5,27,,Hillsborough County,222.0,90.5,high_confidence,False,False
HILLSBOROUGH CO FLA,1,53 55,60.0,12.0,482.0,,44.0,52.0,60.0,69.0,79.0,106.0,128.0,148.0,171.0,95.2,27,,Hillsborough County,222.0,90.5,high_confidence,True,False
FULTON COO GEORGIA,1,53,2.0,66.0,159.0,112.0,,,76.0,76.0,76.0,76.0,76.0,175.0,175.0,92.4,27,,Fulton County,223.0,70.6,low_confidence,False,False
FULTON COO GEORGIA,1,54,42.0,24.0,222.0,106.0,50.0,59.0,76.0,90.0,98.0,106.0,125.0,146.0,188.0,93.1,27,,Fulton County,223.0,70.6,low_confidence,False,False
FULTON COO GEORGIA,1,55,20.0,,301.0,96.0,33.0,590.0,,70.0,81.0,90.0,106.0,125.0,175.0,91.5,27,,Fulton County,223.0,70.6,low_confidence,False,False
FULTON COO GEORGIA,1,53 55,64.0,24.0,301.0,103.0,47.0,57.0,68.0,,93.0,103.0,122.0,144.0,186.0,93.4,27,,Fulton County,223.0,70.6,low_confidence,True,False
HAMILTON COUNTY OHIO,1,53,6.0,133.0,388.0,226.0,133.0,133.0,140.0,140.0,148.0,207.0,207.0,371.0,371.0,93.8,27,,Hamilton County,224.0,91.9,high_confidence,False,False
HAMILTON COUNTY OHIO,1,54,55.0,33.0,355.0,122.0,39.0,50.0,64.0,79.0,98.0,120.0,148.0,199.0,255.0,92.8,27,,Hamilton County,224.0,91.9,high_confidence,False,False
HAMILTON COUNTY OHIO,1,55,6.0,71.0,138.0,104.0,76.0,76.0,98.0,98.0,106.0,116.0,116.0,125.0,125.0,94.5,27,,Hamilton County,224.0,91.9,high_confidence,False,False
HAMILTON COUNTY OHIO,1,53 55,67.0,33.0,388.0,130.0,43.0,53.0,71.0,90.0,109.0,128.0,145.0,201.0,255.0,93.2,27,,Hamilton County,224.0,91.9,high_confidence,True,False
TONKA BAY MINN,1,53,7.0,45.0,243.0,99.0,43.0,43.0,46.0,54.0,70.0,70.0,76.0,207.0,207.0,91.6,27,,Tonka Bay,225.0,100.0,exact,False,False
TONKA BAY MINN,1,54,37.0,41.0,630.0,102.0,44.0,48.0,56.0,64.0,78.0,84.0,98.0,125.0,175.0,92.7,27,,Tonka Bay,225.0,100.0,exact,False,False
TONKA BAY MINN,1,53 54,44.0,41.0,630.0,102.0,43.0,48.0,54.0,64.0,74.0,82.0,98.0,125.0,196.0,93.5,27,,Tonka Bay,225.0,100.0,exact,True,False
EDINA MINN,1,54,6.0,65.0,178.0,114.0,76.0,76.0,90.0,90.0,106.0,125.0,125.0,148.0,148.0,93.9,27,,Edina,226.0,100.0,exact,False,False
EDINA MINN,,55,23.0,17.0,349.0,105.0,20.0,38.0,49.0,54.0,90.0,101.0,125.0,148.0,244.0,95.3,27,,Edina,226.0,100.0,exact,False,False
EDINA MINN,1,54 55,29.0,17.0,349.0,107.0,35.0,39.0,54.0,,94.0,102.0,125.0,148.0,207.0,94.1,27,,Edina,226.0,100.0,exact,True,False
DENVER COUNTY COLO,1,54,21.0,30.0,141.0,78.0,39.0,46.0,54.0,61.0,76.0,85.0,98.0,112.0,125.0,94.2,27,,Denver County,227.0,100.0,exact,False,False
DENVER COUNTY COLO,1,55,22.0,9.0,153.0,81.0,26.0,33.0,57.0,64.0,81.0,90.0,101.0,131.0,142.0,92.9,27,,Denver County,227.0,100.0,exact,False,False
DENVER COUNTY COLO,1,54 55,43.0,19.0,153.0,80.0,31.0,44.0,56.0,62.0,78.0,88.0,100.0,116.0,137.0,94.8,27,,Denver County,227.0,100.0,exact,True,False
SALT LAKE CO UTAH,1,53,1.0,138.0,138.0,138.0,,,,,148.0,148.0,148.0,148.0,148.0,93.3,27,,Salt Lake County,228.0,89.5,high_confidence,False,False
SALT LAKE CO UTAH,1,54,27.0,23.0,355.0,89.0,35.0,39.0,49.0,,68.0,76.0,98.0,125.0,140.0,95.3,27,,Salt Lake County,228.0,89.5,high_confidence,False,False
