Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,55 56,29.0,7.0,,,2.0,,4.0,5.0,3.0,3.0,3.0,,,4.0,3.0,2.0,,,1.0,3.0,5.0,,3.0,7.0,,4.0,7.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,95.5,100.0,exact,164
AGE,AGE,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,95.8,0.0,unmatched,164
80 STON MASS,Boston,6.0,55,23.0,2.0,1.6,1.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,2.0,,,1.0,,2.0,,,,2.0,,,2.0,,,1.0,,1.0,,,3.0,1.0,,,2.0,,,1.0,,,,,3.0,,,,84.8,90.0,high_confidence,164
EV ERETT MASS,Everett,8.0,55,26.0,8.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,2.0,1.0,6.0,5.0,4.0,1.0,1.0,2.0,4.0,8.0,,,1.0,,6.0,2.0,1.0,,,2.0,4.0,5.0,,,,1.0,6.0,,,,,2.0,4.0,2.0,88.8,96.0,high_confidence,164
EU IZABETH WN J,Elizabeth,21.0,55 56,21.0,8.0,2.0,,3.0,2.0,3.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,,,8.0,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,80.3,85.7,high_confidence,164
PA ULSBORO N J,Paulsboro,22.0,55 56,25.0,13.0,2.0,,2.0,4.0,3.0,5.0,2.0,1.0,4.0,1.0,,2.0,,1.0,3.0,,13.0,7.0,,,,,,,,,1.0,,4.0,1.0,,,,,,,,,,,,,,,,,,,,,91.8,96.3,high_confidence,164
CA MOEN N J,Camden,19.0,55 56,21.0,20.0,3.5,1.0,2.0,3.0,3.0,2.0,,1.0,1.0,2.0,3.0,2.0,,2.0,5.0,7.0,18.0,20.0,,2.0,,2.0,6.0,,,2.0,3.0,3.0,6.0,10.0,,2.0,,1.0,2.0,,,1.0,2.0,,,,,2.0,,1.0,,,,,86.0,85.7,high_confidence,164
PERTH AMBOY N J,Perth Amboy,18.0,55 56,23.0,8.0,1.3,,3.0,1.0,4.0,5.0,,,1.0,2.0,,2.0,3.0,2.0,,,4.0,8.0,,,,,,,5.0,,,,1.0,2.0,,,,,,,1.0,,,,,,,,,,,,,,90.7,100.0,exact,164
TRENTON WN J,Trenton,28.0,55 56,15.0,10.0,4.2,2.0,3.0,,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,,,,10.0,,,1.0,,,3.0,2.0,4.0,,,,10.0,,,,,,3.0,2.0,2.0,,,,10.0,,,,,,3.0,2.0,,80.5,95.7,high_confidence,164
JERSEY CITY N J,Jersey City,27.0,55 56,23.0,20.0,3.7,,2.0,3.0,4.0,4.0,,2.0,2.0,2.0,1.0,,1.0,2.0,,6.0,14.0,20.0,,,,1.0,,,,,,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,93.7,100.0,exact,164
NEW YORK N,New York,30.0,54 56,73.0,31.0,6.7,5.0,4.0,6.0,3.0,7.0,5.0,10.0,7.0,5.0,6.0,6.0,7.0,7.0,16.0,16.0,24.0,9.0,11.0,17.0,16.0,10.0,29.0,31.0,14.0,14.0,9.0,5.0,13.0,2.0,3.0,4.0,7.0,2.0,13.0,14.0,5.0,3.0,5.0,,,,,,,,,,,,94.0,90.9,high_confidence,164
A PA,Tampa,84.0,54 56,153.0,386.0,4.6,,19.0,16.0,14.0,15.0,19.0,12.0,13.0,10.0,10.0,8.0,8.0,9.0,386.0,2.0,5.0,11.0,14.0,8.0,3.0,5.0,,3.0,3.0,5.0,27.0,2.0,1.0,2.0,2.0,3.0,,2.0,1.0,,,1.0,,,,,,,,,,,,,92.5,66.7,low_confidence,164
ALTOONA PA,Altoona,57.0,56,13.0,3.0,1.7,1.0,,1.0,1.0,2.0,3.0,,,1.0,2.0,2.0,1.0,,,,,2.0,1.0,,,3.0,,1.0,1.0,,,,,1.0,,,,3.0,,,1.0,,,,,,,,,3.0,,,1.0,,95.3,100.0,exact,164
BR PA,Erie,56.0,55 56,18.0,9.0,2.0,1.0,,1.0,1.0,1.0,2.0,,2.0,1.0,4.0,2.0,2.0,2.0,,1.0,,,,,,,6.0,1.0,9.0,,,1.0,,,,,,,1.0,,4.0,,,1.0,,,,,,,,,,,95.0,66.7,low_confidence,164
CH ESTER PA,Chester,55.0,56,18.0,8.0,2.5,2.0,,1.0,,2.0,2.0,2.0,2.0,3.0,4.0,1.0,,1.0,,2.0,,,,4.0,8.0,3.0,6.0,,,3.0,,2.0,,,,2.0,4.0,1.0,3.0,,,3.0,,2.0,,,,,,,2.0,,,3.0,94.5,95.2,high_confidence,164
ER TE PA,Erie,56.0,56,25.0,9.0,3.2,1.0,3.0,1.0,2.0,3.0,2.0,1.0,1.0,,3.0,4.0,2.0,3.0,9.0,5.0,2.0,3.0,2.0,5.0,2.0,,7.0,8.0,6.0,3.0,5.0,5.0,1.0,1.0,1.0,5.0,2.0,,4.0,4.0,4.0,,2.0,5.0,,,,5.0,2.0,,1.0,,3.0,1.0,91.0,80.0,low_confidence,164
PI TTSBURGH PA,Pittsburgh,48.0,56,21.0,70.0,15.7,1.0,3.0,3.0,3.0,,,3.0,2.0,,2.0,2.0,2.0,1.0,20.0,20.0,70.0,,,20.0,2.0,,20.0,30.0,50.0,10.0,11.0,9.0,33.0,,,12.0,1.0,,15.0,20.0,30.0,10.0,5.0,2.0,10.0,,,6.0,1.0,,10.0,10.0,10.0,10.0,86.5,96.3,high_confidence,164
PA,PA,,,23.0,10.0,5.4,1.0,,3.0,1.0,2.0,3.0,2.0,1.0,1.0,3.0,2.0,3.0,2.0,,10.0,7.0,10.0,9.0,,7.0,6.0,10.0,,8.0,1.0,,5.0,7.0,6.0,5.0,,7.0,6.0,7.0,2.0,4.0,,,1.0,7.0,3.0,2.0,,7.0,6.0,4.0,1.0,2.0,,85.0,0.0,unmatched,165
WASHIN GTON OC,Washington,61.0,54 56,43.0,16.0,5.1,2.0,1.0,5.0,1.0,3.0,6.0,6.0,4.0,7.0,6.0,3.0,1.0,,6.0,15.0,4.0,2.0,13.0,6.0,10.0,13.0,16.0,12.0,,,6.0,10.0,4.0,1.0,4.0,3.0,5.0,4.0,7.0,7.0,,,6.0,,4.0,,,,3.0,,2.0,,,,92.8,85.7,high_confidence,165
OUISYV ILLE KY,Louisville,64.0,54 55,71.0,21.0,4.9,,2.0,3.0,1.0,6.0,4.0,4.0,13.0,13.0,12.0,6.0,1.0,6.0,2.0,9.0,7.0,14.0,21.0,9.0,12.0,15.0,10.0,9.0,3.0,8.0,2.0,5.0,7.0,6.0,10.0,6.0,3.0,5.0,4.0,5.0,3.0,3.0,,,,,,,,,,,,,82.4,88.9,high_confidence,165
MIAN MUM,Miami,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5,61.5,low_confidence,165
ALTIMORE MD,Baltimore,67.0,,18.0,33.0,8.9,4.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,3.0,1.0,,,,8.0,8.0,17.0,33.0,13.0,6.0,6.0,10.0,6.0,,,,8.0,6.0,13.0,17.0,13.0,5.0,5.0,7.0,6.0,,,,8.0,5.0,9.0,4.0,13.0,4.0,5.0,5.0,6.0,,,,92.5,95.7,high_confidence,165
H ARLE STON VA,Charleston,77.0,54 55,26.0,390.0,48.8,2.0,,1.0,3.0,4.0,5.0,3.0,2.0,1.0,1.0,3.0,2.0,1.0,,390.0,54.0,,20.0,60.0,40.0,90.0,90.0,70.0,,120.0,,30.0,25.0,39.0,10.0,23.0,35.0,90.0,90.0,26.0,,120.0,,30.0,6.0,,,,30.0,90.0,90.0,2.0,,120.0,88.7,82.8,low_confidence,165
A MPA FLA,Tampa,84.0,54 55,30.0,16.0,2.3,1.0,2.0,2.0,3.0,5.0,5.0,2.0,2.0,2.0,3.0,1.0,2.0,1.0,1.0,2.0,16.0,3.0,1.0,5.0,,4.0,3.0,2.0,,,,1.0,6.0,1.0,,2.0,,3.0,1.0,2.0,,,,1.0,,,,,,2.0,,2.0,,,93.4,88.9,high_confidence,165
