Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
BOS TON,Boston,6.0,55,22.0,17.0,7.1,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,,17.0,7.0,2.0,,6.0,10.0,6.0,11.0,14.0,11.0,5.0,8.0,17.0,5.0,1.0,,6.0,5.0,4.0,4.0,14.0,10.0,4.0,8.0,17.0,3.0,,,6.0,,2.0,2.0,14.0,9.0,4.0,8.0,88.3,92.3,high_confidence,142
EVERETT MASS,Everett,8.0,,26.0,37.0,7.8,1.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,4.0,37.0,14.0,6.0,31.0,12.0,12.0,10.0,8.0,1.2,7.0,13.0,3.0,15.0,8.0,6.0,1.0,8.0,7.0,,,12.0,7.0,11.0,3.0,1.0,2.0,6.0,11.0,4.0,4.0,,3.0,12.0,7.0,9.0,94.0,100.0,exact,142
ELIZABETH W,Elizabeth,21.0,56,21.0,13.0,2.2,1.0,3.0,2.0,3.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,13.0,4.0,,,,2.0,2.0,,1.0,,,,4.0,1.0,,,,2.0,2.0,,1.0,3.0,,,,,,,,2.0,2.0,,1.0,,91.7,90.0,high_confidence,142
PAUL SBORO J,Paulsboro,22.0,55 56,25.0,26.0,3.4,2.0,2.0,4.0,3.0,5.0,2.0,1.0,4.0,1.0,,2.0,,1.0,7.0,3.0,26.0,15.0,2.0,,,,,2.0,,2.0,6.0,2.0,9.0,3.0,1.0,,,,,1.0,,2.0,6.0,,,,,,,,,,,2.0,65.0,88.0,high_confidence,142
CAMDEN W J,Camden,19.0,55,21.0,32.0,4.8,1.0,2.0,3.0,3.0,2.0,,1.0,1.0,2.0,3.0,2.0,,2.0,6.0,14.0,25.0,32.0,,2.0,4.0,6.0,3.0,4.0,,6.0,4.0,6.0,1.0,16.0,,2.0,4.0,,2.0,3.0,,5.0,2.0,1.0,,,,2.0,4.0,5.0,1.0,3.0,,4.0,79.8,90.0,high_confidence,142
PERTH AMBOY N,Perth Amboy,18.0,55 56,18.0,82.0,5.0,1.0,3.0,1.0,4.0,,,,1.0,2.0,,2.0,3.0,2.0,,1.0,27.0,82.0,,,,3.0,,,11.0,,1.0,1.0,7.0,18.0,,,,3.0,,,3.0,2.0,,1.0,,,,,,3.0,,,,,83.2,92.9,high_confidence,142
TRENTON W J,Trenton,28.0,55 56,16.0,34.0,9.8,2.0,3.0,2.0,1.0,,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,1.0,7.0,5.0,34.0,,,3.0,,,,4.0,8.0,,4.0,,34.0,,,1.0,,,,4.0,6.0,,2.0,5.0,34.0,,,,,,,4.0,3.0,91.4,90.9,high_confidence,142
JERSEY CITY NH,Jersey City,27.0,55 56,23.0,35.0,8.4,1.0,2.0,3.0,4.0,4.0,,2.0,2.0,2.0,1.0,,1.0,2.0,3.0,21.0,35.0,,,9.0,,17.0,3.0,,2.0,5.0,2.0,16.0,14.0,20.0,,6.0,,10.0,3.0,,2.0,3.0,2.0,6.0,5.0,1.0,,3.0,,3.0,3.0,,2.0,2.0,76.6,89.7,high_confidence,142
NEW YORK W Y,New York,30.0,54 56,63.0,107.0,34.3,,4.0,5.0,,8.0,5.0,10.0,,5.0,6.0,6.0,7.0,7.0,73.0,22.0,95.0,66.0,74.0,81.0,86.0,76.0,53.0,107.0,88.0,81.0,27.0,8.0,52.0,36.0,49.0,26.0,42.0,21.0,27.0,54.0,37.0,33.0,,,,,,,,,,,,,89.3,91.7,high_confidence,142
MENT MU,MENT MU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9,0.0,unmatched,142
