Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
NEW JERSEY TOTAL,55,10.0,11.0,30.0,18.0,11.0,14.0,15.0,16.0,17.0,18.0,19.0,21.0,27.0,94.8,177,state_total,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,54 55,36.0,,59.0,21.0,4.0,9.0,11.0,14.0,22.0,28.0,30.0,34.0,39.0,95.1,177,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54,10.0,,28.0,,1.0,3.0,7.0,8.0,,12.0,13.0,13.0,27.0,94.7,177,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,False,False
COLUMBIA TOTAL,54,25.0,,34.0,,1.0,5.0,9.0,14.0,17.0,18.0,20.0,21.0,27.0,91.7,177,,Columbia,90.0,72.7,low_confidence,False,False
KENTUCKY TOTAL,54,9.0,3.0,44.0,25.0,3.0,11.0,15.0,17.0,21.0,21.0,36.0,38.0,46.0,94.2,177,state_total,KENTUCKY TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOTAL,54,7.0,,42.0,13.0,1.0,1.0,5.0,5.0,6.0,6.0,,27.0,27.0,93.3,177,,WEST VIRGINA TOTAL,,0.0,unmatched,False,False
FLORIDA TOTAL,54,10.0,1.0,,,1.0,2.0,2.0,3.0,5.0,5.0,11.0,15.0,17.0,93.9,177,state_total,FLORIDA TOTAL,,,state_aggregate,False,False
GEORGIA TOTAL,54,9.0,,26.0,10.0,1.0,4.0,4.0,8.0,8.0,8.0,,15.0,26.0,94.9,177,state_total,GEORGIA TOTAL,,,state_aggregate,False,False
PLLINOIS TOTAL,54 55,43.0,,86.0,31.0,2.0,15.0,23.0,28.0,32.0,37.0,41.0,45.0,58.0,90.8,177,,PLLINOIS TOTAL,,0.0,unmatched,True,False
MICHIGAN TOTAL,53 54,33.0,,71.0,24.0,4.0,8.0,13.0,14.0,22.0,24.0,35.0,41.0,51.0,95.0,177,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
OHIO TOTAL,54 55,135.0,3.0,69.0,19.0,6.0,9.0,12.0,14.0,16.0,18.0,22.0,26.0,36.0,94.2,177,state_total,OHIO TOTAL,,,state_aggregate,True,False
MINNESOTA TOTAL,54,14.0,4.0,20.0,,4.0,5.0,6.0,9.0,11.0,12.0,15.0,16.0,19.0,94.3,177,state_total,MINNESOTA TOTAL,,,state_aggregate,False,False
MISSOURI TOTAL,54,6.0,2.0,,4.0,2.0,2.0,3.0,,4.0,4.0,,,6.0,95.4,177,state_total,MISSOURI TOTAL,,,state_aggregate,False,False
LOUISIANA TOTAL,54,4.0,6.0,22.0,14.0,,6.0,6.0,9.0,9.0,,19.0,19.0,24.0,91.2,177,state_total,LOUISIANA TOTAL,,,state_aggregate,False,False
TEXAS TOTAL,54,29.0,,59.0,13.0,,1.0,1.0,6.0,9.0,10.0,13.0,24.0,32.0,93.4,177,state_total,TEXAS TOTAL,,,state_aggregate,False,False
