Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONN,Waterbury,1.0,56,33.0,40.0,6.1,4.0,2.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,4.0,,2.0,,10.0,7.0,40.0,8.0,6.0,7.0,20.0,,20.0,10.0,20.0,,5.0,1.0,9.0,4.0,2.0,2.0,7.0,,10.0,6.0,15.0,,,,,,,,,,4.0,,10.0,95.7,100.0,exact,193
BOSTON MASS,Boston,6.0,,23.0,30.0,6.2,10.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,10.0,30.0,,,,,,7.0,,4.0,6.0,,10.0,15.0,,,,,,1.0,,2.0,3.0,,10.0,,,,,,,,,,,,86.0,100.0,exact,193
EV ERETT MAS S,Everett,8.0,55,26.0,100.0,27.6,4.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,,9.0,20.0,,10.0,20.0,100.0,,10.0,,100.0,100.0,,3.0,8.0,,9.0,8.0,33.0,,7.0,,100.0,53.0,,,,,9.0,,,,4.0,,100.0,7.0,87.4,92.3,high_confidence,193
ET 1ZABETH W J,Elizabeth,21.0,55 56,21.0,3.0,1.2,1.0,3.0,2.0,3.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,1.0,,2.0,2.0,1.0,,,1.0,2.0,,1.0,3.0,,,1.0,,1.0,,,,2.0,,,1.0,,,1.0,,1.0,,,,2.0,,1.0,,78.3,74.1,low_confidence,193
CA MDEN WN J,Camden,19.0,55 56,21.0,11.0,1.4,1.0,2.0,3.0,3.0,2.0,,1.0,1.0,2.0,3.0,2.0,,2.0,2.0,1.0,3.0,,,,1.0,2.0,11.0,,,1.0,1.0,,1.0,,,,1.0,1.0,3.0,,,,1.0,,,,,,1.0,,,,,,86.3,90.9,high_confidence,193
PERTH AMBOY N OJ,Perth Amboy,18.0,55 56,23.0,18.0,5.7,1.0,3.0,1.0,4.0,5.0,,,1.0,2.0,,2.0,3.0,2.0,1.0,,16.0,5.0,,,,,,18.0,2.0,,,,7.0,1.0,,,,,,9.0,,,,,1.0,,,,,,,,1.0,,78.2,96.8,high_confidence,193
TRENTON W J,Trenton,28.0,55 56,17.0,2.0,1.5,1.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,1.0,2.0,2.0,2.0,,,,,,1.0,,1.0,,1.0,2.0,2.0,,,,,,1.0,,,,,2.0,2.0,,,,,,1.0,,,91.8,90.9,high_confidence,193
JERSEY CITY J,Jersey City,27.0,55 56,22.0,22.0,3.0,1.0,2.0,3.0,4.0,4.0,,2.0,2.0,2.0,1.0,,,2.0,,2.0,9.0,22.0,,1.0,,7.0,,,,,,1.0,3.0,5.0,,,,3.0,,,,,,1.0,1.0,,,,,,,,,,95.0,92.9,high_confidence,193
NEW YORK WN,New York,30.0,54 56,69.0,340.0,14.8,,4.0,6.0,5.0,8.0,5.0,10.0,,5.0,6.0,6.0,7.0,7.0,340.0,27.0,23.0,20.0,17.0,29.0,27.0,17.0,32.0,22.0,,44.0,92.0,8.0,8.0,7.0,5.0,5.0,6.0,5.0,13.0,9.0,4.0,15.0,,,,,,,,,,,,,81.6,87.0,high_confidence,193
MTNIIMUM,MtNIiMUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.9,0.0,unmatched,193
PHILADELPHI A PA,Philadelphia,41.0,56,157.0,510.0,12.4,4.0,20.0,16.0,14.0,15.0,19.0,12.0,13.0,13.0,10.0,8.0,8.0,9.0,84.0,,28.0,22.0,510.0,13.0,,16.0,57.0,13.0,18.0,99.0,12.0,9.0,10.0,5.0,40.0,6.0,2.0,5.0,12.0,6.0,,29.0,,,,,,,,,,4.0,,,93.8,96.8,high_confidence,193
ALTOONA PA,Altoona,57.0,56,13.0,6.0,2.0,,,1.0,1.0,2.0,3.0,,,1.0,2.0,2.0,1.0,,,,,,4.0,,,,,6.0,,,,,,,1.0,,,,,3.0,,,,,,,,,,,,,,,90.0,100.0,exact,193
