Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
WATERBURY CONN,1,55,,,,1.0,,,1.0,1.0,1.0,1.0,2.0,3.0,5.0,95.1,159,,Waterbury,1.0,100.0,exact,False,False
WATERBURY CONN,1,56,22.0,,7.0,1.0,,,1.0,1.0,1.0,1.0,2.0,4.0,5.0,94.2,159,,Waterbury,1.0,100.0,exact,False,False
WATERBURY CONN,1,55 56,36.0,,7.0,1.0,,,1.0,1.0,1.0,1.0,2.0,3.0,,93.1,159,,Waterbury,1.0,100.0,exact,True,False
BOSTON MASS,1,,23.0,,3.0,,,,,,1.0,1.0,1.0,1.0,,94.8,159,,Boston,6.0,100.0,exact,False,False
EVERETT MASS,1,55,26.0,,8.0,2.0,,,1.0,1.0,1.0,2.0,2.0,4.0,,95.5,159,,Everett,8.0,100.0,exact,False,False
ELIZABETH WN J,1,55 56,21.0,,8.0,,,,,,,1.0,1.0,,1.0,89.1,159,,Elizabeth,21.0,96.3,high_confidence,True,False
ELIZABETH WN J,,,,,,,,,,,1.0,,,1.0,,95.5,159,,Elizabeth,21.0,96.3,high_confidence,False,False
PAULSBORO W J,1,55 56,25.0,,13.0,,,,,,1.0,1.0,1.0,1.0,3.0,93.5,159,,Paulsboro,22.0,92.3,high_confidence,True,False
CAMDEN N J,1,55 56,21.0,,20.0,3.0,,,1.0,1.0,1.0,2.0,2.0,5.0,7.0,91.2,159,,Camden,19.0,100.0,exact,True,False
PERTH AMBOY N J,1,55 56,23.0,,8.0,,,,,,1.0,1.0,1.0,1.0,5.0,93.5,159,,Perth Amboy,18.0,100.0,exact,True,False
TRENTON WN J,1,56,17.0,,10.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,3.0,91.7,159,,Trenton,28.0,95.7,high_confidence,False,False
JERSEY CITY N J,1,55 56,23.0,,20.0,1.0,,,,,1.0,1.0,1.0,1.0,6.0,94.7,159,,Jersey City,27.0,100.0,exact,True,False
NEW YORK NY,2,54 56,50.0,,31.0,8.0,,1.0,1.0,4.0,8.0,10.0,12.0,15.0,21.0,90.9,159,,New York,31.0,100.0,exact,True,False
NEW YORK NY,3,54 55,23.0,,16.0,1.0,,,,1.0,1.0,1.0,1.0,,5.0,95.1,159,,New York,32.0,100.0,exact,True,False
NEW YORK NY,,54 56,73.0,,31.0,6.0,,,1.0,1.0,3.0,5.0,9.0,14.0,17.0,94.9,159,,New York,30.0,95.7,high_confidence,True,False
PHILADELPHIA PA,1,54,6.0,,76.0,21.0,1.0,1.0,6.0,6.0,11.0,12.0,12.0,21.0,21.0,92.9,159,,Philadelphia,41.0,100.0,exact,False,False
PHILADELPHIA PA,1,55,90.0,,18.0,1.0,,,,1.0,1.0,1.0,2.0,3.0,4.0,95.3,159,,Philadelphia,41.0,100.0,exact,False,False
PHILADELPHIA PA,1,56,11.0,,,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,4.0,93.4,159,,Philadelphia,41.0,100.0,exact,False,False
PHILADELPHIA PA,1,54 56,107.0,,76.0,2.0,,,1.0,1.0,1.0,1.0,2.0,,,92.8,159,,Philadelphia,41.0,100.0,exact,True,False
PHILADELPHIA PA,4,56,11.0,,14.0,2.0,,,1.0,1.0,2.0,2.0,3.0,3.0,,93.8,159,,Philadelphia,44.0,100.0,exact,False,False
PHILADELPHIA PA,,,,,,,,,,,,,,5.0,5.0,83.0,159,,Philadelphia,41.0,100.0,exact,False,False
PHILADELPHIA PA,5,56,9.0,,5.0,1.0,,,1.0,1.0,1.0,1.0,1.0,,,95.1,159,,Philadelphia,45.0,100.0,exact,False,False
PHILADELPHIA PA,6,56,11.0,,7.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,3.0,95.3,159,,Philadelphia,46.0,100.0,exact,False,False
PHILADELPHIA PA,,56,11.0,,8.0,2.0,,1.0,1.0,1.0,2.0,2.0,2.0,5.0,6.0,94.8,159,,Philadelphia,41.0,100.0,exact,False,False
PHILADELPHIA PA,,54,10.0,,386.0,53.0,1.0,1.0,6.0,10.0,,12.0,13.0,21.0,78.0,93.0,159,,Philadelphia,41.0,100.0,exact,False,False
PHILADELPHIA PA,,,90.0,,8.0,1.0,,,,1.0,1.0,1.0,2.0,3.0,4.0,91.8,159,,Philadelphia,41.0,100.0,exact,False,False
PHILADELPHIA PA,,56,53.0,,14.0,2.0,,,1.0,1.0,1.0,2.0,2.0,3.0,5.0,94.8,159,,Philadelphia,41.0,100.0,exact,False,False
PHILADELPHIA PA,,54 56,153.0,,386.0,5.0,,,1.0,1.0,1.0,1.0,2.0,3.0,5.0,94.7,159,,Philadelphia,41.0,100.0,exact,True,False
ALTOONA PA,,56,13.0,,3.0,,,,,,1.0,1.0,1.0,1.0,2.0,94.1,159,,Altoona,57.0,100.0,exact,False,False
