Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
WATERBURY CONN,,,,,40.0,10.0,,1.0,1.0,1.0,10.0,,,,,90.0,101,,Waterbury,1,100.0,exact,False,False
WATERBURY CONN,1,,,,,10.0,,,1.0,1.0,7.0,,,,,91.0,101,,Waterbury,1,100.0,exact,False,False
WATERBURY CONN,1,55 56,36.0,,40.0,10.0,,,1.0,1.0,9.0,10.0,20.0,22.0,23.0,93.5,101,,Waterbury,1,100.0,exact,True,False
BOSTON MASS,1,55,23.0,,60.0,6.0,,,,1.0,1.0,1.0,1.0,7.0,23.0,95.1,101,,Boston,6,100.0,exact,False,False
EVERETT MASS,1,55,26.0,,100.0,19.0,,1.0,1.0,1.0,6.0,11.0,23.0,41.0,53.0,93.6,101,,Everett,8,100.0,exact,False,False
ELIZABETH N J,1,55 56,20.0,,5.0,,,,,,1.0,1.0,1.0,,1.0,89.4,101,,Elizabeth,21,100.0,exact,True,False
PAULSBORO WN J,1,55 56,23.0,,,,,,,,1.0,1.0,1.0,1.0,1.0,90.5,101,,Paulsboro,22,96.3,high_confidence,True,False
CAMDEN N OJ,1,55 56,19.0,,9.0,,,,,,1.0,1.0,1.0,1.0,1.0,91.2,101,,Camden,19,95.2,high_confidence,True,False
PERTH AMBOY N J,1,55 56,21.0,,10.0,,,,,,1.0,1.0,1.0,1.0,,92.5,101,,Perth Amboy,18,100.0,exact,True,False
TRENTON N J,1,55 56,16.0,,39.0,6.0,,,,1.0,1.0,1.0,1.0,14.0,19.0,94.3,101,,Trenton,28,100.0,exact,True,False
JERSEY CITY N J,1,55 56,21.0,,52.0,8.0,,,,1.0,1.0,1.0,7.0,16.0,31.0,94.6,101,,Jersey City,27,100.0,exact,True,False
NEW YORK WN Y,2,56,39.0,,140.0,10.0,,,1.0,1.0,1.0,1.0,7.0,17.0,29.0,90.8,101,,New York,31,100.0,exact,False,False
NEW YORK WN Y,3,54 55,18.0,,140.0,10.0,,,,1.0,1.0,1.0,6.0,7.0,14.0,95.1,101,,New York,32,100.0,exact,True,False
NEW YORK WN Y,,54 56,,,39.0,10.0,,,1.0,1.0,1.0,13.0,17.0,27.0,31.0,95.7,101,,New York,30,96.0,high_confidence,True,False
PHILADELPHIA PA,,,94.0,,53.0,6.0,,,,1.0,1.0,1.0,6.0,12.0,23.0,91.8,101,,Philadelphia,41,100.0,exact,False,False
