Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
NEW YORK W Y,New York,30.0,54 55,35.0,109.0,25.4,4.0,3.0,3.0,2.0,4.0,4.0,3.0,3.0,1.0,4.0,3.0,3.0,2.0,25.0,,57.0,43.0,29.0,65.0,31.0,29.0,34.0,30.0,25.0,109.0,14.0,36.0,32.0,24.0,8.0,25.0,23.0,29.0,28.0,17.0,8.0,61.0,,24.0,8.0,11.0,,,18.0,29.0,25.0,4.0,,14.0,84.3,91.7,high_confidence,183
WASHINGTON ODOC,Washington,61.0,54 55,28.0,26.0,8.5,8.0,,4.0,1.0,3.0,3.0,4.0,3.0,4.0,4.0,2.0,,,,26.0,8.0,7.0,,3.0,20.0,1.0,15.0,5.0,,,,22.0,8.0,4.0,,,7.0,,8.0,2.0,,,,19.0,8.0,,,,,,,,,,89.0,89.7,high_confidence,183
CHICAGO PLL,Chicago,99.0,54 55,41.0,119.0,32.4,19.0,2.0,4.0,,,2.0,9.0,5.0,3.0,4.0,6.0,3.0,3.0,45.0,,,,5.0,19.0,36.0,76.0,47.0,86.0,57.0,119.0,37.0,41.0,,,2.0,5.0,16.0,34.0,36.0,46.0,36.0,71.0,29.0,32.0,,,,,,,27.0,25.0,19.0,44.0,87.0,90.9,high_confidence,183
DETROIT MICH,Detroit,115.0,53 54,32.0,172.0,64.5,2.0,,2.0,3.0,4.0,1.0,1.0,,,,,21.0,,,129.0,172.0,102.0,2.0,69.0,,,,,67.0,,,119.0,118.0,46.0,2.0,69.0,,,,,33.0,,,109.0,91.0,10.0,2.0,69.0,,,,,10.0,,92.5,100.0,exact,183
CIUNCENNATI OHIO,Cincinnati,126.0,54,105.0,56.0,10.7,1.0,1.0,5.0,34.0,14.0,8.0,17.0,,6.0,10.0,5.0,1.0,4.0,26.0,37.0,56.0,33.0,14.0,16.0,2.0,7.0,14.0,12.0,25.0,55.0,26.0,18.0,12.0,9.0,4.0,2.0,,2.0,6.0,3.0,25.0,,26.0,1.0,,,,,,,,,25.0,,78.0,78.6,low_confidence,183
HOUSTON TEXAS,Houston,177.0,54,17.0,99.0,32.8,1.0,1.0,2.0,2.0,1.0,3.0,8.0,,,,,,,67.0,19.0,99.0,21.0,21.0,47.0,,,,,,,67.0,18.0,67.0,21.0,9.0,15.0,,,,,,,67.0,17.0,36.0,21.0,,1.0,,,,,,,95.0,91.7,high_confidence,183
LOS ANGELES CALIF,Los Angeles,195.0,54,17.0,125.0,49.7,5.0,,1.0,4.0,4.0,6.0,2.0,,,,,,,,32.0,85.0,55.0,25.0,69.0,125.0,,,,,,,32.0,57.0,30.0,15.0,61.0,103.0,,,,,,,32.0,35.0,13.0,5.0,53.0,61.0,,,,,,94.4,100.0,exact,183
RE SAQENA CALIF,Pasadena,199.0,54 55,28.0,77.0,30.0,1.0,2.0,4.0,2.0,3.0,2.0,3.0,4.0,2.0,2.0,4.0,,,20.0,20.0,33.0,28.0,20.0,46.0,77.0,56.0,65.0,62.0,,,10.0,15.0,21.0,12.0,10.0,29.0,58.0,45.0,46.0,54.0,,,,12.0,9.0,,1.0,,46.0,35.0,28.0,45.0,,,78.6,75.9,low_confidence,183
BERKELEY CALIF,Berkeley,191.0,54 55,30.0,110.0,39.2,3.0,3.0,5.0,,2.0,2.0,2.0,3.0,2.0,3.0,4.0,,4.0,13.0,23.0,,29.0,74.0,71.0,,52.0,48.0,,110.0,20.0,,19.0,,23.0,66.0,54.0,55.0,45.0,41.0,37.0,41.0,11.0,,15.0,,18.0,,38.0,16.0,39.0,31.0,25.0,10.0,3.0,94.2,100.0,exact,183
SAN JOSE CALIF,San Jose,206.0,54 55,34.0,70.0,25.0,1.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,3.0,5.0,3.0,9.0,19.0,32.0,40.0,49.0,70.0,28.0,47.0,40.0,48.0,26.0,10.0,7.0,14.0,28.0,36.0,42.0,35.0,27.0,39.0,25.0,27.0,16.0,4.0,5.0,7.0,25.0,32.0,35.0,1.0,26.0,32.0,19.0,16.0,8.0,,94.2,100.0,exact,183
