Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,57,130.0,,440.0,103.0,43.0,,58.0,,,,122.0,149.0,,91.4,37,state_total,CONNECTICUT TOTAL,,,state_aggregate,False,False
MAINE TOTAL,57,1.0,,290.0,98.0,29.0,51.0,55.0,68.0,,90.0,138.0,149.0,,92.4,37,state_total,MAINE TOTAL,,,state_aggregate,False,False
MASSACHUSETS TOT AL,57,293.0,10.0,615.0,91.0,31.0,44.0,58.0,66.0,75.0,89.0,109.0,128.0,166.0,89.6,37,,MASSACHUSETS TOT AL,,0.0,unmatched,False,False
NEW HAMPSHRE TOT AL,57,17.0,,107.0,52.0,25.0,30.0,33.0,348.0,,51.0,59.0,78.0,97.0,87.0,37,,NEW HAMPSHRE TOT AL,,0.0,unmatched,False,False
RHODE ISLAND TOT AL,57,27.0,33.0,700.0,111.0,51.0,56.0,65.0,75.0,86.0,97.0,110.0,120.0,159.0,89.1,37,,Oatland Island,239.0,61.1,low_confidence,False,False
VERMONT TOTAL,57,26.0,8.0,45.0,24.0,14.0,16.0,22.0,23.0,24.0,25.0,30.0,32.0,35.0,94.3,37,state_total,VERMONT TOTAL,,,state_aggregate,False,False
DELAWARE TOTAL,57,28.0,38.0,410.0,125.0,,65.0,80.0,88.0,97.0,109.0,129.0,,232.0,94.9,37,state_total,DELAWARE TOTAL,,,state_aggregate,False,False
NEW JERSEY TOTAL,55 57,311.0,16.0,467.0,100.0,43.0,53.0,64.0,76.0,86.0,98.0,114.0,1353.0,,90.9,37,state_total,NEW JERSEY TOTAL,,,state_aggregate,True,False
NEW YORK TOTAL,57,241.0,17.0,402.0,86.0,33.0,42.0,50.0,61.0,71.0,83.0,102.0,125.0,1354.0,90.4,37,state_total,NEW YORK TOTAL,,,state_aggregate,False,False
PENNSYLVANIA TOT AL,55 57,1249.0,7.0,,137.0,49.0,68.0,82.0,100.0,116.0,133.0,156.0,190.0,241.0,92.2,37,,PENNSYLVANIA TOT AL,,0.0,unmatched,True,False
COLUMBIA TOT AL,55 57,87.0,9.0,550.0,119.0,36.0,46.0,59.0,87.0,109.0,130.0,152.0,177.0,207.0,92.4,37,,Columbia,90.0,74.1,low_confidence,True,False
KENTUCKY TOTAL,55 57,78.0,15.0,706.0,130.0,52.0,62.0,68.0,85.0,96.0,110.0,138.0,177.0,243.0,92.8,37,state_total,KENTUCKY TOTAL,,,state_aggregate,True,False
MARYLAND TOTAL,56 57,53.0,25.0,952.0,167.0,59.0,84.0,92.0,102.0,125.0,138.0,165.0,202.0,371.0,92.0,37,state_total,MARYLAND TOTAL,,,state_aggregate,True,False
NO CAROLINA TOTA,57,,12.0,,107.0,33.0,45.0,49.0,54.0,71.0,107.0,126.0,159.0,227.0,92.9,37,,NO CAROLINA TOTA,,0.0,unmatched,False,False
PUERTO RICO TOTA,57,21.0,16.0,118.0,48.0,16.0,22.0,33.0,41.0,49.0,55.0,61.0,64.0,68.0,92.9,37,,PUERTO RICO TOTA,,0.0,unmatched,False,False
VIRGINIA TOTAL,57,51.0,25.0,198.0,84.0,36.0,48.0,54.0,59.0,71.0,87.0,109.0,138.0,,93.7,37,state_total,VIRGINIA TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOT AL,55 57,99.0,24.0,437.0,126.0,44.0,56.0,76.0,92.0,101.0,115.0,134.0,190.0,237.0,93.2,37,,WEST VIRGINA TOT AL,,0.0,unmatched,True,False
ALABAMA TOTAL,57,25.0,9.0,214.0,91.0,41.0,51.0,71.0,78.0,90.0,95.0,102.0,112.0,159.0,91.2,37,state_total,ALABAMA TOTAL,,,state_aggregate,False,False
FLORIDA TOTAL,55 57,11.0,,247.0,71.0,33.0,41.0,48.0,55.0,63.0,70.0,,95.0,120.0,92.0,37,state_total,FLORIDA TOTAL,,,state_aggregate,True,False
GEORGIA TOTAL,55 57,116.0,35.0,803.0,120.0,51.0,66.0,75.0,82.0,88.0,104.0,120.0,145.0,,90.8,37,state_total,GEORGIA TOTAL,,,state_aggregate,True,False
MISSUESSIEPPI TOTA L,57,24.0,3.0,220.0,53.0,8.0,18.0,19.0,33.0,36.0,41.0,51.0,,120.0,86.4,37,,MISSUESSIEPPI TOTA L,,0.0,unmatched,False,False
SO CAROLINA TOTA L,57,,24.0,350.0,113.0,38.0,46.0,54.0,68.0,78.0,104.0,1368.0,,255.0,87.5,37,,SO CAROLINA TOTA L,,0.0,unmatched,False,False
TENNESSEE TOTAL,55 57,172.0,9.0,733.0,142.0,51.0,61.0,72.0,89.0,113.0,132.0,156.0,191.0,271.0,91.7,37,state_total,TENNESSEE TOTAL,,,state_aggregate,True,False
TOTAL,55 57,267.0,3.0,618.0,150.0,39.0,61.0,78.0,102.0,124.0,149.0,187.0,236.0,295.0,92.0,37,,TOTAL,,,state_aggregate,True,False
TOTAL,55 57,272.0,19.0,490.0,124.0,44.0,57.0,73.0,87.0,102.0,118.0,144.0,177.0,241.0,92.6,37,,TOTAL,,,state_aggregate,True,False
MICHIGAN TOTAL,56 57,181.0,7.0,417.0,81.0,29.0,37.0,50.0,60.0,67.0,79.0,93.0,109.0,143.0,92.9,37,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
OHIO TOTAL,55 57,297.0,21.0,1231.0,54.0,43.0,55.0,,80.0,,,,90.0,,90.5,37,state_total,OHIO TOTAL,,,state_aggregate,True,False
TOTAL,57,46.0,9.0,212.0,71.0,29.0,43.0,49.0,61.0,65.0,71.0,,95.0,120.0,90.9,37,,TOTAL,,,state_aggregate,False,False
1 OWA TOTAL,57,26.0,6.0,183.0,72.0,33.0,41.0,46.0,49.0,55.0,68.0,,104.0,138.0,89.1,37,,1 OWA TOTAL,,0.0,unmatched,False,False
KANSAS TOTAL,55 57,69.0,,285.0,62.0,29.0,32.0,36.0,40.0,43.0,590.0,,81.0,132.0,93.4,37,state_total,KANSAS TOTAL,,,state_aggregate,True,False
MINNESOTA TOTAL,55 57,166.0,9.0,446.0,85.0,36.0,47.0,,63.0,71.0,79.0,91.0,118.0,146.0,94.3,37,state_total,MINNESOTA TOTAL,,,state_aggregate,True,False
MISSOURI TOTAL,57,334.0,7.0,745.0,142.0,37.0,66.0,86.0,98.0,113.0,132.0,157.0,200.0,,93.8,37,state_total,MISSOURI TOTAL,,,state_aggregate,False,False
NEBRASKA TOTAL,57,,24.0,175.0,62.0,33.0,39.0,44.0,47.0,49.0,,66.0,82.0,101.0,93.6,37,state_total,NEBRASKA TOTAL,,,state_aggregate,False,False
NORTH DAKOTA TOTAL,57,24.0,17.0,90.0,38.0,16.0,25.0,28.0,34.0,36.0,38.0,43.0,,68.0,95.2,37,state_total,NORTH DAKOTA TOTAL,,,state_aggregate,False,False
SOUTH DAKOTA TOTAL,57,26.0,5.0,75.0,33.0,22.0,24.0,28.0,30.0,38.0,43.0,46.0,,,95.1,37,state_total,SOUTH DAKOTA TOTAL,,,state_aggregate,False,False
ARKANSAS TOTAL,57,26.0,24.0,174.0,58.0,27.0,28.0,33.0,40.0,44.0,48.0,50.0,86.0,104.0,92.9,37,state_total,ARKANSAS TOTAL,,,state_aggregate,False,False
LOUISIANA TOTAL,55 57,135.0,16.0,558.0,101.0,34.0,42.0,55.0,,84.0,97.0,113.0,131.0,,91.8,37,state_total,LOUISIANA TOTAL,,,state_aggregate,True,False
NEW MEXICO TOTAL,57,,61.0,410.0,180.0,78.0,86.0,99.0,1386.0,,183.0,211.0,280.0,322.0,90.9,37,state_total,NEW MEXICO TOTAL,,,state_aggregate,False,False
QKLAHOMA TOTAL,57,20.0,,67.0,26.0,8.0,17.0,,23.0,24.0,25.0,28.0,33.0,42.0,91.0,37,,Oklahoma City,167.0,68.8,low_confidence,False,False
TEXAS TOTAL,,300.0,,405.0,71.0,3.0,32.0,40.0,47.0,55.0,65.0,79.0,98.0,138.0,90.4,37,state_total,TEXAS TOTAL,,,state_aggregate,False,False
COLURADO TOTAL,57,92.0,17.0,424.0,,53.0,70.0,83.0,96.0,110.0,127.0,146.0,176.0,243.0,93.8,37,,COLURADO TOTAL,,0.0,unmatched,False,False
TGTAL,57,34.0,25.0,237.0,88.0,40.0,46.0,,59.0,82.0,88.0,112.0,120.0,159.0,89.6,37,,TGTAL,,0.0,unmatched,False,False
MONTANA TOTAL,57,25.0,,42.0,21.0,8.0,9.0,16.0,18.0,,24.0,27.0,29.0,38.0,93.9,37,state_total,MONTANA TOTAL,,,state_aggregate,False,False
UTAH TOTAL,55 57,75.0,29.0,467.0,,47.0,56.0,69.0,77.0,90.0,106.0,138.0,173.0,255.0,92.0,37,state_total,UTAH TOTAL,,,state_aggregate,True,False
WYOMING TOTAL,57,27.0,,96.0,42.0,17.0,,27.0,31.0,36.0,40.0,48.0,56.0,84.0,90.2,37,state_total,WYOMING TOTAL,,,state_aggregate,False,False
ALASKA TOTAL,57,42.0,16.0,332.0,,33.0,40.0,49.0,68.0,80.0,97.0,127.0,142.0,,90.9,37,state_total,ALASKA TOTAL,,,state_aggregate,False,False
ARIZONA TOTAL,57,26.0,37.0,587.0,164.0,51.0,68.0,78.0,84.0,104.0,159.0,183.0,291.0,312.0,92.4,37,state_total,ARIZONA TOTAL,,,state_aggregate,False,False
CALIFORNIA TOTAL,55 57,67.0,3.0,790.0,138.0,31.0,49.0,67.0,,105.0,124.0,158.0,206.0,275.0,92.4,37,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
HAWAII TOTAL,57,62.0,,107.0,40.0,17.0,,25.0,28.0,34.0,43.0,49.0,58.0,67.0,89.1,37,state_total,HAWAII TOTAL,,,state_aggregate,False,False
NEVADA TOTAL,57,26.0,25.0,167.0,76.0,38.0,44.0,,,68.0,78.0,90.0,112.0,129.0,95.7,37,state_total,NEVADA TOTAL,,,state_aggregate,False,False
OREGON TOTAL,55 57,137.0,8.0,438.0,98.0,40.0,47.0,57.0,69.0,77.0,86.0,100.0,134.0,178.0,93.6,37,state_total,OREGON TOTAL,,,state_aggregate,True,False
WASHINGTON TOTAL,57,25.0,16.0,232.0,99.0,33.0,44.0,64.0,,90.0,104.0,,149.0,,95.5,37,state_total,WASHINGTON TOTAL,,,state_aggregate,False,False
NEW ENGLAND TOTAL,,11.0,8.0,700.0,91.0,29.0,,,63.0,74.0,88.0,109.0,129.0,,90.7,38,region_total,NEW ENGLAND TOTAL,,,skip,False,False
MIO ATLNTC TOT AL,55 57,1829.0,7.0,829.0,124.0,44.0,59.0,73.0,87.0,104.0,,139.0,173.0,224.0,92.1,38,,MIO ATLNTC TOT AL,,0.0,unmatched,True,False
MID EAST TOTAL,55 57,440.0,9.0,952.0,119.0,38.0,51.0,61.0,79.0,95.0,112.0,135.0,166.0,220.0,93.9,38,region_total,MID EAST TOTAL,,,skip,True,False
SOUTH EAST TOT AL,55 57,,,803.0,111.0,38.0,,62.0,72.0,83.0,98.0,120.0,153.0,207.0,93.8,38,,SOUTH EAST TOT AL,,,skip,True,False
MID WEST TOTAL,55 57,1065.0,7.0,618.0,119.0,38.0,53.0,65.0,78.0,94.0,113.0,139.0,174.0,,90.1,38,region_total,MID WEST TOTAL,,,skip,True,False
GREAT PLAINS TOTAL,57,697.0,5.0,745.0,104.0,31.0,41.0,50.0,63.0,80.0,95.0,117.0,146.0,207.0,94.2,38,region_total,GREAT PLAINS TOTAL,,,skip,False,False
GULF SOUTH TOT AL,55,303.0,8.0,558.0,81.0,24.0,33.0,41.0,50.0,60.0,75.0,91.0,115.0,157.0,94.1,38,,GULF SOUTH TOT AL,,,skip,False,False
ROCKY MNTN TOT AL,55 57,253.0,,467.0,102.0,26.0,41.0,52.0,68.0,,98.0,117.0,149.0,201.0,93.1,38,,ROCKY MNTN TOT AL,,0.0,unmatched,True,False
PACIFIC COAST TOTAL,55 57,785.0,,790.0,119.0,29.0,43.0,56.0,71.0,86.0,105.0,132.0,170.0,248.0,92.4,38,region_total,PACIFIC COAST TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,55 57,6584.0,,952.0,113.0,34.0,47.0,60.0,74.0,88.0,106.0,128.0,159.0,218.0,94.6,38,,PACIFIC COAST TOTAL,,,skip,True,False
