Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,,,9.0,2800.0,113.0,1.0,,,21.0,22.0,39.0,44.0,55.0,88.0,93.9,170,state_total,CONNECTICUT TOTAL,,,state_aggregate,False,False
MASSACHUSETS FOTAL,,49.0,3.0,300.0,34.0,6.0,10.0,11.0,20.0,27.0,29.0,31.0,44.0,62.0,93.7,170,,MASSACHUSETS FOTAL,,0.0,unmatched,False,False
NEW JERSEY TOTAL,55 56,120.0,,150.0,23.0,5.0,9.0,10.0,14.0,18.0,22.0,27.0,35.0,46.0,95.1,170,state_total,NEW JERSEY TOTAL,,,state_aggregate,True,False
NEW YORK TOTAL,54 56,38.0,1.0,210.0,65.0,22.0,31.0,41.0,54.0,59.0,68.0,88.0,94.0,102.0,91.8,170,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,56,265.0,,200.0,19.0,3.0,5.0,8.0,10.0,12.0,16.0,20.0,26.0,44.0,95.0,170,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,False,False
D.C. TOTAL,55 56,17.0,8.0,40.0,24.0,10.0,11.0,19.0,20.0,21.0,22.0,29.0,31.0,39.0,92.2,170,state_total,D.C. TOTAL,,0.0,unmatched,True,False
KENTUCKY TOTAL,54,62.0,,86.0,10.0,1.0,2.0,3.0,,5.0,7.0,9.0,12.0,21.0,92.2,170,state_total,KENTUCKY TOTAL,,,state_aggregate,False,False
MARYLAND TOTAL,57,18.0,17.0,84.0,41.0,19.0,22.0,28.0,31.0,35.0,44.0,55.0,59.0,74.0,91.8,170,state_total,MARYLAND TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOTAL,55,16.0,,100.0,12.0,2.0,3.0,3.0,5.0,7.0,8.0,8.0,10.0,12.0,93.3,170,,WEST VIRGINA TOTAL,,0.0,unmatched,False,False
FLORIDA TOTAL,55,21.0,2.0,20.0,6.0,2.0,3.0,3.0,4.0,5.0,5.0,6.0,8.0,19.0,94.6,170,state_total,FLORIDA TOTAL,,,state_aggregate,False,False
GEORGIA TOTAL,55 56,16.0,3.0,60.0,10.0,3.0,4.0,5.0,6.0,6.0,7.0,8.0,10.0,11.0,94.5,170,state_total,GEORGIA TOTAL,,,state_aggregate,True,False
TENNESSEE TOTAL,56,32.0,,30.0,5.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,7.0,9.0,95.1,170,state_total,TENNESSEE TOTAL,,,state_aggregate,False,False
TOTAL,55 56,106.0,,200.0,19.0,4.0,6.0,7.0,9.0,10.0,,20.0,27.0,42.0,92.9,170,,TOTAL,,,state_aggregate,True,False
ANA TOTAL,55 56,86.0,1.0,100.0,18.0,4.0,5.0,7.0,9.0,10.0,19.0,21.0,28.0,31.0,94.6,170,,ANA TOTAL,,0.0,unmatched,True,False
OHIO TOTAL,55 57,35.0,,99.0,20.0,5.0,6.0,9.0,10.0,,16.0,24.0,34.0,49.0,93.6,170,state_total,OHIO TOTAL,,,state_aggregate,True,False
WISCONSIN TOTAL,57,19.0,11.0,70.0,29.0,15.0,17.0,19.0,20.0,22.0,24.0,31.0,41.0,,92.1,170,state_total,WISCONSIN TOTAL,,,state_aggregate,False,False
MINNESOTA TOTAL,54 55,21.0,2.0,60.0,8.0,2.0,3.0,4.0,4.0,5.0,5.0,6.0,10.0,11.0,93.6,170,state_total,MINNESOTA TOTAL,,,state_aggregate,True,False
MISSOURI TOTAL,55 56,50.0,,50.0,10.0,3.0,4.0,6.0,7.0,8.0,9.0,10.0,17.0,21.0,91.8,170,state_total,MISSOURI TOTAL,,,state_aggregate,True,False
LOUISIANA TOTAL,54 55,46.0,,,2.0,,1.0,1.0,2.0,2.0,2.0,3.0,3.0,5.0,91.0,170,state_total,LOUISIANA TOTAL,,,state_aggregate,True,False
TEXAS TOTAL,54 55,119.0,,60.0,3.0,,1.0,1.0,1.0,2.0,2.0,3.0,4.0,5.0,95.1,170,state_total,TEXAS TOTAL,,,state_aggregate,True,False
COLORADO TOTAL,54 55,23.0,,20.0,4.0,,1.0,1.0,1.0,2.0,3.0,5.0,6.0,11.0,93.5,170,state_total,COLORADO TOTAL,,,state_aggregate,True,False
UTAH TOTAL,54 55,26.0,1.0,30.0,11.0,,6.0,6.0,,9.0,10.0,11.0,19.0,22.0,95.2,170,state_total,UTAH TOTAL,,,state_aggregate,True,False
ALASKA TOTAL,54 55,13.0,,120.0,17.0,1.0,4.0,5.0,7.0,10.0,10.0,11.0,11.0,22.0,91.9,170,state_total,ALASKA TOTAL,,,state_aggregate,True,False
CALIFORNIA TOTAL,55 56,107.0,,100.0,16.0,3.0,5.0,7.0,9.0,10.0,15.0,20.0,22.0,30.0,95.0,170,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TOTAL,54 55,20.0,20.0,100.0,65.0,28.0,31.0,44.0,,62.0,74.0,88.0,93.0,99.0,94.4,170,state_total,OREGON TOTAL,,,state_aggregate,True,False
WASHINGTON TOTAL,57,20.0,22.0,180.0,78.0,23.0,26.0,52.0,66.0,74.0,83.0,96.0,110.0,123.0,91.9,170,state_total,WASHINGTON TOTAL,,,state_aggregate,False,False
NEW ENGLUND TOT AL,55 56,85.0,3.0,2800.0,67.0,9.0,,19.0,21.0,26.0,29.0,41.0,590.0,,88.2,170,,NEW ENGLUND TOT AL,,0.0,unmatched,True,False
MIO ATLNTC TOT AL,54 56,423.0,,210.0,25.0,4.0,7.0,9.0,12.0,16.0,20.0,26.0,37.0,58.0,90.1,170,,MIO ATLNTC TOT AL,,0.0,unmatched,True,False
MID EAST TOTAL,54 57,113.0,,100.0,17.0,2.0,3.0,5.0,7.0,9.0,15.0,20.0,28.0,42.0,92.7,170,region_total,MID EAST TOTAL,,,skip,True,False
SOUTH EAST TOT AL,55 56,69.0,,60.0,,2.0,3.0,3.0,4.0,5.0,5.0,6.0,8.0,11.0,91.4,170,,SOUTH EAST TOT AL,,,skip,True,False
MID WEST TOTAL,55 57,246.0,,200.0,19.0,4.0,6.0,8.0,9.0,11.0,19.0,21.0,29.0,43.0,94.1,170,region_total,MID WEST TOTAL,,,skip,True,False
GRT PLAINS TOT AL,54 56,71.0,,60.0,9.0,3.0,4.0,4.0,5.0,7.0,8.0,10.0,11.0,20.0,91.7,170,,GRT PLAINS TOT AL,,0.0,unmatched,True,False
GULF SOUTH TOT AL,54 55,165.0,,60.0,3.0,,1.0,1.0,2.0,2.0,2.0,3.0,4.0,,95.3,170,,GULF SOUTH TOT AL,,,skip,True,False
