Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
WATERBURY CONN,1,55,22.0,60.0,,,,459.0,550.0,724.0,,,,2793.0,4009.0,87.4,215,,Waterbury,1,100.0,exact,False,False
WATERBURY CONN,1,56,,,3900.0,4355.0,,,22.0,42.0,,,,3070.0,3567.0,93.0,215,,Waterbury,1,100.0,exact,False,False
WATERBURY CONN,1,55 56,36.0,40.0,,429.0,63.0,186.0,,550.0,,,,2977.0,3512.0,93.4,215,,Waterbury,1,100.0,exact,True,False
BOSTON MASS,1,55,23.0,,46.0,16.0,,1.0,,,13.0,20.0,22.0,29.0,41.0,90.6,215,,Boston,6,100.0,exact,False,False
EVERETT MASS,1,55,26.0,,1100.0,128.0,,9.0,10.0,20.0,41.0,96.0,108.0,124.0,223.0,94.9,215,,Everett,8,100.0,exact,False,False
ELIZABETH WN J,1,55 56,20.0,7.0,290.0,72.0,9.0,10.0,18.0,29.0,44.0,63.0,90.0,,155.0,91.3,215,,Elizabeth,21,96.3,high_confidence,True,False
PAULSBORO N J,1,55 56,23.0,,180.0,54.0,9.0,15.0,17.0,22.0,37.0,53.0,69.0,75.0,146.0,93.5,215,,Paulsboro,22,100.0,exact,True,False
CAMDEN N J,1,55,19.0,,350.0,80.0,13.0,22.0,26.0,37.0,49.0,53.0,,129.0,,91.3,215,,Camden,19,100.0,exact,False,False
PERTH AMBOY N J,1,55 56,21.0,,2100.0,,6.0,20.0,26.0,34.0,41.0,44.0,63.0,129.0,,90.4,215,,Perth Amboy,18,100.0,exact,True,False
TRENTON N OJ,1,55 56,16.0,,380.0,74.0,5.0,,18.0,29.0,37.0,42.0,44.0,155.0,171.0,88.6,215,,Trenton,28,95.7,high_confidence,True,False
JERSEY CITY N OD,1,55 56,22.0,3.0,699.0,82.0,4.0,17.0,26.0,31.0,41.0,53.0,75.0,108.0,146.0,90.0,215,,Jersey City,27,90.3,high_confidence,True,False
NEW YORK N Y,2,55 56,20.0,16.0,4600.0,998.0,41.0,85.0,108.0,171.0,205.0,223.0,,,4009.0,91.2,215,,New York,31,100.0,exact,True,False
NEW YORK N Y,3,54 55,18.0,6.0,4300.0,371.0,22.0,31.0,34.0,63.0,129.0,198.0,223.0,245.0,320.0,94.7,215,,New York,32,100.0,exact,True,False
NEW YORK N Y,,54 56,38.0,6.0,4600.0,693.0,29.0,37.0,83.0,129.0,186.0,208.0,267.0,867.0,1946.0,94.8,215,,New York,30,100.0,exact,True,False
PHELADELPHIA PA,1,55,94.0,,370.0,57.0,12.0,16.0,23.0,28.0,32.0,39.0,,86.0,129.0,91.1,215,,Philadelphia,41,98.0,high_confidence,False,False
PHELADELPHIA PA,1,56,1.0,14.0,180.0,73.0,15.0,31.0,37.0,44.0,75.0,83.0,,108.0,,90.9,215,,Philadelphia,41,98.0,high_confidence,False,False
PHELADELPHIA PA,1,55 56,105.0,,370.0,58.0,13.0,17.0,25.0,29.0,34.0,46.0,68.0,90.0,129.0,91.2,215,,Philadelphia,41,98.0,high_confidence,True,False
PHELADELPHIA PA,4,56,11.0,3.0,2800.0,430.0,3.0,16.0,17.0,18.0,53.0,75.0,,659.0,945.0,93.6,215,,Philadelphia,44,98.0,high_confidence,False,False
PHELADELPHIA PA,5,56,9.0,,260.0,71.0,1.0,22.0,26.0,34.0,37.0,37.0,53.0,119.0,,93.9,215,,Philadelphia,45,98.0,high_confidence,False,False
PHELADELPHIA PA,6,,11.0,,160.0,65.0,1.0,,22.0,49.0,63.0,75.0,,119.0,129.0,91.1,215,,Philadelphia,46,98.0,high_confidence,False,False
PHELADELPHIA PA,7,56,11.0,,4400.0,466.0,1.0,26.0,31.0,44.0,53.0,83.0,,155.0,267.0,94.9,215,,Philadelphia,47,98.0,high_confidence,False,False
PHELADELPHIA PA,,55,94.0,,370.0,57.0,12.0,16.0,23.0,28.0,32.0,39.0,,86.0,129.0,93.3,215,,Philadelphia,41,93.3,high_confidence,False,False
PHELADELPHIA PA,,56,53.0,,4400.0,227.0,9.0,22.0,33.0,44.0,53.0,75.0,,125.0,267.0,94.2,215,,Philadelphia,41,93.3,high_confidence,False,False
PHELADELPHIA PA,,56,147.0,,4400.0,118.0,12.0,17.0,25.0,31.0,38.0,,74.0,108.0,150.0,93.6,215,,Philadelphia,41,93.3,high_confidence,False,False
ALTOONA PA,1,56,13.0,,110.0,36.0,1.0,20.0,20.0,21.0,29.0,31.0,41.0,44.0,75.0,95.1,215,,Altoona,57,100.0,exact,False,False
BRISTOL PA,1,55 56,8.0,,580.0,84.0,7.0,11.0,12.0,16.0,,53.0,,63.0,223.0,91.3,215,,Bristol,58,100.0,exact,True,False
