Station_Location,Resolved_Name,Station_Order,Years,Total_Samples,Annual_Max,Annual_Avg,Annual_Min,Jan_N,Feb_N,Mar_N,Apr_N,May_N,Jun_N,Jul_N,Aug_N,Sep_N,Oct_N,Nov_N,Dec_N,Jan_Max,Feb_Max,Mar_Max,Apr_Max,May_Max,Jun_Max,Jul_Max,Aug_Max,Sep_Max,Oct_Max,Nov_Max,Dec_Max,Jan_Avg,Feb_Avg,Mar_Avg,Apr_Avg,May_Avg,Jun_Avg,Jul_Avg,Aug_Avg,Sep_Avg,Oct_Avg,Nov_Avg,Dec_Avg,Jan_Min,Feb_Min,Mar_Min,Apr_Min,May_Min,Jun_Min,Jul_Min,Aug_Min,Sep_Min,Oct_Min,Nov_Min,Dec_Min,Avg_Confidence,Match_Score,Match_Type,Page_Num
WATERBURY CONAN,Waterbury,1.0,55 56,36.0,300.0,180.6,,2.0,2.0,4.0,5.0,3.0,3.0,3.0,4.0,1.0,4.0,3.0,2.0,60.0,100.0,200.0,100.0,70.0,70.0,60.0,40.0,70.0,200.0,300.0,200.0,55.0,100.0,112.0,82.0,66.0,46.0,56.0,32.0,70.0,1232.0,166.0,150.0,,,,,,,,,,,,,77.8,96.6,high_confidence,211
MIKI MUM,Miki MUM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.3,0.0,unmatched,211
BOSTON MASS,Boston,6.0,55,222.0,300.0,97.5,2.0,1.0,2.0,4.0,1.0,1.0,2.0,2.0,4.0,200.0,2.0,2.0,1.0,190.0,100.0,200.0,,50.0,60.0,100.0,100.0,,100.0,300.0,100.0,190.0,85.0,,50.0,50.0,40.0,65.0,45.0,200.0,95.0,153.0,100.0,190.0,70.0,60.0,50.0,50.0,20.0,30.0,2.0,200.0,90.0,6.0,100.0,92.7,100.0,exact,211
EVERETT MASS,Everett,8.0,55,29.0,300.0,70.3,4.0,3.0,3.0,3.0,1.0,2.0,3.0,3.0,2.0,2.0,4.0,1.0,2.0,100.0,300.0,200.0,7.0,300.0,70.0,100.0,100.0,30.0,20.0,70.0,300.0,70.0,113.0,120.0,7.0,,46.0,55.0,52.0,20.0,20.0,70.0,200.0,40.0,10.0,60.0,7.0,90.0,30.0,5.0,4.0,10.0,20.0,70.0,100.0,95.0,100.0,exact,211
ELIZABETH WN J,Elizabeth,21.0,55 56,21.0,180.0,51.0,5.0,3.0,2.0,3.0,5.0,1.0,,1.0,2.0,1.0,,1.0,2.0,54.0,67.0,180.0,170.0,17.0,,5.0,38.0,48.0,,76.0,160.0,43.0,42.0,76.0,72.0,17.0,,5.0,24.0,48.0,,76.0,107.0,30.0,17.0,,17.0,17.0,,5.0,10.0,48.0,,76.0,54.0,86.6,96.3,high_confidence,211
PAULSBORO AN J,Paulsboro,22.0,55 56,25.0,234.0,34.6,3.0,2.0,4.0,3.0,5.0,2.0,1.0,4.0,1.0,,2.0,,1.0,42.0,150.0,234.0,78.0,10.0,29.0,21.0,3.0,,32.0,,5.0,37.0,88.0,108.0,36.0,7.0,29.0,9.0,3.0,,24.0,,5.0,33.0,13.0,45.0,3.0,4.0,29.0,4.0,3.0,,17.0,,5.0,63.0,96.3,high_confidence,211
CAMDEN N J,Camden,19.0,55 56,21.0,120.0,27.1,6.0,2.0,3.0,3.0,2.0,,1.0,1.0,2.0,3.0,2.0,,2.0,48.0,120.0,53.0,13.0,,10.0,20.0,18.0,22.0,16.0,,40.0,47.0,74.0,36.0,9.0,,10.0,20.0,14.0,17.0,13.0,,31.0,46.0,35.0,13.0,6.0,,10.0,20.0,,12.0,,,22.0,85.2,100.0,exact,211
PERTH AMBOY NO,Perth Amboy,18.0,55 56,23.0,120.0,22.4,,3.0,1.0,4.0,5.0,,,1.0,2.0,,2.0,3.0,2.0,11.0,8.0,91.0,120.0,,,3.0,13.0,,68.0,45.0,53.0,9.0,8.0,46.0,,,,3.0,10.0,,40.0,25.0,38.0,,,,,,,,,,,,,80.0,89.7,high_confidence,211
WIN,WIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.3,0.0,unmatched,211
TRENTON WN J,Trenton,28.0,55 56,17.0,140.0,29.1,3.0,3.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,3.0,56.0,140.0,50.0,5.0,3.0,12.0,6.0,7.0,,56.0,25.0,98.0,36.0,76.0,50.0,5.0,3.0,12.0,5.0,7.0,,56.0,25.0,45.0,16.0,12.0,50.0,5.0,3.0,,5.0,7.0,,56.0,25.0,12.0,76.0,95.7,high_confidence,211
JERSEY CITY N J,Jersey City,27.0,56,136.0,600.0,109.3,22.0,2.0,3.0,4.0,120.0,,2.0,2.0,2.0,1.0,,,,130.0,230.0,600.0,,,84.0,23.0,110.0,89.0,,130.0,160.0,106.0,150.0,252.0,75.0,,74.0,22.0,76.0,89.0,,130.0,119.0,82.0,110.0,28.0,36.0,,65.0,22.0,42.0,89.0,,130.0,79.0,92.8,100.0,exact,211
NEW YORK W Y,New York,30.0,54 56,69.0,998.0,259.1,2.0,4.0,6.0,5.0,8.0,5.0,10.0,7.0,5.0,6.0,6.0,7.0,,572.0,640.0,590.0,410.0,387.0,300.0,300.0,100.0,290.0,266.0,720.0,998.0,355.0,315.0,363.0,313.0,223.0,148.0,151.0,46.0,116.0,192.0,432.0,455.0,66.0,19.0,2.0,150.0,4.0,18.0,12.0,,16.0,72.0,252.0,110.0,90.7,91.7,high_confidence,211
