Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
NEW YORK N OY,2,,28.0,1.0,59.0,25.0,6.0,11.0,15.0,22.0,27.0,30.0,33.0,36.0,41.0,89.3,176,,New York,31,100.0,exact,False,False
NEW YORK N OY,3,54,,,28.0,10.0,1.0,1.0,4.0,9.0,10.0,10.0,11.0,12.0,12.0,93.6,176,,New York,32,100.0,exact,False,False
NEW YORK N OY,,54 55,36.0,,59.0,21.0,4.0,9.0,11.0,14.0,22.0,28.0,30.0,34.0,39.0,93.9,176,,New York,30,96.0,high_confidence,True,False
PHILADELPHIA PA,,54,10.0,,28.0,12.0,1.0,3.0,7.0,8.0,12.0,12.0,13.0,13.0,27.0,91.9,176,,Philadelphia,41,100.0,exact,False,False
WASHINGTON ODOC,,54 55,25.0,,34.0,15.0,1.0,5.0,9.0,14.0,17.0,18.0,20.0,,27.0,91.5,176,,Washington,61,89.7,high_confidence,True,False
LOUISVILLE KY,,54,9.0,3.0,44.0,25.0,3.0,11.0,15.0,17.0,21.0,21.0,36.0,38.0,46.0,93.2,176,,Louisville,64,100.0,exact,False,False
CHARLESTON W VA,1,54,7.0,,42.0,13.0,1.0,1.0,5.0,5.0,6.0,6.0,,27.0,27.0,92.9,176,,Charleston,77,100.0,exact,False,False
TAMPA FLA,1,54,10.0,1.0,18.0,,1.0,2.0,2.0,3.0,5.0,5.0,,15.0,17.0,94.0,176,,Tampa,84,100.0,exact,False,False
ATLANTA GA,1,54,9.0,,26.0,10.0,1.0,4.0,4.0,8.0,8.0,8.0,,15.0,26.0,95.3,176,,Atlanta,85,100.0,exact,False,False
CHICAGO PLL,,54,37.0,,86.0,32.0,2.0,11.0,19.0,28.0,32.0,37.0,41.0,48.0,58.0,92.4,176,,Chicago,99,90.9,high_confidence,False,False
CHICAGO PLL,,,6.0,5.0,44.0,30.0,5.0,5.0,29.0,29.0,30.0,38.0,38.0,43.0,43.0,94.5,176,,Chicago,99,90.9,high_confidence,False,False
CHICAGO PLL,,54 55,43.0,,86.0,31.0,2.0,15.0,23.0,28.0,32.0,37.0,41.0,45.0,58.0,95.3,176,,Chicago,99,90.9,high_confidence,True,False
DETROIT MICH,1,53 54,29.0,,71.0,27.0,4.0,11.0,14.0,21.0,23.0,26.0,37.0,43.0,,91.7,176,,Detroit,115,100.0,exact,True,False
CINCINNATI OHIO,1,54 55,73.0,3.0,,15.0,5.0,8.0,10.0,12.0,14.0,16.0,18.0,22.0,28.0,93.4,176,,Cincinnati,126,93.3,high_confidence,True,False
CINCINNATI OHIO,2,54,19.0,7.0,53.0,23.0,,13.0,16.0,19.0,22.0,23.0,24.0,27.0,41.0,93.9,176,,Cincinnati,127,93.3,high_confidence,False,False
CINCINNATI OHIO,4,54,16.0,3.0,36.0,16.0,5.0,6.0,11.0,14.0,,17.0,21.0,23.0,23.0,94.9,176,,Cincinnati,129,93.3,high_confidence,False,False
CINCINNATI OHIO,5,54,27.0,3.0,69.0,28.0,9.0,10.0,14.0,17.0,21.0,29.0,34.0,48.0,61.0,94.7,176,,Cincinnati,126,88.9,high_confidence,False,False
CINCINNATI OHIO,,54 55,135.0,3.0,69.0,19.0,6.0,9.0,12.0,14.0,16.0,18.0,22.0,26.0,36.0,95.5,176,,Cincinnati,126,88.9,high_confidence,True,False
MINNEAPQLIS MINA,1,54,14.0,4.0,20.0,,4.0,5.0,6.0,9.0,11.0,12.0,15.0,16.0,19.0,91.1,176,,Minneapolis,147,87.5,high_confidence,False,False
KANSAS CITY MO,,54,6.0,2.0,,,2.0,2.0,3.0,3.0,4.0,4.0,,,6.0,95.5,176,,Kansas City,150,100.0,exact,False,False
NEW ORLEANS LA,,54,4.0,6.0,22.0,14.0,,6.0,6.0,9.0,9.0,9.0,19.0,19.0,24.0,95.5,176,,New Orleans,162,100.0,exact,False,False
FT WORTH TEXAS,1,54,6.0,5.0,59.0,20.0,5.0,5.0,7.0,7.0,9.0,11.0,,30.0,30.0,91.7,176,,Ft. Worth,174,85.7,high_confidence,False,False
LAKEWORTH TEXAS,1,54,5.0,,33.0,17.0,1.0,1.0,9.0,9.0,13.0,13.0,32.0,32.0,34.0,94.9,176,,Lakeworth Village,175,72.2,low_confidence,False,False
HOUSTON TEXAS,1,54,16.0,,48.0,10.0,,,1.0,1.0,6.0,10.0,11.0,19.0,24.0,94.9,176,,Houston,177,96.2,high_confidence,False,False
SALT LAKE CITY UTAH,2,54,5.0,14.0,42.0,22.0,14.0,14.0,15.0,15.0,17.0,17.0,24.0,24.0,43.0,95.0,176,,Salt Lake City,185,100.0,exact,False,False
ANCHORAGE ALASKA,1,54 55,24.0,,400.0,28.0,,1.0,4.0,7.0,9.0,11.0,,19.0,34.0,91.9,176,,Anchorage,187,100.0,exact,True,False
LOS ANGELES CALIF,,54,,1.0,40.0,15.0,2.0,4.0,7.0,9.0,11.0,15.0,23.0,27.0,30.0,93.8,176,,Los Angeles,195,100.0,exact,False,False
PASADENA CALIF,1,54 55,24.0,,52.0,22.0,2.0,,14.0,20.0,22.0,24.0,30.0,32.0,38.0,94.1,176,,Pasadena,199,100.0,exact,True,False
BERKELEY CALIF,1,54 55,35.0,1.0,,12.0,5.0,7.0,8.0,10.0,12.0,13.0,15.0,16.0,26.0,94.2,176,,Berkeley,191,100.0,exact,True,False
SAN JOSE CALIF,1,54 55,34.0,,25.0,13.0,1.0,7.0,10.0,14.0,16.0,17.0,18.0,19.0,20.0,94.9,176,,San Jose,206,100.0,exact,True,False
PORTLAND OREGON,1,54,19.0,,32.0,12.0,1.0,2.0,8.0,10.0,10.0,11.0,13.0,17.0,27.0,93.8,176,,Portland,212,93.3,high_confidence,False,False
PORTLAND OREGON,2,54,15.0,,29.0,16.0,1.0,1.0,16.0,17.0,19.0,21.0,24.0,26.0,29.0,95.1,176,,Portland,213,93.3,high_confidence,False,False
PORTLAND OREGON,4,54,10.0,,36.0,21.0,12.0,13.0,15.0,17.0,18.0,19.0,26.0,27.0,34.0,95.1,176,,Portland,215,93.3,high_confidence,False,False
PORTLAND OREGON,5,54,10.0,10.0,23.0,15.0,10.0,11.0,12.0,13.0,15.0,16.0,17.0,19.0,23.0,94.3,176,,Portland,216,93.3,high_confidence,False,False
PORTLAND OREGON,,54,54.0,,36.0,15.0,1.0,9.0,11.0,13.0,15.0,17.0,21.0,25.0,29.0,93.3,176,,Portland,212,88.9,high_confidence,False,False
