Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
LE,,,,,,,,,,,28.0,35.0,,,69.3,55,,LE,,0.0,unmatched,False,False
ONNECTICUT TOTAL,55 57,70.0,1.0,490.0,46.0,3.0,11.0,15.0,15.0,19.0,,,,,87.4,55,,ONNECTICUT TOTAL,,0.0,unmatched,True,False
MAINE TOTAL,57,14.0,6.0,38.0,18.0,6.0,10.0,11.0,12.0,14.0,15.0,23.0,26.0,38.0,94.1,55,state_total,MAINE TOTAL,,,state_aggregate,False,False
MASSACHUSETS TOT AL,55 57,134.0,,588.0,33.0,2.0,6.0,8.0,10.0,13.0,16.0,24.0,36.0,,93.1,55,,MASSACHUSETS TOT AL,,0.0,unmatched,True,False
NEW HAMPSHRE TOT AL,57,,6.0,140.0,41.0,6.0,8.0,9.0,,20.0,26.0,42.0,69.0,,94.7,55,,NEW HAMPSHRE TOT AL,,0.0,unmatched,False,False
RHODE ISLAND TOT AL,55 57,32.0,1.0,64.0,15.0,2.0,3.0,4.0,6.0,12.0,13.0,14.0,26.0,42.0,90.4,55,,Oatland Island,239.0,61.1,low_confidence,True,False
VERMONT TOTAL,,16.0,5.0,188.0,28.0,7.0,10.0,10.0,11.0,14.0,18.0,23.0,26.0,42.0,90.9,55,state_total,VERMONT TOTAL,,,state_aggregate,False,False
DELAWARE TOTAL,57,20.0,8.0,526.0,60.0,11.0,14.0,23.0,27.0,30.0,33.0,45.0,,88.0,91.8,55,state_total,DELAWARE TOTAL,,,state_aggregate,False,False
NEW JERSEY TOTAL,55,66.0,1.0,740.0,60.0,,14.0,17.0,20.0,25.0,31.0,40.0,52.0,69.0,92.9,55,state_total,NEW JERSEY TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,53 57,178.0,,268.0,20.0,1.0,3.0,6.0,8.0,,14.0,,32.0,56.0,90.6,55,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOT AL,53 57,347.0,,930.0,29.0,1.0,3.0,5.0,8.0,11.0,14.0,18.0,24.0,41.0,93.1,55,,PENNSYLVANIA TOT AL,,0.0,unmatched,True,False
018 COLUMBIA TOT AL,53 57,145.0,,163.0,16.0,1.0,3.0,5.0,7.0,10.0,14.0,19.0,25.0,36.0,92.6,55,,Columbia,90.0,74.1,low_confidence,True,False
KENTUCKY TOTAL,54 57,74.0,1.0,728.0,29.0,2.0,4.0,5.0,6.0,8.0,10.0,14.0,20.0,50.0,93.6,55,state_total,KENTUCKY TOTAL,,,state_aggregate,True,False
MARYLAND TOTAL,57,23.0,4.0,148.0,31.0,11.0,14.0,16.0,17.0,19.0,23.0,30.0,42.0,64.0,93.6,55,state_total,MARYLAND TOTAL,,,state_aggregate,False,False
NO CAROLINA TOTA,57,34.0,6.0,234.0,35.0,10.0,13.0,14.0,18.0,20.0,25.0,30.0,42.0,96.0,92.6,55,,NO CAROLINA TOTA,,0.0,unmatched,False,False
PUERTO TOTA,,14.0,5.0,58.0,20.0,5.0,6.0,7.0,9.0,12.0,20.0,26.0,30.0,54.0,89.9,55,,PUERTO TOTA,,0.0,unmatched,False,False
VIRGINIA TOTAL,57,33.0,3.0,243.0,44.0,7.0,16.0,18.0,19.0,26.0,30.0,42.0,,13.0,91.2,55,state_total,VIRGINIA TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOT AL,53 57,83.0,,826.0,29.0,1.0,3.0,5.0,8.0,11.0,15.0,19.0,26.0,38.0,94.6,55,,WEST VIRGINA TOT AL,,0.0,unmatched,True,False
ALABAMA TOTAL,57,14.0,6.0,234.0,56.0,6.0,14.0,15.0,26.0,42.0,48.0,59.0,64.0,86.0,90.9,55,state_total,ALABAMA TOTAL,,,state_aggregate,False,False
FLORIDA TOTAL,53 57,162.0,,658.0,28.0,1.0,2.0,3.0,6.0,9.0,12.0,18.0,25.0,48.0,93.4,55,state_total,FLORIDA TOTAL,,,state_aggregate,True,False
GEORGIA TOTAL,53 57,116.0,,533.0,34.0,1.0,4.0,6.0,8.0,,23.0,30.0,47.0,93.0,93.9,55,state_total,GEORGIA TOTAL,,,state_aggregate,True,False
MISSISSIPPI TOTAL,57,16.0,8.0,562.0,116.0,,12.0,16.0,17.0,,54.0,69.0,113.0,446.0,88.2,55,state_total,MISSISSIPPI TOTAL,,,state_aggregate,False,False
CAROLINA TOTA,57,37.0,2.0,685.0,78.0,11.0,17.0,23.0,30.0,39.0,54.0,64.0,79.0,,93.2,55,,Akron,130.0,60.0,low_confidence,False,False
TENNESSEE TOTAL,55 57,100.0,,717.0,72.0,2.0,,7.0,11.0,16.0,23.0,3141.0,,96.0,89.3,55,state_total,TENNESSEE TOTAL,,,state_aggregate,True,False
PLLINOIS TOTAL,54 57,209.0,,,24.0,1.0,5.0,,6.0,8.0,,16.0,23.0,33.0,84.1,55,,PLLINOIS TOTAL,,0.0,unmatched,True,False
TOTAL,55,124.0,3.0,486.0,45.0,7.0,14.0,17.0,20.0,24.0,30.0,39.0,55.0,67.0,93.7,55,,TOTAL,,,state_aggregate,False,False
MICHIGAN TOTAL,53 57,132.0,,706.0,27.0,1.0,1.0,2.0,6.0,10.0,14.0,,29.0,46.0,90.2,55,state_total,MICHIGAN TOTAL,,,state_aggregate,True,False
OHIO TOTAL,53 57,493.0,,1179.0,23.0,1.0,,2.0,4.0,7.0,11.0,17.0,23.0,37.0,91.9,55,state_total,OHIO TOTAL,,,state_aggregate,True,False
WISCONSIN FOTAL,57,33.0,3.0,493.0,55.0,6.0,11.0,14.0,18.0,23.0,28.0,33.0,42.0,145.0,93.1,55,,WISCONSIN FOTAL,,0.0,unmatched,False,False
1OWAA TOTAL,57,16.0,3.0,705.0,95.0,14.0,16.0,18.0,20.0,26.0,33.0,42.0,88.0,145.0,87.9,55,,1OWAA TOTAL,,0.0,unmatched,False,False
KANSAS TOTAL,55 57,28.0,5.0,3240.0,168.0,7.0,11.0,15.0,19.0,26.0,42.0,64.0,79.0,145.0,93.2,55,state_total,KANSAS TOTAL,,,state_aggregate,True,False
MINNESOTA TOTAL,53 57,196.0,,468.0,19.0,1.0,2.0,4.0,6.0,10.0,11.0,15.0,19.0,38.0,95.1,55,state_total,MINNESOTA TOTAL,,,state_aggregate,True,False
MISSOURI TOTAL,57,144.0,,1201.0,41.0,1.0,3.0,4.0,9.0,12.0,16.0,25.0,35.0,,92.0,55,state_total,MISSOURI TOTAL,,,state_aggregate,False,False
NEBRASKA TOTAL,57,34.0,2.0,278.0,50.0,6.0,10.0,12.0,19.0,24.0,32.0,42.0,69.0,145.0,93.3,55,state_total,NEBRASKA TOTAL,,,state_aggregate,False,False
NORTH DAKOTA TOTAL,57,16.0,7.0,331.0,64.0,14.0,15.0,18.0,20.0,38.0,42.0,59.0,69.0,88.0,94.4,55,state_total,NORTH DAKOTA TOTAL,,,state_aggregate,False,False
SOUTH DAKOTA TOTAL,57,7.0,10.0,,726.0,12.0,13.0,14.0,15.0,20.0,30.0,88.0,105.0,113.0,92.1,55,state_total,SOUTH DAKOTA TOTAL,,,state_aggregate,False,False
ARKANSAS TOTAL,57,17.0,10.0,713.0,75.0,,11.0,14.0,18.0,33.0,36.0,42.0,69.0,88.0,92.5,55,state_total,ARKANSAS TOTAL,,,state_aggregate,False,False
LOUISIANA TOTAL,54 57,156.0,,1427.0,37.0,2.0,4.0,6.0,8.0,,19.0,26.0,40.0,66.0,91.6,55,state_total,LOUISIANA TOTAL,,,state_aggregate,True,False
NEW MEXICO TOTAL,57,15.0,3.0,,119.0,14.0,15.0,18.0,20.0,33.0,79.0,113.0,166.0,572.0,88.9,55,state_total,NEW MEXICO TOTAL,,,state_aggregate,False,False
OKLAHOMA TOTAL,57,14.0,,535.0,81.0,10.0,11.0,11.0,20.0,33.0,38.0,88.0,113.0,145.0,92.7,55,state_total,OKLAHOMA TOTAL,,,state_aggregate,False,False
TEXAS TOTAL,53 57,435.0,,1931.0,48.0,1.0,3.0,5.0,8.0,12.0,16.0,23.0,33.0,62.0,93.0,55,state_total,TEXAS TOTAL,,,state_aggregate,True,False
COLORADO TOTAL,54 57,103.0,1.0,1592.0,70.0,2.0,5.0,9.0,13.0,17.0,22.0,31.0,49.0,129.0,95.1,55,state_total,COLORADO TOTAL,,,state_aggregate,True,False
1DAHO TOTAL,57,7.0,6.0,1423.0,152.0,7.0,14.0,18.0,26.0,33.0,38.0,88.0,134.0,145.0,92.4,55,,1DAHO TOTAL,,0.0,unmatched,False,False
MONTANA TOTAL,57,18.0,7.0,241.0,42.0,8.0,11.0,,20.0,27.0,30.0,33.0,42.0,,88.7,55,state_total,MONTANA TOTAL,,,state_aggregate,False,False
UTAH TOTAL,53 57,76.0,,4350.0,827.0,3.0,5.0,7.0,12.0,18.0,29.0,40.0,54.0,85.0,93.1,55,state_total,UTAH TOTAL,,,state_aggregate,True,False
WYOMING TOTAL,,23.0,2.0,2337.0,300.0,2.0,15.0,24.0,33.0,50.0,69.0,88.0,305.0,353.0,92.4,55,state_total,WYOMING TOTAL,,,state_aggregate,False,False
ALASKA TOTAL,53 57,104.0,,110.0,7.0,,1.0,1.0,2.0,2.0,4.0,6.0,10.0,15.0,92.8,55,state_total,ALASKA TOTAL,,,state_aggregate,True,False
ARIZONA TOTAL,57,16.0,15.0,7319.0,670.0,20.0,26.0,30.0,38.0,48.0,62.0,88.0,129.0,305.0,93.9,55,state_total,ARIZONA TOTAL,,,state_aggregate,False,False
CALIFORNIA TOTAL,53 57,398.0,,3500.0,25.0,1.0,2.0,3.0,6.0,9.0,13.0,19.0,27.0,42.0,93.8,55,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
HAWAT I TOTAL,56 57,49.0,2.0,,18.0,4.0,5.0,6.0,8.0,14.0,18.0,24.0,31.0,42.0,93.8,55,,HAWAT I TOTAL,,0.0,unmatched,True,False
NEVADA TOTAL,,18.0,15.0,3800.0,436.0,,26.0,28.0,33.0,39.0,54.0,113.0,305.0,642.0,94.7,55,state_total,NEVADA TOTAL,,,state_aggregate,False,False
OREGON TOTAL,53,175.0,,186.0,13.0,,1.0,1.0,2.0,,8.0,11.0,16.0,35.0,93.5,55,state_total,OREGON TOTAL,,,state_aggregate,False,False
WASHINGTON TOTAL,57,24.0,2.0,79.0,14.0,2.0,3.0,4.0,8.0,9.0,12.0,16.0,19.0,30.0,94.5,55,state_total,WASHINGTON TOTAL,,,state_aggregate,False,False
NEW ENGLND TOTA,,279.0,,588.0,33.0,3.0,7.0,10.0,12.0,,18.0,,,69.0,90.2,56,,NEW ENGLND TOTA,,0.0,unmatched,False,False
MIO ATUNTC TOT AL,57,,,930.0,31.0,1.0,4.0,7.0,9.0,12.0,16.0,,30.0,53.0,91.9,56,,MIO ATUNTC TOT AL,,0.0,unmatched,False,False
MID EAST TOTAL,53 57,406.0,,826.0,26.0,2.0,4.0,6.0,9.0,13.0,17.0,22.0,30.0,48.0,91.1,56,region_total,MID EAST TOTAL,,,skip,True,False
SQUTH EAST TOT AL,53,445.0,,2717.0,45.0,1.0,3.0,6.0,9.0,13.0,19.0,26.0,43.0,,93.1,56,,SQUTH EAST TOT AL,,0.0,unmatched,False,False
MID WEST TOTAL,53,991.0,,1179.0,27.0,1.0,,4.0,,10.0,15.0,20.0,28.0,47.0,90.6,56,region_total,MID WEST TOTAL,,,skip,False,False
