Station_Location,Site,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
WATERBURY CONN,1,55,10.0,38.0,262.0,138.0,38.0,44.0,51.0,120.0,159.0,171.0,183.0,197.0,211.0,90.3,31,,Waterbury,1.0,100.0,exact,False,False
WATERBURY CONN,1,56,45.0,,281.0,113.0,43.0,,71.0,84.0,104.0,123.0,138.0,155.0,,91.2,31,,Waterbury,1.0,100.0,exact,False,False
WATERBURY CONN,1,55 56,55.0,12.0,281.0,118.0,45.0,54.0,71.0,87.0,112.0,129.0,149.0,175.0,211.0,92.3,31,,Waterbury,1.0,100.0,exact,True,False
HARTFORD CONN,1,57,26.0,26.0,440.0,108.0,48.0,53.0,59.0,65.0,84.0,107.0,,120.0,,88.5,31,,Hartford,2.0,100.0,exact,False,False
NEW HAVEN CONN,1,57,23.0,27.0,,89.0,38.0,,55.0,59.0,78.0,90.0,,138.0,171.0,90.6,31,,New Haven,3.0,100.0,exact,False,False
STAMFORD CONN,1,57,26.0,17.0,217.0,79.0,44.0,49.0,55.0,59.0,66.0,75.0,90.0,104.0,129.0,93.7,31,,Stamford,4.0,100.0,exact,False,False
PORTLAND MAINE,1,57,13.0,15.0,290.0,98.0,29.0,51.0,55.0,68.0,82.0,90.0,138.0,149.0,171.0,89.2,31,,Portland,5.0,88.0,high_confidence,False,False
BOSTON MASS,1,55,26.0,61.0,179.0,122.0,84.0,94.0,104.0,109.0,115.0,125.0,134.0,159.0,169.0,94.1,31,,Boston,6.0,100.0,exact,False,False
BOSTON MASS,1,56,46.0,35.0,615.0,137.0,68.0,74.0,86.0,109.0,117.0,131.0,152.0,178.0,222.0,95.0,31,,Boston,6.0,100.0,exact,False,False
BOSTON MASS,1,57,26.0,44.0,182.0,99.0,53.0,57.0,65.0,73.0,90.0,104.0,126.0,145.0,,93.8,31,,Boston,6.0,100.0,exact,False,False
BOSTON MASS,,57,98.0,35.0,615.0,123.0,61.0,73.0,,104.0,113.0,123.0,138.0,161.0,179.0,90.3,31,,Boston,6.0,100.0,exact,False,False
PITTSFIELD MASS,,,7.0,20.0,117.0,63.0,22.0,22.0,38.0,64.0,68.0,68.0,73.0,78.0,78.0,92.2,31,,Pittsfield,7.0,100.0,exact,False,False
PITTSFIELD MASS,,56,18.0,10.0,50.0,30.0,11.0,,22.0,29.0,31.0,33.0,40.0,42.0,44.0,92.8,31,,Pittsfield,7.0,100.0,exact,False,False
PITTSFIELD MASS,,55 56,25.0,10.0,117.0,39.0,17.0,21.0,29.0,31.0,38.0,40.0,44.0,,73.0,90.3,31,,Pittsfield,7.0,100.0,exact,True,False
EVERETT MASS,1,55,26.0,24.0,318.0,103.0,44.0,51.0,64.0,68.0,,97.0,120.0,149.0,,93.3,31,,Everett,8.0,100.0,exact,False,False
EVERETT MASS,1,56,43.0,36.0,291.0,101.0,48.0,60.0,64.0,68.0,,95.0,104.0,129.0,197.0,93.2,31,,Everett,8.0,100.0,exact,False,False
EVERETT MASS,1,55 56,69.0,24.0,318.0,102.0,46.0,,64.0,70.0,83.0,94.0,109.0,135.0,197.0,93.5,31,,Everett,8.0,100.0,exact,True,False
LAWRENCE MASS,1,57,26.0,17.0,123.0,47.0,18.0,21.0,27.0,29.0,36.0,42.0,62.0,73.0,,92.1,31,,Lawrence,9.0,100.0,exact,False,False
LYNN MASS,1,57,,21.0,333.0,101.0,33.0,51.0,59.0,68.0,76.0,84.0,120.0,138.0,,90.9,31,,Lynn,10.0,100.0,exact,False,False
SOMERVILLE MASS,1,57,26.0,17.0,120.0,57.0,31.0,38.0,46.0,49.0,55.0,61.0,66.0,73.0,78.0,92.5,31,,Somerville,11.0,100.0,exact,False,False
WORCESTER MASS,1,57,,20.0,137.0,69.0,25.0,38.0,,61.0,68.0,78.0,,90.0,112.0,93.8,31,,Worcester,12.0,100.0,exact,False,False
MANCHESTER N H,,57,17.0,16.0,107.0,52.0,25.0,30.0,33.0,38.0,44.0,,59.0,78.0,97.0,91.7,31,,Manchester,13.0,100.0,exact,False,False
PROVIDENCE R,1,57,27.0,33.0,700.0,111.0,,,65.0,75.0,86.0,97.0,110.0,120.0,159.0,91.9,31,,Providence,14.0,96.9,high_confidence,False,False
BURLINGTON VT,1,57,26.0,8.0,45.0,24.0,14.0,16.0,22.0,23.0,24.0,25.0,30.0,32.0,35.0,88.9,31,,Burlington,16.0,100.0,exact,False,False
WILMINGTON OEL,1,57,,38.0,410.0,125.0,55.0,65.0,80.0,88.0,97.0,109.0,129.0,159.0,232.0,88.1,31,,Wilmington,17.0,92.9,high_confidence,False,False
N J,1,55,19.0,27.0,284.0,,29.0,65.0,78.0,90.0,115.0,120.0,129.0,138.0,262.0,94.6,31,,N J,,0.0,unmatched,False,False
N J,1,56,14.0,35.0,128.0,69.0,38.0,46.0,48.0,,64.0,68.0,84.0,90.0,120.0,94.2,31,,N J,,0.0,unmatched,False,False
