Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
CONNECTICUT TOTAL,,36.0,,7.0,1.0,,,1.0,,1.0,4.0,,3.0,5.0,94.1,162,state_total,CONNECTICUT TOTAL,,,state_aggregate,False,False
MASSACHUSETTS TOTAL,55,49.0,,8.0,1.0,,,,,,1.0,1.0,2.0,4.0,95.0,162,state_total,MASSACHUSETTS TOTAL,,,state_aggregate,False,False
MASSACHUSETTS TOTAL,,,,,,,,,4.0,,,,14.0,17.0,87.2,162,,MASSACHUSETTS TOTAL,,,state_aggregate,False,False
NEW YORK TOTAL,54 56,73.0,,31.0,6.0,,,1.0,,,5.0,9.0,,,91.0,162,state_total,NEW YORK TOTAL,,,state_aggregate,True,False
PENNSYLVANIA TOTAL,54 56,271.0,,386.0,5.0,,,1.0,1.0,1.0,2.0,3.0,5.0,9.0,92.1,162,state_total,PENNSYLVANIA TOTAL,,,state_aggregate,True,False
D.C. TOTAL,54 56,43.0,,16.0,5.0,,1.0,2.0,3.0,4.0,5.0,6.0,8.0,13.0,94.8,162,state_total,D.C. TOTAL,,0.0,unmatched,True,False
KENTUCKY TOTAL,54 55,71.0,,21.0,5.0,1.0,2.0,2.0,,4.0,5.0,5.0,8.0,10.0,94.0,162,state_total,KENTUCKY TOTAL,,,state_aggregate,True,False
MARYLAND TOTAL,57,18.0,4.0,33.0,9.0,4.0,5.0,5.0,,6.0,8.0,9.0,11.0,16.0,95.1,162,state_total,MARYLAND TOTAL,,,state_aggregate,False,False
WEST VIRGINA TOTAL,54 55,26.0,,120.0,32.0,1.0,1.0,6.0,,17.0,29.0,43.0,69.0,88.0,95.2,162,,WEST VIRGINA TOTAL,,0.0,unmatched,True,False
FLORIDA TOTAL,54 55,34.0,,16.0,1.0,,,,1.0,1.0,1.0,2.0,2.0,,90.2,162,state_total,FLORIDA TOTAL,,,state_aggregate,True,False
GEORGIA TOTAL,54 56,25.0,,30.0,9.0,1.0,2.0,3.0,4.0,7.0,8.0,14.0,15.0,24.0,93.6,162,state_total,GEORGIA TOTAL,,,state_aggregate,True,False
TENNESSEE TOTAL,55 56,32.0,,300.0,32.0,1.0,1.0,3.0,8.0,11.0,,21.0,58.0,78.0,90.4,162,state_total,TENNESSEE TOTAL,,,state_aggregate,True,False
ILLINOIS TOTAL,54 56,147.0,,60.0,13.0,1.0,3.0,5.0,6.0,8.0,10.0,19.0,25.0,30.0,94.0,162,state_total,ILLINOIS TOTAL,,,state_aggregate,True,False
TNOIANA TOTAL,55 56,85.0,,120.0,16.0,2.0,4.0,7.0,8.0,10.0,15.0,20.0,23.0,36.0,87.6,162,,TNOIANA TOTAL,,0.0,unmatched,True,False
MICHITGAN TOTAL,53 54,36.0,,264.0,60.0,6.0,11.0,,30.0,41.0,47.0,,85.0,125.0,90.6,162,,MICHITGAN TOTAL,,0.0,unmatched,True,False
OHIO TOTAL,54 57,170.0,,929.0,28.0,3.0,5.0,7.0,10.0,14.0,19.0,25.0,33.0,53.0,94.2,162,state_total,OHIO TOTAL,,,state_aggregate,True,False
WIESCONSTN TOTAL,57,,,25.0,5.0,1.0,2.0,3.0,3.0,4.0,4.0,5.0,6.0,7.0,91.1,162,,Winston-Salem,72.0,62.1,low_confidence,False,False
