Station_Location,Years,Num_Samples,Min,Max,Avg,P10,P20,P30,P40,P50,P60,P70,P80,P90,Avg_Confidence,Page_Num,Aggregate_Type,Resolved_Name,Station_Order,Match_Score,Match_Type,Is_Year_Aggregate,Is_Site_Aggregate
MINNESOTA TOTAL,54 55,33.0,1.0,24.0,5.0,2.0,2.0,3.0,3.0,5.0,6.0,6.0,,10.0,94.7,162,state_total,MINNESOTA TOTAL,,,state_aggregate,True,False
MISSOURI TOTAL,54 56,61.0,,41.0,5.0,,1.0,2.0,2.0,3.0,4.0,5.0,6.0,10.0,94.1,162,state_total,MISSOURI TOTAL,,,state_aggregate,True,False
LOUISIANA TOTAL,54 55,50.0,,10.0,1.0,,,1.0,1.0,1.0,4.0,,3.0,4.0,93.1,162,state_total,LOUISIANA TOTAL,,,state_aggregate,True,False
TEXAS TOTAL,54 55,149.0,,283.0,10.0,,1.0,1.0,2.0,2.0,3.0,4.0,13.0,24.0,94.5,162,state_total,TEXAS TOTAL,,,state_aggregate,True,False
COLORADO TOTAL,54 55,26.0,,20.0,4.0,1.0,,2.0,3.0,4.0,4.0,5.0,8.0,9.0,92.8,162,state_total,COLORADO TOTAL,,,state_aggregate,True,False
UTAH TOTAL,54 55,31.0,,8.0,3.0,1.0,1.0,2.0,2.0,3.0,3.0,4.0,5.0,6.0,93.7,162,state_total,UTAH TOTAL,,,state_aggregate,True,False
ALASKA TOTAL,54 55,37.0,,374.0,23.0,,1.0,1.0,3.0,12.0,15.0,18.0,24.0,34.0,95.5,162,state_total,ALASKA TOTAL,,,state_aggregate,True,False
CALIFORNIA TOTAL,54 56,216.0,,186.0,,,1.0,1.0,1.0,2.0,5.0,9.0,12.0,15.0,95.2,162,state_total,CALIFORNIA TOTAL,,,state_aggregate,True,False
OREGON TOTAL,54 55,,,90.0,28.0,6.0,10.0,14.0,20.0,23.0,29.0,39.0,45.0,57.0,92.7,162,state_total,OREGON TOTAL,,,state_aggregate,True,False
WASHINGTON TOTAL,57,20.0,2.0,24.0,7.0,2.0,3.0,4.0,4.0,5.0,6.0,7.0,12.0,17.0,95.1,162,state_total,WASHINGTON TOTAL,,,state_aggregate,False,False
NEW ENGLAND TOTAL,56,85.0,,8.0,1.0,,,,1.0,1.0,1.0,1.0,2.0,5.0,89.2,162,region_total,NEW ENGLAND TOTAL,,,skip,False,False
MID ATLNTC TOTAL,54 56,474.0,,386.0,4.0,,,1.0,1.0,1.0,1.0,,5.0,10.0,94.9,162,,MID ATLNTC TOTAL,,0.0,unmatched,True,False
MID EAST TOTAL,54 57,158.0,,120.0,10.0,1.0,2.0,2.0,4.0,,6.0,,11.0,17.0,94.0,162,region_total,MID EAST TOTAL,,,skip,True,False
SOUTH EAST TOTAL,54 56,91.0,,300.0,14.0,,1.0,1.0,2.0,3.0,,1.0,19.0,30.0,90.5,162,region_total,SOUTH EAST TOTAL,,,skip,True,False
MID WEST TOTAL,53 57,457.0,,929.0,22.0,2.0,4.0,6.0,8.0,10.0,16.0,,29.0,45.0,91.2,162,region_total,MID WEST TOTAL,,,skip,True,False
GREAT PLAINS TOTAL,54 56,94.0,,41.0,,1.0,1.0,2.0,3.0,3.0,,,7.0,10.0,93.2,162,region_total,GREAT PLAINS TOTAL,,,skip,True,False
GULF SOUTH TOTAL,54 55,199.0,,283.0,8.0,,1.0,1.0,,2.0,,4.0,8.0,19.0,93.0,162,region_total,GULF SOUTH TOTAL,,,skip,True,False
ROCKY MNTN TOTAL,54 55,57.0,,20.0,4.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,5.0,7.0,90.9,162,,ROCKY MNTN TOTAL,,0.0,unmatched,True,False
PACIFIC COAST TOTAL,54 57,347.0,,374.0,13.0,,1.0,1.0,3.0,6.0,10.0,,20.0,33.0,95.2,162,region_total,PACIFIC COAST TOTAL,,,skip,True,False
PACIFIC COAST TOTAL,53 57,1962.0,,929.0,,,1.0,1.0,2.0,4.0,,,15.0,27.0,92.9,162,,PACIFIC COAST TOTAL,,,skip,True,False
RA ME,,,,,,,,,,,,,,,39.5,162,,Portland,5.0,62.5,low_confidence,False,False
