Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
NEW JERSEY TOTAL,,,,,,,1,1,3,3,4,4,7,11,,,95.3,185
NEW YORK TOTAL,54 55,34,,43,6,,,1,1,2,4,6,9,18,,,95.1,185
PENNSYLVANIA TOTAL,54,10,,49,,,1,1,1,4,5,8,20,33,,,95.1,185
dIS COLUMBIA TOTAL,54 55,2g,,61,12,3,4,5,,10,11,,16,20,,,87.9,185
KENTUCKY TOTAL,54,5,,,,,,,,1,,1,,1,,,94.1,185
WEST VIERGINA TOTAL,54,6,,36,13,1,1,1,1,5,6,,33,33,,,91.4,185
FLORIDA TOTAL,54,7,,11,6,1,1,3,,7,7,8,10,10,,,91.7,185
GEORGIA TOTAL,54,5,,14,6,3,3,3,3,4,4,7,7,14,,,94.3,185
TOTAL,54 55,41,,13,3,,,1,1,2,4,6,,10,,,94.7,185
MICHIGAN TOTAL,93 54,33,,57,25,3,,13,18,28,29,32,37,44,,,93.2,185
OHIO TOTAL,54 55,116,,34,5,,,1,1,1,5,9,12,16,,,93.6,185
MINNESOTA TOTAL,54,15,,18,4,,,1,1,1,2,,,16,,,95.0,185
MISSOURI TOTAL,,11,,50,18,1,1,2,3,21,22,24,27,48,,,93.9,185
LOUISIANA TOTAL,54,4,,,,,,,1,1,1,1,,1,,,92.9,185
TEXAS TOTAL,54,29,,59,19,1,2,5,9,11,27,30,32,45,,,90.0,185
COLORADO TOTAL,54,3,,,2,,1,1,,3,3,3,,4,,,95.8,185
UTAH TOTAL,54,5,,22,4,,,1,,1,1,1,1,22,,,92.1,185
ALASKA TOTAL,54 55,25,,64,23,1,1,7,20,23,25,33,39,50,,,94.6,185
CALIFORNIA TOTAL,54 55,112,,108,7,,,1,1,1,3,4,,20,,,93.5,185
OREGON TOTAL,54,54,,20,2,,,,1,1,1,3,,8,,,94.9,185
M10 ATLNTC TOT AL,54 55,54,,49,7,,,1,1,3,4,6,10,20,,,92.0,185
MID EAST TOTAL,54 55,40,,61,10,1,1,4,5,6,10,12,16,27,,,94.3,185
SQUTH EAST TOT AL,54,12,,14,6,1,2,3,4,5,7,7,10,11,,,92.4,185
MIO WEST TOTAL,53 35,190,,57,8,,,1,1,3,6,11,14,27,,,93.3,185
GRT PLAINS TOT AL,54,26,,50,10,,1,1,1,3,6,13,21,24,,,93.1,185
GULF SOUTH TOT AL,54,33,,59,17,,1,2,,10,22,29,32,45,,,94.8,185
ROCKY MNTN TOT AL,54,,,22,3,,,,1,1,1,3,3,4,,,94.4,185
PAC COAST TOTA,54 55,191,,108,8,,,1,1,1,3,,15,25,,,94.3,185
GRAND TOTAL,53 55,554,,108,8,,,1,1,3,5,,15,28,,,94.4,185
