Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
NEW JERSEY TOTAL,,,,,,1,19,20,,,,,,,,,88.5,78
NEW YORK TOTAL,54 55,21,,160,57,12,24,34,43,54,61,74,88,99,,,94.5,78
oO1s COLUMBIA TOTAL,54,19,,110,45,11,23,30,36,41,43,54,65,78,,,90.6,78
ILLI NOIS TOTAL,54 55,31,,392,123,1,34,58,78,97,141,155,179,335,,,88.8,78
OHIO TOTAL,54 55,40,,,35,,1,10,19,26,29,33,43,105,,,93.9,78
TEXAS TOTAL,54,,,43,17,,,1,1,15,15,34,38,38,,,95.7,78
ALASKA TOTAL,54 55,12,,28,,,,1,1,,,,15,21,,,93.0,78
CALIFORNIA TOTAL,54 55,74,,140,33,,1,8,12,20,30,38,69,87,,,95.6,78
OREGON TOTAL,54,40,,406,93,7,24,39,43,72,94,i111,159,190,,,92.5,78
Mio ATLNTC TOTAL,54 55,31,,160,,12,20,27,38,52,57,61,7S,94,,,88.8,78
MID EAST TOTAL,54 55,19,,110,45,il,23,30,36,41,43,54,65,78,,,91.6,78
MID WEST TOTAL,54 55,71,,392,74,1,8,,28,38,61,95,125,179,,,94.3,78
GULF SOUTH TOTAL,54,,,43,17,,,1,1,15,15,34,38,38,,,95.7,78
PAC COAST TOTAL,54 55,126,,406,49,,1,10,18,28,39,64,86,133,,,94.1,78
GRAND TOTAL,54 55,257,,406,54,1,3,14,24,33,43,65,90,141,,,94.6,78
