Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,,,,,2,3,4,5,6,6,7,,,,,92.9,84
MASSACHUSETS TOTAL,55 57,51,4,38,6,1,2,4,4,5,6,8,10,12,,,91.9,84
NEW HAMPSHRE TOTAL,57,17,4,35,12,4,6,7,8,9,10,11,24,25,,,94.0,84
NEW JERSEY TOTAL,55 56,130,,69,11,3,4,4,5,6,7,9,12,20,,,95.3,84
NEW YORK TOTAL,54 57,B4,1,74,17,2,5,7,10,14,18,22,27,35,,,93.9,84
PENNSYLVANIA TOTAL,54 57,538,,83,16,4,7,9,11,13,16,20,24,31,,,94.4,84
DIS COLUMBIA TOTAL,54 56,36,1,93,24,6,7,9,10,15,,31,43,49,,,93.6,84
KENTUCKY TOTAL,54 57,64,3,47,17,7,9,,14,16,18,20,24,33,,,94.6,84
MARYLAND TOTAL,,19,13,42,24,14,16,18,21,24,25,29,32,36,,,93.7,84
NO CAROLINA TOTAL,57,25,5,37,14,7,8,11,,14,15,18,20,22,,,94.3,84
TOTAL,57,23,4,112,22,9,,13,15,16,17,19,27,36,,,95.4,84
WEST VIRGINA TOTAL,35 57,17,1,50,10,2,2,5,6,7,7,190,12,19,,,89.7,84
FLORIDA TOTAL,55 57,25,3,35,13,5,7,8,9,11,14,17,18,24,,,93.1,84
GEORGIA TOTAL,55 56,16,2,60,13,2,5,6,7,9,11,12,17,22,,,90.5,84
TENNESSEE TOTAL,55 57,57,5,140,22,9,10,13,16,20,22,25,31,35,,,93.6,84
TOTAL,54 57,137,4,200,30,7,9,12,14,18,23,29,45,70,,,91.9,84
INDIANA TOTAL,55,111,4,67,22,8,11,13,15,19,22,27,32,41,,,93.0,84
OHIO TOTAL,54 57,114,1,205,23,5,7,9,13,16,20,27,35,45,,,93.4,84
WISCONSIN TOTAL,57,19,7,62,22,7,10,12,16,18,19,22,32,41,,,92.2,84
1 OWA TOTAL,57,26,3,52,18,6,9,11,13,14,2i,23,25,28,,,85.3,84
KANSAS TOTAL,57,25,7,25,16,3,9,13,14,15,19,20,21,23,,,92.6,84
MINNESOTA TOTAL,54,2i,2,30,11,2,2,6,6,8,9,,19,28,,,93.5,84
MISSOURI TOTAL,55 56,53,1,43,12,4,6,7,9,11,12,13,14,23,,,92.2,84
NORTH DAKOTA TOTAL,57,23,5,,10,5,8,10,10,it,12,12,13,14,,,92.9,84
LOUISIANA TOTAL,54 57,50,,38,13,1,,6,7,11,13,19,21,25,,,89.8,84
OKLAHOMA TOTAL,57,,8,35,17,10,11,14,16,18,18,19,22,27,,,94.4,84
TEXAS TOTAL,54 57,144,,83,16,4,7,9,10,12,16,19,23,28,,,91.9,84
COLORADO TOTAL,54 55,26,2,30,13,4,7,8,11,,13,14,21,24,,,91.8,84
TOTAL,57,,11,11,11,,,,,12,12,12,12,12,,,91.1,84
MONTANA TOTAL,57,,9,,9,,,,,9,9,9,,,,,92.0,84
UTAH TOTAL,54 55,26,5,110,24,6,9,11,14,16,19,21,25,32,,,93.9,84
WYOMING TOTAL,57,26,5,18,10,7,7,8,10,11,11,12,15,,,,91.9,84
ALASKA TOTAL,54 55,26,,33,8,,1,1,3,5,8,11,15,17,,,94.8,84
CALIFORNIA TOTAL,54 57,223,2,480,48,5,10,14,21,27,37,49,77,110,,,93.6,84
HAWAII TOTAL,57,26,3,32,7,2,3,4,4,5,5,6,,13,,,91.5,84
OREGON TOTAL,54 55,60,1,160,51,8,13,23,30,44,,67,97,114,,,94.0,84
WASHINGTON TOTAL,57,20,3,37,19,7,11,13,14,20,21,24,28,32,,,94.8,84
NEW ENGLND TOTAL,55 57,104,1,38,7,2,3,4,5,6,6,8,10,12,,,90.3,84
MtD ATLNTC TOTAL,54 57,752,,83,15,4,5,7,9,12,15,19,23,31,,,88.6,84
MID EAST TOTAL,54 57,184,1,,19,6,8,10,13,15,18,21,26,37,,,92.8,84
SOUTH EAST TOTAL,55 57,,2,140,18,6,8,10,12,15,18,22,25,33,,,94.9,84
MIO WEST TOTAL,54 57,381,1,205,25,6,9,12,14,18,21,28,36,51,,,92.9,84
GRT PLAINS TOTAL,54 57,148,1,52,13,5,7,8,10,12,13,15,20,24,,,94.6,84
GULF SOUTH TOTAL,54 57,213,,83,15,3,7,9,10,13,16,19,22,28,,,93.4,84
ROCKY MNTN TOTAL,54 57,80,2,110,15,6,7,9,11,12,13,15,19,24,,,92.9,84
PAC COAST TOTAL,54 57,355,,480,41,4,7,,16,23,31,43,65,102,,,95.1,84
GRAND TOTAL,54 37,2315,,83,21,4,6,8,11,13,17,,27,41,,,92.7,84
