Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
NEW JERSEY TOTAL,55,,,,,6,6,7,7,,,,,,,,94.9,181
NEW YORK TOTAL,54 55,35,,109,24,4,,11,18,24,25,28,32,54,,,91.6,181
PENNSYLVA NIA TOTAL,54,10,,52,14,1,1,7,10,13,14,15,15,19,,,94.0,181
DIS COLUM BIA TOTAL,54 55,28,,26,6,,,1,1,1,4,7,15,20,,,92.8,181
KENTUCKY TOTAL,54,6,,14,6,1,1,1,1,3,7,7,13,13,,,93.5,181
WEST VIRG INA TOTAL,54,7,,65,22,1,1,1,19,21,2i,26,29,29,,,90.5,181
FLORIDA T OTAL,54,8,,35,13,1,1,1,4,5,6,23,23,34,,,91.2,181
GEORGIA T OTAL,54,8,,25,10,1,1,1,4,8,9,17,17,23,,,91.8,181
PLLINOIS FOTAL,54 55,41,,119,29,1,1,,19,29,34,42,47,54,,,89.2,181
MICHIGAN TOTAL,53 54,36,,172,43,1,10,16,19,31,43,57,67,101,,,92.0,181
OHIO TOTA L,54 35,111,,56,8,,,1,1,4,7,1i,15,19,,,91.1,181
MINNESOTA TOTAL,54,14,,23,4,,,,1,1,1,3,il,17,,,92.9,181
MISSOURI TOTAL,,1i,,,2,,,1,1,1,4,4,6,,,,93.5,181
LOUISIANA TOTAL,54,4,,13,4,,1,1,1,1,1,2,2,1 3,,,89.3,181
TEXAS TOT A L,54,26,,99,16,,1,1,5,8,16,19,,36,,,94.8,181
UTAH TOTA,54,5,,26,5,,,1,1,1,1,1,1,26,,,93.5,181
ALASKA TO T AL,54 s5,27,,275,17,,1,2,4,5,7,i1,14,19,,,89.2,181
CALIFORNI A TOTAL,54 55,117,,125,31,7,11,15,20,25,32,39,49,67,,,91.5,181
OREGON TO T AL,54,34,,178,23,1,7,ie,16,19,25,30,32,36,,,90.4,181
MID ATL N Tc TOTAL,54 55,55,,109,21,1,6,10,13,18,22,25,29,Si,,,89.2,181
MID EAS T TOTAL,54,41,,65,8,,,1,1,3,,14,19,23,,,92.6,181
SOUTH E A ST TOTAL,54,16,,35,11,1,1,4,4,6,9,17,23,26,,,91.1,181
MIO WES T TOTAL,53 55,188,,172,19,,1,1,6,1i,15,21,33,54,,,92.0,181
GRT PLA NS TOTAL,54,25,,23,3,,,1,1,1,1,4,8,11,,,95.0,181
GULF U TH TOTAL,54,30,,99,is,,1,1,4,7,11,17,20,36,,,92.1,181
ROCKY M N TN TOTAL,54,8,,26,3,,,,,1,1,,1,,,,93.9,181
PAC COA ST TOTAL,54 55,198,,275,27,2,7,11,16,20,26,32,39,57,,,92.6,181
GRAND TOTAL,53 55,561,,275,20,1,1,7,11,16,20,27,35,53,,,94.1,181
