Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
HARTFORO CONN,57,,,,,,,,,,,,,,,91.0,59
NUMBER OF SAMPLES,,,2,,2,2,1,3,2,2,,3,2,,,94.7,59
MAX MUM,,,13,,85,30,41,490,100,41,31,14,40,,,90.6,59
AVERAGE,,,9,,59,22,41,173,56,34,27,11,27,,,95.0,59
MINIMUM,,,,,33,15,41,12,13,27,23,5,15,,,91.4,59
NEW HAVEN CONN,,,,,,,,,,,,,,,,94.0,59
NUMBER OF SAMPLES,,2,2,2,2,2,1,3,2,1,3,1,,,,92.1,59
MAX MUM,,,18,,41,46,150,38,18,169,43,9,25,,,91.9,59
AVERAGE,,,,2b,28,43,150,29,14,169,29,9,20,,,92.4,59
MINIMUM,,iz,id,19,15,40,150,22,i1,169,11,9,16,,,83.2,59
STAMFORD CONN,,,,,,,,,,,,,,,,94.0,59
NUMBER OF SAMPLES,,1,,,1,3,2,3,1,3,1,2,3,,,92.6,59
MAXIMUM,,10,,,33,74,29,304,10,291,86,8,16,,,85.2,59
AVERAGE,,10,,,33,38,22,,10,,88,4,13,,,95.0,59
MINIMUM,,10,,,33,16,,45,10,16,88,1,12,,,92.9,59
PO RTLAND MAIWE,,,,,,,,,,,,,,,,90.7,59
NUMBER OF SAMPLES,,,1,1,,1,2,2,,1,1,2,3,,,91.2,59
MAXIMUM,,,12,14,,10,28,24,,22,38,37,15,,,92.6,59
AVERAGE,,,,i4,,10,19,17,,22,36,2a,10,,,91.6,59
MINIMUM,,,12,14,,10,10,10,,22,38,19,6,,,88.4,59
BO STON MASS,,,,,,,,,,,,,,,,94.0,59
NUMBER OF SAMPLES,,3,2,1,,4,3,6,4,3,7,8,5,,,91.6,59
MAXIMUM,,7,,17,15,156,26,21,13,,69,i8,17,,,84.6,59
AVERAGE,,6,9,17,i1,44,24,9,8,44,27,4,3,,,91.2,59
MINIMUM,,5,8,,7,4,22,,6,2,,,1,,,94.6,59
EV ERETT MASS,36,,,,,,,,,,,,,,,87.2,59
NUMBER OF SAMPLES,,1,1,2,1,2,2,,2,1,,,2,,,92.4,59
MAXIMUM,,,il,10,19,5388,9,,7,8,,,12,,,88.6,59
AVERAGE,,,il,,19,299,6,,6,8,,,9,,,93.6,59
MINIMUM,,,11,,19,11,3,,5,8,,,7,,,90.9,59
LA WRENCE MASS,,,,,,,,,,,,,,,,93.7,59
NUMBER OF SAMPLES,,,,1,,3,2,2,2,2,2,,2,,,94.9,59
MAXIMUM,,,,9,,36,38,38,17,,65,19,19,,,88.6,59
AVERAGE,,,,,,22,31,25,13,65,38,,17,,,93.9,59
MINIMUM,,,,9,,10,25,13,9,47,12,19,16,,,84.9,59
LYNN MASS,37,,,,,,,,,,,,,,,92.3,59
NUMBER OF SAMPLES,,,1,,,3,2,2,,2,2,,2,,,94.2,59
MAXIMUM,,,19,,,53,250,13,320,36,164,9,14,,,89.7,59
AVERAGE,,,19,,,28,141,153,320,34,78,9,12,,,90.7,59
MINIMUM,,,19,,,12,32,15,320,32,35,9,10,,,87.5,59
30 MERVILLE MASS,,,,,,,,,,,,,,,,72.3,59
NUMBER OF SAMPLES,,,1,1,,1,2,3,2,3,1,2,2,,,92.0,59
MAXIMUM,,,6,,,81,22,102,,179,39,15,17,,,93.7,59
AVERAGE,,,6,20,,81,15,41,109,,39,13,9,,,92.5,59
MINIMUM,,,6,20,,,9,4,11,3%,39,11,1,,,90.5,59
wo RCESTER MASS,,,,,,,,,,,,,,,,81.3,59
NUMBER OF SAMPLES,,,,1,,2,3,3,2,3,2,,3,,,95.1,59
MUM,,,,2%,,45,37,28,11,,,14,11,,,88.5,59
AVERAGE,,,,,,30,34,i6,10,eT,so,14,7,,,84.1,59
MINEMUM,,,,26,,15,32,7,10,as,4s,14,5,,,88.7,59
MA NCHESTER WN H,57,,,,,,,,,,,,,,,71.2,59
NUMBER OF SAMPLES,,,,,,2,1,,2,2,2,1,2,,,92.3,59
MAXIMUM,,,,,,40,16,,140,13,68,6,9,,,91.8,59
AVERAGE,,,,,,31,16,,76,13,43,6,3,,,92.9,59
MINIMUM,,,,,,23,16,,13,13,,6,8,,,81.0,59
R,55 57,,,,,,,,,,,,,,,92.7,59
NUMBER OF SAMPLES,,,6,3,1,1,3,2,3,,2,,3,,,95.0,59
MAXIMUM,,6,14,15,16,13,64,12,34,,52,14,15,,,93.6,59
AVERAGE,,3,4,3,16,13,38,10,23,,33,14,i4,,,89.3,59
,,2,1,4,16,13,23,9,10,60,i4,,13,,,88.3,59
BU RLUNGTON vT,o7,,,,,,,,,,,,,,,75.8,59
NUMBER OF SAMPLES,,,,,,2,3,2,2,2,2,3,,,,95.2,59
MAXIMUM,,,,,,71,27,15,11,24,188,15,11,,,83.1,59
AVERAGE,,,,,,40,21,11,10,21,114,12,3,,,87.4,59
MINIMUM,,,,,,9,16,7,10,19,40,,,,,94.1,59
wi LMINGTON OEL,,,,,,,,,,,,,,,,87.7,59
NUMBER OF SAMPLES,,,,,,3,3,2,3,,2,,,,,95.6,59
MAXIMUM,,,,12s,,74,526,46,32,,53,26,14,,,87.7,59
AVERAGE,,,,,,40,200,28,29,,50,1,14,,,93.4,59
,,,,,,i2,27,10,27,,48,,14,,,92.3,59
Ca MOEN J,,,,,,,,,,,,,,,,77.7,59
NUMBER OF SAMPLES,,,,,,2,2,2,3,2,1,3,2,,,93.0,59
MAXIMUM,,,,,,59,230,34,17,104,17,,19,,,85.5,59
AVERACE,,,,,,38,135,23,12,73,17,27,,,,93.5,59
minimum,,,,,,138,41,12,7,42,17,1s,17,,,78.3,59
JERSEY CITY WwW J,57,,,,,,,,,,,,,,,76.2,59
NUMBER OF SAMPLES,,,,,,3,2,3,2,1,3,2,2,,,94.9,59
MUM,,,,,,40,30,385,26,65,116,25,5u,,,91.4,59
AVERAGE,,,,,,28,29,148,20,653,59,16,43,,,84.9,59
min,,,,,,22,28,25,15,65,18,3,29,,,80.3,59
EAST ORANGE SAMPLES,,,,,,,,,,,,,,,,92.7,60
NUMBER OF,,,,,,66,16,20,34,740,,1,43,,,86.6,60
MAXIMUM,,,,,,,,,,,,9,,,,90.5,60
AVERAGE,,,,,,58,10,14,30,617,,9,28,,,92.9,60
,,,,,,50,10,9,29,495,,9,13,,,89.9,60
NE WARK N J,57,,,,,,,,,,,,,,,88.4,60
NUMBER OF SAMPLES,,,,,,1,2,1,1,,2,,,,,95.1,60
MAXIMUM,,,,,,23,20,17,10,54,43,,,,,93.1,60
AVERAGE,,,,,,23,18,17,190,40,36,,,,,92.4,60
MINIMUM,,,,,,23,17,17,10,26,30,,,,,87.9,60
NE YORK N Y,53 57,,,,,,,,,,,,,,,86.2,60
UMBER OF SAMPLES,,,4,,4,8,7,8,6,9,9,15,16,,,94.6,60
MAXIMUM,,19,14,10,5,46,28,183,42,75,61,94,29,,,94.5,60
AVERAGE,,,5,,3,15,9,26,14,25,31,17,10,,,94.0,60
MINIMUM,,,1,,1,,1,3,4,2,9,1,1,,,92.9,60
BI NGHAMTON N Y,57,,,,,,,,,,3,2,,,,84.7,60
NUMBER OF SAMPLES,,,,,,2,2,2,2,2,,,2,,,94.7,60
MAXIMUM,,,,,,16,13,15,24,23,41,17,20,,,95.2,60
AVERAGE,,,,,,15,9,14,17,19,21,12,15,,,91.8,60
MINIMUM,,,,,,15,6,14,10,is,3,8,10,,,91.9,60
BU FFALO N Y,,,,,,,,,,,,,,,,78.5,60
NUMBER OF SAMPLES,,,,,,2,3,2,1,2,1,1,1,,,92.5,60
MAXIMUM,,,,,,,19,23,14,36,62,6,11,,,95.5,60
AVERAGE,,,,,,27,15,17,14,20,62,6,,,,95.2,60
Mi NtMUM,,,,,,2,8,11,14,,62,6,11,,,79.8,60
SCHENECTADY N Y,57,,,,,,,,,,,,,,,87.8,60
NUMBER OF SAMPLES,,,,,,2,1,2,2,2,2,2,1,,,95.1,60
MAXIMUM,,,,,,73,14,15,39,41,70,25,6,,,87.6,60
AVERAGE,,,,,,67,14,,a4,30,63,17,6,,,94.8,60
MiN 1 MUM,,,,,,61,14,8,9,19,57,,6,,,74.1,60
SYRACUSE NY,,,,,,,,,,,,,,,,82.0,60
NUMBER OF SAMPLES,,,,,,3,,3,2,,2,3,2,,,95.4,60
,,,,,,67,24,98,52,115,79,19,15,,,94.2,60
