Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,,,,5,,,1,1,3,6,7,9,10,,,95.3,191
MASSACHUSETS TOTAL,55,49,,100,12,,,1,1,1,4,7,10,32,,,94.8,191
NEW JERSEY TOTAL,55 56,130,,22,1,,,,,1,1,1,1,2,,,94.3,191
NEW YORK TOTAL,54 56,76,,340,12,1,,2,2,3,6,9,16,24,,,94.7,191
PENNSYLVANIA TOTAL,54 56,275,,510,9,,1,,2,4,5,7,10,20,,,95.3,191
DIS COLUMBIA TOTAL,54 56,46,,30,4,,,1,1,1,3,5,6,9,,,93.8,191
KENTUCKY TOTAL,54 55,71,,50,8,,1,4,5,6,8,10,15,21,,,92.8,191
MARYLAND TOTAL,57,18,,10,5,3,3,4,4,,5,5,6,7,,,95.6,191
WEST VIRGINA TOTAL,54 55,27,,100,4,,,,,1,1,1,1,2,,,95.4,191
FLORIDA TOTAL,54 55,31,,9,,,,,1,1,1,1,3,4,,,93.8,191
GEORGIA TOTAL,54 56,26,,100,15,,1,1,3,6,8,10,22,41,,,94.5,191
TENNESSEE TOTAL,55 56,32,,30,6,,1,2,3,4,5,7,10,19,,,93.9,191
ILLINOIS TOTAL,54 56,149,,100,14,1,3,4,6,8,9,10,21,31,,,91.1,191
TOTAL,55 56,86,,200,18,1,4,5,7,10,20,21,29,39,,,94.2,191
MICHIGAN TOTAL,53 54,32,,80,4,,,1,1,1,2,3,5,8,,,92.1,191
QHIO TOTAL,54 57,182,,120,9,,,1,1,2,4,5,8,28,,,91.3,191
TOTAL,57,19,,11,6,3,4,4,5,5,6,7,8,9,,,94.9,191
MINNESOTA TOTAL,54 55,36,,30,3,,,,1,1,1,1,5,9,,,95.5,191
MISSOURI TOTAL,54 56,63,,80,7,,,1,1,1,4,7,9,21,,,93.0,191
LOUISIANA TOTAL,55,,,10,1,,,,1,1,1,2,3,4,,,95.0,191
TEXAS TOTAL,54 55,155,,90,6,,,1,1,1,3,5,8,20,,,93.0,191
COLORADO TOTAL,54 55,26,,50,13,2,3,9,9,10,19,20,21,22,,,94.1,191
UTAH TOTAL,54 55,31,,70,10,,1,3,5,6,8,9,20,21,,,94.4,191
ALASKA TOTAL,54 55,42,,7,1,,,,1,1,1,1,2,5,,,92.9,191
CALIFORNIA TOTAL,54 56,224,,60,3,,,1,1,1,2,3,5,9,,,92.7,191
OREGON TOTAL,54 55,74,,30,4,,1,1,1,2,4,5,8,10,,,95.6,191
WASHINGTON TOTAL,57,20,,9,4,2,3,3,4,4,4,5,6,7,,,93.7,191
NEW ENGLND TOT AL,55 56,85,,100,,,,1,1,,4,7,9,21,,,93.8,191
MIO ATLNTC TOT AL,54 56,481,,510,7,,,1,1,1,3,5,8,18,,,91.5,191
MID EAST TOTAL,54 57,162,,100,6,,1,1,1,4,5,6,9,17,,,89.4,191
SOUTH EAST TOT AL,54 56,89,,100,7,,,1,1,3,4,5,9,20,,,93.5,191
MIQ WEST TOTAL,53 57,4693,,200,12,,1,2,4,5,7,9,20,30,,,89.9,191
GRT PLAINS TOT AL,54 56,99,,80,5,,,1,1,1,1,5,8,20,,,94.1,191
GULF SOUTH TOT AL,54 55,205,,90,5,,,1,1,1,2,4,5,11,,,95.0,191
ROCKY MNTN TOT AL,54 55,57,,70,11,1,2,5,7,9,9,19,21,22,,,93.2,191
PAC COAST TOTAL,54 57,360,,60,3,,,1,1,1,2,4,5,9,,,95.5,191
GRAND TOTAL,53 57,2006,,510,7,,,1,1,2,4,6,9,20,,,95.4,191
