Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,,,,,,,,96.0,163
MIDOLESEX CNTY MASS,1,55,23,,10,1,,,,1,1,1,1,2,3,,,92.1,163
LAKEHURST N J,1,55 56,19,,,1,,,,1,,1,1,1,2,,,91.6,163
,,,,,,,,1,,,,,,,,,,86.0,163
KANAWHA co WwW VA,1,54 95,22,,50,13,,,3,,,10,17,29,34,,,83.3,163
FULTON CO GEORGIA,1,54,5,,36,16,,1,1,,9,,34,34,38,,,94.1,163
,,,,,,,,,,5,,,,,,,,93.0,163
HAMILTON COUNTY OH 10,1,54 55,36,,38,7,,3,4,,6,,8,10,i1,,,91.5,163
TONKA BAY MINN,1,54,9,,28,5,,1,1,1,4,4,4,5,8,,,91.9,163
DENVER COUNTY COLO,1,54 55,10,,,3,,1,2,2,3,3,4,4,4,,,94.8,163
SALT LAKE CO UTAH,1,54,4,,,2,,1,1,1,1,1,3,3,8,,,94.8,163
MULTNOMAH CNTY ORE,1,54,12,,12,7,,4,5,5,6,6,9,10,11,,,92.5,163
,,,,,,,,1,,,,,7,,,,,77.5,163
GRAND TOTAL,,54 56,140,,50,6,,,1,2,3,5,,9,13,,,93.4,163
NONURBAN,,,,,,,,,,,,,,,,,,92.0,163
PT WORONZOF ALASKA,,55 56,le,,,1,,,,,,2,,2,2,,,89.9,163
