Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,1,55,,,,2,1,1,1,2,2,2,2,2,3,,,95.1,108
,1,,22,,3,1,,1,1,1,1,2,2,2,3,,,91.1,108
,1,55 56,36,,3,1,,1,1,1,1,2,2,2,,,,92.9,108
BOSTON MASS,1,55,23,,,,,,,,1,1,1,1,,,,95.3,108
EVERETT MASS,1,55,26,,4,,,,,,1,1,1,1,1,,,93.6,108
ELIZABETH N,1,55 56,20,,16,2,,1,1,1,1,1,2,2,3,,,93.8,108
PAULSBORO N,1,55 56,23,,6,1,,1,1,1,2,2,2,3,3,,,93.8,108
CAMDEN N J,1,55 56,19,2,4,2,1,1,2,2,2,2,3,3,3,,,94.9,108
PERTH AMBOY N,1,55 56,2i,,9,2,1,1,1,2,2,3,3,4,5,,,93.4,108
TRENTON N J,1,55 56,16,,7,2,1,1,1,1,2,2,2,2,3,,,92.0,108
JERSEY N,1,55 56,,,19,3,1,1,1,2,2,2,3,3,3,,,93.6,108
NEw YORK N Y,2,55 56,21,,6,2,1,1,2,2,2,3,3,4,,,,91.5,108
,3,54 35,186,2,25,5,2,2,2,3,4,4,5,5,6,,,92.9,108
,,54 56,39,,25,3,1,2,2,2,3,3,4,5,6,,,95.5,108
PHI LAOELPHIA PA,1,55,94,,6,2,1,1,1,2,2,2,2,3,3,,,84.9,108
,1,56,11,,3,1,,1,1,1,1,2,2,2,3,,,94.9,108
,1,55 56,,,6,2,1,,1,2,2,2,2,3,3,,,94.0,108
,4,545,11,,6,1,,,1,1,1,1,2,2,2,,,92.8,108
,5,56,,,2,,,,1,1,1,1,1,1,2,,,94.4,108
,6,56,i1,,2,1,,,1,1,1,1,2,2,2,,,93.5,108
,7,56,,,3,1,,,1,1,1,2,2,2,3,,,95.0,108
,,55,94,,6,2,1,1,1,2,2,2,2,3,3,,,94.5,108
,,56,53,,6,1,,,1,1,1,1,2,2,2,,,92.5,108
,,55 56,47,,6,1,,1,1,1,2,2,2,2,3,,,94.7,108
ALTOONA PA,,56,i 3,,2,1,1,1,1,1,2,2,2,2,2,,,90.5,108
BRISTOL PA,,55 96,18,,2,1,,1,1,1,1,1,2,2,2,,,92.1,108
CHESTER PA,1,55 56,1g,,4,2,1,1,1,2,2,2,2,2,3,,,93.8,108
ERIE PA,1,56,25,,3,1,,,1,1,1,1,2,2,2,,,93.6,108
PITTSBURGH PA,,56,21,,10,2,1,1,1,2,2,2,2,3,4,,,94.3,108
PA,1,55 56,23,,4,2,1,1,1,2,2,2,2,3,3,,,93.6,108
WASHINGTON DC,2,95 56,17,,2,1,,,1,1,1,1,2,2,2,,,90.1,108
LOUISVILLE KY,1,54,17,,5,,,,,,1,1,1,1,1,,,94.5,108
,1,,21,,3,,,,,,1,1,1,1,1,,,95.2,108
,1,54 55,38,,,,,,,,1,1,1,1,1,,,95.2,108
,2,54,13,,,,,,,,1,1,1,1,1,,,95.5,108
,2,55,10,,,,,,,,1,1,1,1,1,,,95.9,108
,2,54 55,23,,,,,,,,1,1,1,1,1,,,92.6,108
,,54,31,,5,,,,,,1,1,1,1,1,,,95.4,108
,,So,31,,3,,,,,,1,1,1,1,1,,,91.1,108
,,54 55,62,,5,,,,,,1,1,1,1,1,,,93.4,108
BALTIMORE MD,1,57,18,,4,,,,,,1,1,1,1,1,,,95.5,108
CHARLESTON W VA,4,55,16,,2,,,,,,1,1,1,1,1,,,89.6,108
TAMPA FLA,1,55,21,,3,1,,,1,1,1,1,2,2,2,,,94.6,108
ATLANTA GA,1,55 56,16,,2,,,,,1,1,,1,1,2,,,94.9,108
CHATTANOOGA TENN,3,55,14,2,3,2,1,1,1,2,2,2,2,2,3,,,95.2,108
,4,55 56,18,,3,1,1,1,1,1,1,2,2,2,2,,,91.9,108
,,55 56,32,,3,2,1,1,1,1,2,2,2,2,3,,,94.7,108
CHICAGO PEL,1,55,28,,17,1,,,,1,1,1,1,1,4,,,91.7,108
,2,,20,,8,3,,1,1,2,2,3,4,5,6,,,94.8,108
,4,55,29,,10,3,1,1,,2,3,3,4,5,6,,,92.2,108
,,,77,,17,2,,,1,1,2,2,,4,5,,,92.2,108
EAST ST LOUIS PEL,1,,15,,4,1,,1,,,1,1,2,,2,,,90.0,109
,2,56,14,,,,,,,,,1,1,1,1,,,92.9,109
,,55 56,29,,4,,,,,1,1,1,1,1,2,,,92.1,109
EAS T CHICAGO INO,1,55 56,19,,20,3,,1,1,2,3,3,4,5,6,,,89.1,109
,2,55 56,26,,6,2,,1,1,,2,2,3,3,4,,,94.8,109
,3,55 56,21,,8,2,,,1,1,1,2,3,4,5,,,90.4,109
,4,55 56,20,,5,1,,,1,1,1,1,2,3,4,,,94.8,109
,,55 56,86,,20,2,,,1,1,2,2,3,4,,,,94.5,109
c IN CINNATI,1,55,23,,9,2,,1,1,1,2,2,2,3,3,,,90.0,109
YOu NGSTOWN OHIO,1,57,12,,3,,,,,,1,1,1,1,2,,,93.1,109
MIL WAUKEE W,1,37,19,,,,,,,,1,1,1,1,1,,,86.0,109
MIN NEAPOLIS MINN,1,34,21,,2,,,,,,1,1,1,1,1,,,86.9,109
KAN SAS City MO,2,55 56,18,,3,,,,,1,1,1,1,1,2,,,91.7,109
,4,55 56,9,,,,,,,,1,1,1,1,1,,,93.1,109
,,,27,,3,,,,,1,1,1,1,1,2,,,94.0,109
ST MO,1,55 56,23,,2,1,,1,1,1,1,2,2,2,2,,,92.4,109
NEW ORLEANS LA,1,54 55,24,,1,,,,,,1,,1,1,1,,,95.2,109
,,34 35,22,,1,,,,,,1,1,1,1,1,,,85.0,109
,,54 95,46,,1,,,,,,1,1,1,1,1,,,91.4,109
FT WORTH TE X AS,1,54,24,,3,1,,,1,1,1,1,1,2,2,,,92.4,109
HOU STON TEX A,1,54,8,,,,,,,,1,1,1,1,1,,,95.0,109
,1,,56,,40,,,,,,1,1,1,1,1,,,92.6,109
,,54 55,64,,40,,,,,,1,1,1,,1,,,92.1,109
BEL LAIRE TE Xx AS,,,i7,,2,,,,,,1,1,4,2,1,,,85.6,109
,1,,14,,,,,,,,1,1,1,,1,,,96.0,109
,1,54 55,31,,,,,,,,1,1,1,1,1,,,92.4,109
DEN VER COL,1,54 535,23,,,,,,,,1,1,1,1,1,,,91.3,109
SAL T LAKE c TY UTAH,2,54 35,26,,4,,,,,,1,1,1,1,1,,,90.0,109
ANC HORAGE A L ASKA,1,54 55,13,,3,,,,,,1,1,1,1,3,,,93.7,109
SAN FRANC 1S Cc 0 CALIF,1,55 56,32,,1,,,,,,1,1,1,1,,,,85.4,109
PAS ADENA CA L IF,1,55 56,20,,2,1,,,1,1,1,1,1,2,2,,,89.8,109
SAN JOSE cA L IF,1,55 56,25,,3,1,,,1,1,1,1,2,2,2,,,87.3,109
SAN LEANDRO,1,55 56,30,,2,,,,1,1,1,1,,2,2,,,93.1,109
POR TLAND ORE GON,1,54 535,20,,2,,,,,,1,1,1,1,1,,,91.1,109
SEA TTLE WASH,1,57,20,,,1,,,,1,,1,,1,2,,,93.3,109
