Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,,,,,,,,95.0,95
MIDDLESEX CNTY MASS,1,55,23,32,146,65,34,43,45,50,56,60,76,,104,,,92.6,95
LAKEHURST WN J,1,55 56,19,12,225,108,34,60,74,79,109,114,141,151,179,,,91.7,95
KANAWHA CO W VA,1,54 55,23,,261,124,1,60,69,79,100,156,188,205,253,,,92.3,95
HiLLSBOROUGH CO FLA,1,54,4,,,,,1,1,3,3,,,4,,,,87.0,95
FULTON CO GEORGIA,1,54,8,,71,14,2,3,3,4,6,,,8,14,,,94.7,95
HAMILTON COUNTY OHIO,1,54,35,,142,26,2,3,4,5,6,,13,63,91,,,94.1,95
TONKA BAY MINN,1,54,9,,,,1,3,4,5,5,,,7,,,,95.6,95
DENVER COUNTY COLO,1,54 55,10,16,71,40,16,23,26,36,37,39,49,52,69,,,94.6,95
SALT LAKE CO UTAH,1,54,5,,152,40,,,1,1,1,,,52,156,,,91.9,95
MULTNOMAH CNTY ORE,1,54,12,,121,49,4,,31,33,34,39,69,91,104,,,92.8,95
GRAND TOTAL,,54 56,148,,281,59,3,4,6,23,44,60,75,98,149,,,93.7,95
NONURBAN,,,,,,,,,,,,,,,,,,90.0,95
PT WORONZOF ALASKA,1,55 56,12,22,73,44,22,24,39,39,42,45,46,60,62,,,93.1,95
