Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CON,54 56,,,,,,,,,,,,,,,87.8,13
MAXIMUM BER OF,,4,6,8,7,8,8,5,6,6,11,9,10,,,93.1,13
,,181,336,266,291,271,411,197,191,172,347,454,330,,,95.1,13
AVERAGE,,140,215,156,193,158,188,144,132,142,145,209,179,,,91.8,13
MINIMUM,,112,73,98,131,81,69,101,54,97,11,72,59,,,89.2,13
HARTFORD CONN,57,,,,,,,,,,2,,,,,91.2,13
NUMBER OF SAMPLES,,2,2,3,2,2,1,3,2,2,,3,2,,,95.5,13
MAXIMUM,,192,279,314,115,118,124,149,87,130,84,136,216,,,94.6,13
AVERAGE,,157,202,162,96,115,124,93,77,107,68,97,181,,,93.5,13
MINIMUM,,122,125,91,80,112,124,38,67,85,52,35,147,,,94.2,13
NEW HAVEN CONN,,,,,,,,,,,,,,,,92.3,13
NUMBER OF SAMPLES,,2,2,2,2,2,1,3,2,1,3,1,2,,,91.8,13
MAXIMUM,,146,142,120,59,94,109,115,115,158,94,101,201,,,88.2,13
AVERAGE,,,116,89,S7,77,109,72,107,158,72,1012,181,,,86.8,13
MINIMUM,,97,90,59,56,61,109,S1,99,158,55,101,162,,,90.5,13
STAMFORD CONN,57,,,,,,,,,,,,,,,94.7,13
NUMBER OF SAMPLES,,2,2,2,2,3,2,3,1,3,1,2,3,,,95.9,13
MAXIMUM,,102,184,133,222,131,193,182,72,136,99,96,247,,,90.6,13
AVERAGE,,88,179,76,127,81,135,133,72,109,99,68,147,,,93.4,13
,,74,174,20,33,46,77,83,72,73,99,40,73,,,93.8,13
PORTLAND MAINE,37,,,,,,,,,,,,,,,77.7,13
NUMBER OF SAMPLES,,,1,2,2,2,2,,,1,1,2,3,,,95.5,13
MAXIMUM,,,156,133,157,78,130,62,,118,265,135,209,,,91.4,13
AVERAGE,,,156,117,123,62,115,54,,118,265,128,151,,,95.1,13
MINIMUM,,,156,101,89,46,100,47,,118,265,122,89,,,94.9,13
BOSTON MASS,54,,,,,,,,,,,,,,,92.3,13
NUMBER OF SAMPLES,,10,9,,10,10,12,12,11,10,15,14,11,,,94.4,13
MAXIMUM,,348,211,256,472,160,157,130,,117,202,193,388,,,94.1,13
AVERAGE,,214,,153,165,126,105,88,104,97,141,141,165,,,93.8,13
,,79,125,90,68,77,57,71,62,72,96,97,96,,,94.5,13
PITTSFIELD MASS,55 56,,,,,,,,,,,,,,,76.5,13
NUMBER OF SAMPLES,,1,2,2,2,2,4,2,2,3,4,2,2,,,93.5,13
MUM,,50,,81,58,83,92,59,44,103,103,69,100,,,95.0,13
AVERAGE,,50,70,60,49,77,62,47,41,82,T2,53,81,,,92.6,13
MIN 1 MUM,,50,60,40,40,72,47,36,39,72,36,38,63,,,89.9,13
EVERETT MASS,54 56,,,,,,,,,,,,,,,94.5,13
NUMBER. OF SAMPLES,,8,10,9,,9,9,9,9,8,12,,9,,,92.9,13
MAX MUM,,254,212,222,138,353,175,255,178,160,293,186,259,,,84.4,13
AVERAGE,,129,1el,137,97,156,108,123,107,126,144,110,144,,,92.8,13
MINIT MUM,,61,63,86,39,87,51,58,66,90,33,42,53,,,89.5,13
LAWRENCE MAS,57,,,,,,,,,,,,,,,93.0,13
NUMBER OF SAMPLES,,2,2,3,,3,2,,2,3,2,,2,,,95.8,13
MAXIMUM,,31,128,96,40,95,95,132,186,99,63,132,67,,,90.2,13
AVERAGE,,26,83,61,40,75,92,83,127,82,54,93,61,,,93.4,13
,,2i,39,38,40,57,90,34,69,55,46,55,56,,,89.2,13
LYNN MASS,57,,,,,,,,,,,,,,,94.3,13
NUMBER OF SAMPLES,,,1,1,2,3,2,2,1,2,3,2,2,,,95.1,13
MAXIMUM,,,83,83,165,85,160,195,161,82,253,70,108,,,93.4,13
AVERAGE,,,83,83,112,71,142,160,161,62,157,56,95,,,91.9,13
MINIMUM,,,83,83,59,54,124,126,161,43,103,43,,,,93.1,13
SOMERVILLE MASS,57,,,,,,,,,,,,,,,95.0,13
NUMBER OF SAMPLES,,2,2,3,2,1,2,3,2,3,2,2,2,,,92.2,13
MAXIMUM,,82,95,115,191i,159,116,99,169,107,54,77,70,,,89.7,13
AVERAGE,,62,78,86,163,159,90,65,135,95,53,59,53,,,93.8,13
MINIMUM,,42,62,57,135,159,64,42,101,71,,41,37,,,93.7,13
WORCESTER MASS,57,,,,,,,,,,,,,,,89.7,13
NUMBER OF SAMPLES,,3,2,3,1,2,3,3,2,3,2,1,3,,,91.9,13
MAXIMUM,,160,219,148,148,131,116,135,102,85,115,169,99,,,94.7,13
AVERAGE,,145,190,113,148,101,111,86,69,56,74,169,85,,,92.6,13
MINIMUM,,133,162,65,148,72,106,54,37,42,34,169,64,,,92.1,13
MANCHESTER AW H,57,,,,,,,,,,,,,,,75.2,13
NUMBER OF SAMPLES,,,1,2,2,2,1,1,2,1,2,1,2,,,95.7,13
MAXIMUM,,,41,100,108,72,71,53,74,69,152,55,99,,,91.4,13
AVERAGE,,,41,,75,62,71,,65,69,96,55,78,,,94.9,13
MINIMUM,,,,62,42,52,71,53,57,69,40,55,57,,,86.3,13
PROVIDENCE R,54,,,,,,,,,,,,,,,91.3,13
NUMBER OF SAMPLES,,10,14,5,1,1,3,2,3,1,6,11,16,,,94.3,13
MAXIMUM,,289,234,253,84,126,182,137,9T7,77,140,121,208,,,89.5,13
AVERAGE,,114,92,125,84,126,138,105,89,77,,67,89,,,93.0,13
MUM,,30,25,19,B4,126,92,73,78,77,98,17,19,,,92.9,13
BURLINGTON VT,57,,,,,,,,,,,,,,,87.7,13
NUMBER OF SAMPLES,,2,3,1,2,2,3,2,2,2,2,,2,,,94.6,13
MAXIMUM,,43,79,8 3,74,73,73,46,67,,,36,81,,,91.5,13
AVERAGE,,35,68,83,62,57,57,39,60,48,46,31,690,,,89.2,13
MINT MUM,,28,,83,,42,42,32,53,39,37,24,39,,,87.1,13
DEL,57,,,,,,,,,,,,,,,69.0,13
