Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
,,,,,,,,,,,,,,,99,,,87.0,77
NEW YORK N OY,2,,21,,160,57,12,24,34,43,54,61,74,,,,,88.2,77
WASHINGTON oc,,54 55,19,,110,45,11,23,30,36,41,43,54,65,78,,,93.4,77
CHICAGO PEL,2,54 55,31,,392,123,1,34,58,78,97,141,155,179,335,,,92.6,77
CINCINNATEI OHIO,1,54 55,40,,2ii,35,,1,10,19,26,29g,33,43,105,,,83.9,77
HOUSTON TEXAS,1,54,7,,43,17,,,1,1,i5,15,34,38,38,,,93.1,77
ANCHORAGE ALASKA,1,54 55,12,,28,,,,1,1,1,1,3,15,,,,93.0,77
PASADENA CALIF,1,54 55,20,,87,23,,1,1,,10,27,32,36,69,,,91.8,77
BERKELEY CALIF,1,54 55,28,,88,19,,1,1,8,11,15,21,30,34,,,93.4,77
SAN JOSE CALIF,1,54 55,23,,140,,4,17,20,24,46,61,81,88,111,,,91.4,77
PORTLANO OREGON,1,54,10,,164,77,7,7,41,43,48,88,99,150,159,,,93.9,77
,2,54,10,23,148,67,23,24,27,43,54,74,78,105,111,,,94.6,77
,4,54,10,14,406,185,15,99,111,169,179,190,201,226,322,,,94.9,77
,5,,10,,145,44,1,1,24,34,38,41,43,48,78,,,95.6,77
,,54,40,,406,93,7,24,39,43,72,94,111,,19.0,,,94.1,77
