Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
SUBURBAN,,,,,,,,,,,,,,,,,,95.0,85
MIODLESEX CNTY MASS,1,55,23,,16,,1,,3,,5,5,6,8,10,,,93.8,85
LAKEHURST N J,1,55 56,19,,55,11,,,5,,7,7,8,8,10,,,90.9,85
KANAWHA co W VA,1,55,17,,14,,,,4,,6,8,9,11,12,,,90.4,85
HAMILTON COUNTY OHIO,1,54 55,22,,,io,,,5,,6,7,8,10,13,,,91.4,85
DENVER COUNTY COLO,1,54 55,10,,12,,,,2,,4,5,7,,9,,,90.8,85
MULTNOMAH CNTY ORE,6,54,10,21,61,44,,27,28,41,46,,56,,63,,,92.7,85
GRAND TOTAL,,54 56,101,,61,,,3,4,5,6,8,9,ii,41,,,92.1,85
NONURBAN,,,,,,,,,,,,,,,,,,92.0,85
PT WORONZOF ALASKA,1,56,12,,,,,,,,1,1,1,2,2,,,93.4,85
