Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
LITCHFIELD CNTY CONN,1,55 56,,,21,9,1,3,4,5,,,12,,,,,91.9,58
ACADIA NATNL PARK WE,1,57,16,2,32,15,4,6,7,10,12,20,22,26,28,,,92.6,58
MT MANSFIELD FRST VT,,57,7,8,189,60,9,9,12,20,42,42,69,113,113,,,92.1,58
WORCESTER COUNTY MD,1,57,24,5,374,35,5,8,9,14,17,20,25,33,54,,,92.1,58
CAPE HATTERAS AWC,1,57,8,10,55,19,12,13,13,14,14,15,18,18,20,,,91.8,58
SHEWANDOAH PARK VA,1,57,25,8,654,73,12,14,18,22,26,36,48,62,186,,,90.3,58
HOLLY RIVER PK W VA,1,57,25,3,710,59,9,12,18,22,26,36,48,62,82,,,94.0,58
GULF SHORES PARK ALA,1,57,12,8,126,35,9,12,16,18,19,20,26,54,88a,,,94.0,58
FLORIDA KEYS FLORIDA,1,57,14,8,174,55,9,12,,25,26,42,75,82,145,,,89.3,58
OATLAND GA,1,57,16,4,54,22,6,7,11,12,18,26,30,38,42,,,91.5,58
JACKSON COUNTY MISS,1,57,20,9,1 129,135,11,13,15,18,20,25,26,54,391,,,91.9,58
FT DONELSON TENN,1,57,16,9,353,73,10,11,20,22,26,48,54,69,166,,,92.9,58
SANGAMON COUNTY MeL,1,57,i3,13,87,26,13,15,20,21,23,23,24,25,42,,,84.2,58
HURON COUNTY MICH,1,57,30,5,226,36,7,9,10,12,16,19,26,54,69,,,90.7,58
PERRYS MEMORIAL OHIO,1,57,8,5,64,22,6,10,10,i1,12,15,20,20,54,,,90.4,58
ELLIS COUNTY KANSAS,1,57,11,5,1316,159,6,9,23,26,54,62,69,79,88,,,92.1,58
COUNTY MIWA,1,57,14,9,122,24,9,i1,,14,14,15,1,20,54,,,85.4,58
SHANNON COUNTY MO,1,57,18,8,239%,47,12,15,16,19,26,31,42,54,105,,,91.1,58
THOMAS COUNTY NEBR,1,57,11,3,560,92,3,7,9,18,26,5 4,69,129,145,,,92.7,58
WARD COUNTY N D,1,57,13,4,36,12,4,5,5,6,11,12,15,18,26,,,91.7,58
BLACK HILLS 0,1,57,5,15,730,164,15,15,20,20,30,30,33,33,625,,,89.7,58
YELLOWSTONE PARK wyo,1,57,2,20,100,60,,,20,20,20,20,20,,113,,,92.1,58
PT WORONZOF ALASKA,1,56 57,45,,38,8,1,2,,4,,,210,12,22,,,92.3,58
GRAND CANYON ARIZ,1,57,26,7,830,134,14,17,23,30,39,88,129,,391,,,87.3,58
HAWAII,1,57,22,2,86,18,3,4,,7,,16,18,33,42,,,91.9,58
GRAND TOTAL,,57,412,,1316,52,5,8,11,14,18,22,30,46,a6,,,91.9,58
