Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
le,,,,,,,,,,,28,35,,,,,69.3,55
ONNECTICUT TOTAL,55 57,70,1,490,4 6,3,11,15,15,19,,,,,,,87.4,55
MAINE TOTAL,57,14,6,38,18,6,10,11,12,14,15,23,26,38,,,94.1,55
MASSACHUSETS TOT AL,55 57,1 34,,588,33,2,6,8,10,13,16,24,36,,,,93.1,55
NEW HAMPSHRE TOT AL,57,,6,140,41,6,8,9,,20,26,42,69,29,,,94.7,55
RHODE ISLAND TOT AL,55 57,32,1,64,15,2,3,4,6,12,13,14,26,42,,,90.4,55
VERMONT TOTAL,,16,5,188,28,7,10,10,11,14,18,23,26,42,,,90.9,55
DELAWARE TOTAL,57,20,8,526,60,11,14,23,27,30,33,45,,88,,,91.8,55
NEW JERSEY TOTAL,55 37,66,1,740,60,,14,17,20,25,31,40,52,69,,,92.9,55
NEW YORK TOTAL,53 57,1 78,,268,20,1,3,6,8,ii,14,i9,32,56,,,90.6,55
PENNSYLVANIA TOT AL,53 57,3 47,,930,29g,1,3,5,8,11,14,18,24,41,,,93.1,55
018 COLUMBIA TOT AL,53 57,1 45,,163,16,1,3,5,7,10,14,19,25,36,,,92.6,55
KENTUCKY TOTAL,54 57,74,1,728,29,2,4,5,6,8,10,14,20,50,,,93.6,55
MARYLAND TOTAL,57,23,4,148,31,11,14,16,17,19,23,30,42,64,,,93.6,55
NO CAROLINA TOTA,57,34,6,234,35,10,13,14,18,20,25,30,42,96,,,92.6,55
PUERTO TOTA,97,14,5,58,20,5,6,7,9,12,20,26,30,54,,,89.9,55
VIRGINIA TOTAL,57,33,3,243,44,7,16,18,19,26,30,42,,13,,,91.2,55
WEST VIRGINA TOT AL,53 57,83,,826,29,1,3,5,8,11,15,19,26,38,,,94.6,55
ALABAMA TOTAL,57,14,6,234,56,6,14,15,26,42,48,59,64,86,,,90.9,55
FLORIDA TOTAL,53 57,162,,658,28,1,2,3,6,9,12,18,25,48,,,93.4,55
GEORGIA TOTAL,53 57,116,,533,34,1,4,6,8,,23,30,47,93,,,93.9,55
MISSISSIPPI TOTA,57,16,8,562,1 16,il,12,16,17,i9,54,69,113,446,,,88.2,55
CAROLINA TOTA,57,37,2,685,78,11,17,23,30,39,54,64,79,,,,93.2,55
TENNESSEE TOTAL,55 57,100,,e717,72,2,,7,11,16,23,3141,54,96,,,89.3,55
PLLINOIS TOTAL,54 57,209,,,24,1,5,4,6,8,,16,23,33,,,84.1,55
TOTAL,55,124,3,486,45,7,14,17,20,24,30,39,55,67,,,93.7,55
MICHIGAN TOTAL,53 57,132,,706,27,1,1,2,6,10,14,ei,29,46,,,90.2,55
