Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
NEW YORK W Y,54 55,,,,,,,,,,,,,,,84.3,183
NUMBER OF SAMPLES,,3,3,2,4,4,3,3,1,4,3,3,2,,,95.4,183
MAXIMUM,,25,,57,43,29,65,31,29,34,30,25,109,,,94.6,183
AVERAGE,,14,36,32,24,8,25,23,29,28,17,8,61,,,94.5,183
MINIMUM,,,24,8,11,,,18,29,25,4,,14,,,92.2,183
WASHINGTON ODOC,54 55,,,,,,,,,,,,,,,89.0,183
NUMBER OF SAMPLES,,,4,1,3,3,4,3,4,4,2,,,,,94.8,183
,,,26,8,7,,3,20,1,15,5,,,,,93.8,183
AVERAGE,,,22,8,4,,,7,,8,2,,,,,94.7,183
MINIMUM,,,19,8,,,,,,,,,,,,91.3,183
CHICAGO PLL,54 55,,,,,,,,,,,,,,,87.0,183
NUMBER OF SAMPLES,,2,4,,,2,9,5,3,4,6,3,3,,,91.5,183
MAXIMUM,,45,,,,5,19,36,76,47,86,57,119,,,94.4,183
AVERAGE,,37,41,,,2,5,16,34,36,46,36,71,,,94.8,183
MINIMUM,,29,32,,,,,,,27,25,19,44,,,91.1,183
DETROIT MICH,53 54,,,,,,,,,,,,,,,92.5,183
NUMBER OF SAMPLES,,,2,3,4,1,1,,,,,21,,,,94.8,183
MAXIMUM,,,129,172,102,2,69,,,,,67,,,,95.0,183
AVERAGE,,,119,118,46,2,69,,,,,33,,,,95.6,183
MINIMUM,,,109,91,10,2,69,,,,,10,,,,92.3,183
CIUNCENNATI OHIO,54,,,,,,,,,,,,,,,78.0,183
NUMBER OF SAWPLES,,1,5,34,14,8,17,,6,10,5,1,4,,,93.4,183
MAXIMUM,,26,37,56,33,14,16,2,7,14,12,25,55,,,86.8,183
AVERAGE,,26,18,12,9,4,2,,2,6,3,25,,,,92.4,183
Mint MUM,,26,1,,,,,,,,,25,,,,58.6,183
HOUSTON TEXAS,54,,,,,,,,,,,,,,,95.0,183
NUMBER OF SAMPLES,,1,2,2,1,3,8,,,,,,,,,94.1,183
MAXIMUM,,67,19,99,21,21,47,,,,,,,,,90.0,183
AVERAGE,,67,18,67,21,9,15,,,,,,,,,95.0,183
MINIMUM,,67,17,36,21,,1,,,,,,,,,86.3,183
ANCHORAGE ALASKA,54 55,,,,,,,,,,,,,,,95.5,183
NUMBER OF SAMPLES,,1,2,2,5,4,3,,2,3,2,,2,,,95.3,183
MAXIMUM,,11,5,17,275,26,10,13,5,,4,,9,,,94.6,183
AVERAGE,,11,4,9,68,11,5,13,2,,2,,7,,,95.3,183
MINIMUM,,11,4,2,2,,,13,,,,,5,,,92.4,183
LOS ANGELES CALIF,54,,,,,,,2,,,,,,,,94.4,183
NUMBER OF SAMPLES,,,1,4,4,6,2,,,,,,,,,94.9,183
MAXIMUM,,,32,85,55,25,69,125,,,,,,,,76.7,183
AVERAGE,,,32,57,30,15,61,103,,,,,,,,94.6,183
MINIMUM,,,32,35,13,5,53,61,,,,,,,,92.1,183
re SAQENA CALIF,54 55,,,,,,,,,,,,,,,78.6,183
NUMBER OF SAMPLES,,2,4,2,3,2,3,4,2,2,4,,,,,95.5,183
MAXIMUM,,20,20,33,28,20,46,77,56,65,62,,,,,89.7,183
AVERAGE,,10,15,21,12,10,29,58,45,46,54,,,,,95.0,183
MINIMUM,,,12,9,,1,il,46,35,28,45,,,,,92.8,183
BERKELEY CALIF,54 55,,,,,,,,,,,,,,,94.2,183
NUMBER OF SAMPLES,,3,5,,2,2,2,3,2,3,4,,4,,,94.2,183
MAXIMUM,,13,23,,29,74,71,,52,48,,110,20,,,89.1,183
AVERAGE,,,19,,23,66,54,55,45,41,37,41,11,,,93.8,183
MINIMUM,,,15,,18,,38,16,39,31,25,10,3,,,90.3,183
SAN JOSE CALIF,54 55,,,,,,,,,,,,,,,94.2,183
NUMBER OF SAMPLES,,3,4,2,2,2,2,2,2,4,3,5,3,,,95.7,183
MAXIMUM,,9,19,32,40,49,70,28,47,40,48,26,10,,,90.7,183
AVERAGE,,7,14,28,36,42,35,27,39,25,27,16,4,,,94.1,183
,,5,7,25,32,35,1,26,32,19,16,8,,,,93.4,183
PORTLAND OREGON,54,,,,,,,,,,20,20,,,,94.0,183
NUMBER OF SAMPLES,,,2,6,3,3,,,,,,,,,,95.0,183
MAXIMUM,,,31,16,14,9,,,,,55,178,,,,90.3,183
AVERAGE,,,21,5,8,5,,,,,30,26,,,,90.4,183
Mint MUM,,,12,,1,,,,,,12,3,,,,77.5,183
SUBURBAN,,,,,,,,,,,,,,,,95.0,183
HAMILTON COUNTY OHIO,54 35,,,,,,,,,,,,,,,89.2,183
NUMBER OF SAMPLES,,,1,3,1,1,3,4,4,4,4,3,2,,,95.9,183
MAXIMUM,,,10,38,17,,18,13,10,,4,7,9,,,91.9,183
AVERAGE,,,10,4,17,,6,3,5,3,3,3,,,,95.7,183
MINIMUM,,,10,1,17,,,,,2,2,2,,,,93.9,183
