Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,,,,,40,10,,1,1,1,10,,tt,,,,,90.0,101
,1,,,,,10,,,1,1,7,,,,,,,91.0,101
,1,55 56,36,,40,10,,,1,1,9,10,20,22,23,,,93.5,101
BOSTON MASS,1,55,23,,60,6,,,,1,1,1,1,7,23,,,95.1,101
EVERETT MASS,1,55,26,,100,19,,1,1,1,6,11,23,41,53,,,93.6,101
ELIZABETH N J,1,55 56,20,,5,,,,,,1,1,1,,1,,,89.4,101
PAULSBORO WN J,1,55 56,23,,,,,,,,1,1,1,1,1,,,90.5,101
CAMDEN N oJ,1,55 56,19,,9,,,,,,1,1,1,1,1,,,91.2,101
PERTH AMBOY N J,1,55 56,21,,10,,,,,,1,1,1,1,,,,92.5,101
TRENTON N J,1,55 56,16,,39,6,,,,1,1,1,1,14,19,,,94.3,101
JERSEY CITY N J,1,55 56,21,,52,8,,,,1,1,1,7,16,31,,,94.6,101
NEW YORK WN Y,2,56,39,,140,10,,,1,1,1,1,7,17,29,,,90.8,101
,3,54 55,18,,140,10,,,,1,1,1,6,7,14,,,95.1,101
,,54 56,,,39,10,,,1,1,1,13,17,27,31,,,95.7,101
PHILADELPHIA PA,,,94,,53,6,,,,1,1,1,6,12,23,,,91.8,101
,,56,11,,11,3,,,,1,1,1,7,8,10,,,94.9,101
,1,55 56,105,,536,6,,,,1,1,1,6,11,21,,,94.0,101
,4,56,11,,74,10,,,1,1,1,5,11,14,17,,,93.8,101
,5,56,,,5,1,,,,1,,1,1,1,4,,,95.4,101
,6,546,11,,37,4,,,,1,1,1,1,5,6,,,91.0,101
,7,,11,,50,8,,,1,1,6,7,10,11,12,,,93.5,101
,,55,94,,53,6,,,,1,1,1,6,,23,,,95.4,101
,,56,53,,74,5,,,,1,1,1,5,8,12,,,89.5,101
,,55 56,47,,74,6,,,,1,1,1,5,10,18,,,93.5,101
ALTOONA PA,1,56,13,,20,4,,,1,1,1,1,7,9,11,,,93.9,101
BRISTOL PA,1,55 56,18,,15,,,,,,1,1,1,1,,,,94.9,101
CHESTER PA,,55 56,18,,33,5,,,,1,1,1,6,10,17,,,95.2,101
ERIE PA,1,56,25,,100,16,,,1,1,6,7,22,28,31,,,91.7,101
PITTSBURGH PA,1,56,21,,70,20,1,6,8,10,21,22,28,31,40,,,94.4,101
WILLEAMSPORT PA,1,55 56,23,,60,18,,1,1,1,20,22,28,31,53,,,92.7,101
WASHINGTON oc,2,56,17,,40,14,1,1,6,190,20,20,ai,22,23,,,92.8,101
LOUISVILLE KY,1,54,17,,95,33,3,3,8,14,31,38,42,54,57,,,93.9,101
,1,55,21,,66,18,,1,2,3,6,8,23,42,62,,,95.2,101
,1,54 55,38,,95,25,1,2,3,6,8,27,39,52,62,,,95.0,101
,2,54,13,,3,1,,1,1,1,1,2,2,2,3,,,94.3,101
,2,55,10,,5,1,,,1,1,1,1,2,2,3,,,94.3,101
,2,54 55,23,,5,1,,,1,1,1,2,2,2,3,,,95.0,101
,,54,31,,95,19,,1,2,2,3,12,27,40,54,,,93.5,101
,,595,31,,66,12,,1,1,2,2,3,6,23,,,,93.1,101
,,54 55,62,,95,16,,1,1,2,3,6,12,38,57,,,91.9,101
CHARLESTON W VA,4,55,16,,100,31,,1,1,10,11,39,42,66,77,,,90.4,101
TAMPA FLA,1,35,21,,50,18,,1,1,1,21,28,29,31,42,,,91.9,101
ATLANTA GA,1,55 56,16,,200,45s,1,1,21,21,23,42,53,66,89,,,92.9,101
CHATTANOOGA TENN,3,55,14,,55,14,,1,1,6,7,10,23,29,42,,,94.2,101
,4,55 56,18,,100,31,1,10,10,28,29,30,31,42,66,,,94.4,101
,,36,32,,100,23,,1,,10,23,28,30,39,,,,93.6,101
CHICAGO ILEL,1,55,28,,100,17,,,1,1,6,11,23,31,53,,,83.9,101
,2,55,20,,100,43,1,11,31,38,41,53,60,66,83,,,94.2,101
,4,55,29,,100,12,,,1,1,5,6,9,11,42,,,95.2,101
,,55,77,,100,22,,1,1,5,10,20,37,51,64,,,93.4,101
EAST ST LOUIS PEL,1,55 56,15,,300,101,31,38,42,51,55,57,89,201,315,,,89.6,101
,2,55 56,14,,80,28,1,8,20,21,22,23,31,42,66,,,91.1,101
,,55 56,29,,300,6 6,8,21,23,31,41,51,,77,201,,,92.9,101
EAST CHICAGO INO,,,,,200,,,,,0,11,21,,42,103,,,90.2,102
,2,55 56,26,,220,25,,1,1,2,21,28,29,38,41,,,95.3,102
,3,55 56,2i,,40,11,,1,1,2,6,11,21,22,29,,,91.9,102
,4,55 56,20,,20,7,,,1,1,2,3,14,20,22,,,94.8,102
,,55 56,86,,220,20,,1,1,4,10,20,22,29,39,,,94.7,102
CINCINNATI OHIO,1,55,23,,100,31,1,12,20,22,29,30,38,42,63,,,94.4,102
MINNEAPOLIS MINN,1,54 35,21,,70,20,,1,6,7,20,21,23,31,57,,,93.5,102
KANSAS CITY MO,2,56,,,100,23,6,8,10,17,21,23,28,29,30,,,95.4,102
,4,55 56,,,20,6,,1,1,,5,5,,,11,,,94.9,102
,,55 56,27,,100,17,1,5,6,9,11,20,22,28,29,,,92.5,102
ST LoUuItS MO,1,56,23,,200,27,,1,11,20,22,23,28,31,53,,,87.3,102
NEW ORLEANS LA,1,54 55,24,,200,27,,1,8,9,10,il,21,23,96,,,94.8,102
,2,54 55,22,,300,50,1,5,10,,20,23,31,66,201,,,92.5,102
,,54,46,,300,38,1,4,9,10,11,21,23,42,98,,,95.1,102
FT WORTH TEXAS,1,54 55,24,,40,7,,,,1,1,1,11,21,23,,,91.2,102
HOUSTON TEXAS,1,54 35,64,,1500,73,1,3,4,6,10,20,23,39,77,,,93.6,102
BELLAIRE TEXAS,1,55,31,,1400,186,1,3,5,10,21,23,38,42,1198,,,95.1,102
DENVER COL,1,54 55,23,,100,29g,2,10,,20,22,23,39,42,57,,,92.5,102
SALT LAKE UTAH,2,54 55,26,,70,16,1,3,4,6,10,11,22,29,31,,,93.4,102
ANCHORAGE ALASKA,1,54 55,13,,700,111,,,1,1,1,11,2i,23,528,,,90.7,102
SAN FRANCISCO CALIF,1,55,32,,50,9,,,1,1,4,8,10,21,23,,,92.7,102
PASADENA CALIF,1,55 56,20,,30,8,,1,1,5,8,9,10,11,,,,94.9,102
SAN JOSE CALIF,1,55 56,25,,42,8,,,1,1,1,8,10,11,34,,,93.6,102
SAN LEANDRO CALIF,1,55 36,30,,300,38,1,1,10,19,21,22,28,39,96,,,93.0,102
PORTLAND OREGON,1,54 55,20,,50,20,1,,10,,21,23,28,30,31,,,95.1,102
