Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Col_18,Avg_Confidence,Page_Num
WATERBURY CONN,1,55,14,,10,4,1,2,,3,4,4,7,7,8,,,95.7,114
,1,56,22,2,10,4,1,2,,3,3,4,,8,190,,,91.3,114
,1,55 56,36,,10,4,1,2,,3,3,4,5,7,9,,,93.9,114
BOSTON MASS,1,55,23,,3,1,,1,,,1,1,,2,2,,,94.1,114
EVERETT MASS,1,55,26,,70,7,,1,1,2,2,3,4,5,6,,,95.4,114
ELIZABETH N J,1,55 56,20,1,5,2,1,,1,2,2,2,3,3,4,,,95.1,114
PAULSBORO N J,1,55 56,23,,6,2,,1,1,1,2,2,2,3,4,,,92.9,114
CAMDEN N J,1,55 56,19,2,7,3,1,2,2,2,2,3,3,4,5,,,94.0,114
PERTH AMBOY N J,1,55 56,21,,12,3,1,1,1,2,2,3,3,4,7,,,92.7,114
TRENTON N J,1,55 56,16,,6,2,1,1,1,1,2,2,3,4,4,,,94.8,114
JERSEY CITY N J,1,55 56,21,,12,3,1,2,2,2,3,3,4,4,7,,,92.4,114
NEW YORK N Y,2,55 56,21,,29,7,1,2,3,3,5,6,7,14,15,,,94.5,114
,,,18,,43,5,1,2,2,2,3,3,4,4,5,,,92.1,114
,3,54 55,,,,,,,,,,,,,,,,95.7,114
,,,,,,,,,,,,,,6,,,,93.0,114
,,54 56,39,,43,6,1,2,2,3,3,4,5,,14,,,95.1,114
,,,,,,,,1,2,2,2,2,3,4,5,,,94.4,114
PHILADELPHIA PA,1,95,94,,11,3,1,,,,,,,,,,,89.8,114
,1,56,11,2,7,4,2,2,2,3,4,4,5,,6,,,93.0,114
,1,55 56,105,,11,3,1,1,2,2,2,3,3,,5,,,93.9,114
,4,56,11,,140,17,1,2,2,3,3,6,9,10,19,,,93.3,114
,5,56,,1,14,5,1,2,3,3,4,4,6,6,9,,,92.8,114
,6,56,11,,6,2,1,1,1,1,2,2,2,2,5,,,94.9,114
,7,56,11,2,42,8,1,2,2,2,3,4,5,8,15,,,94.6,114
,,55,94,,11,3,1,1,2,2,2,2,3,4,5,,,94.9,114
,,56,53,,140,7,1,1,2,2,3,4,5,6,10,,,93.5,114
,,55 56,47,,140,4,1,1,2,2,2,3,4,5,7,,,94.4,114
ALTOONA PA,1,56,13,,3,2,,1,1,1,2,2,2,2,3,,,95.1,114
BRISTOL,1,55 56,i8,,8,2,,1,1,1,1,2,3,3,4,,,91.0,114
CHESTER PA,1,55 56,18,,7,2,1,1,1,2,2,2,3,3,4,,,93.1,114
