Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Col_17,Avg_Confidence,Page_Num
CONNECTICUT TOTAL,,,,383,197,108,,146,162,,213,235,278,302,,,91.8,94
MASSACHUSETS TOTAL,55,Si,32,225,93,39,52,63,74,B86,95,119,131,151,,,91.3,94
NEW HAMPSHRE TOTAL,57,17,22,273,103,34,60,79,91,96,99,104,128,136,,,93.9,94
NEW JERSEY TOTAL,55 56,130,,434,169,80,97,124,134,161,178,200,239,248,,,91.5,94
NEW YORK TOTAL,54 57,99,,510,228,85,1 40,170,205,241,260,283,310,363,,,93.8,94
PENNSYLVA NIA TOTAL,54 57,548,,878,224,88,1 17,147,173,200,,259,298,394,,,94.6,94
DIS COLUM BIA TOTAL,54 56,46,4,274,107,4,8,26,74,108,136,156,196,235,,,93.7,94
KENTUCKY TOTAL,54 57,72,2,415,148,9,69,98,122,142,164,190,229,280,,,93.5,94
MARYLAND TOTAL,57,19,10,254,120,32,,91,104,119,136,146,156,235,,,95.0,94
NO CAROLI nan TOTAL,57,25,29,,76,30,45,60,69,81,85,91,100,114,,,93.4,94
VIRGINIA TOTA L,57,23,62,234,,91,1,108,115,125,130,136,156,205,,,93.8,94
WEST VIRG INA TOTAL,54 57,28,,461,166,4,5,60,91,136,205,270,,356,,,93.7,94
FLORIDA T OTAL,54 57,35,,173,69,3,6,26,64,74,85,104,115,136,,,92.6,94
GEORGIA T OTAL,54 56,26,1,332,69,3,5,,39,69,83,91,112,128,,,94.8,94
TENNESSEE TOT AL,55 57,57,,321,104,31,49,74,86,104,113,129,145,156,,,94.4,94
ILLINOIS TOTA L,54 57,151,,540,1953,79,1 11,130,149,177,205,241,285,333,,,87.5,94
T OTAL,55 57,111,32,492,193,88,1 10,124,144,172,194,228,261,338,,,94.0,94
MICHIGAN TOTA L,53 54,33,,462,82,1,4,,,63,104,123,136,192,,,92.9,94
OHIO TOTAL,54 57,221,1,395,98,5,8,16,38,79,114,145,179,229,,,93.2,94
WISCONSIN TOT AL,57,19,22,274,116,45,79,91,96,101,104,119,146,220,,,90.2,94
1OwA TOTAL,57,26,35,425,123,52,60,81,86,98,119,136,168,205,,,92.2,94
ANSAS TOTAL,57,25,27,167,63,30,41,45,52,60,63,68,79,119,,,94.6,94
INNESOTA TOT AL,54 55,35,3,317,74,4,8,12,20,69,85,119,132,156,,,93.0,94
TOTA L,54 56,65,2,439,140,6,30,69,96,119,,210,240,290,,,93.3,94
ORTH DAKOTA TOTAL,57,23,18,142,48,19,28,34,37,43,52,56,60,79,,,92.8,94
OUISIANA TOT AL,57,54,1,136,60,9,27,41,32,59,66,79,91,112,,,90.8,94
0 KLAHOMA TOTA L,37,19,8,126,56,20,34,40,43,45,52,69,79,98,,,90.8,94
EXAS TOTAL,54 57,73,,336,71,2,13,36,48,61,73,89,109,146,,,94.5,94
OLORADO TOTA L,54 55,26,2,273,61,4,23,45,47,51,65,72,B82,88,,,90.6,94
DAHO TOTAL,57,1,14,14,14,,,,,14,14,14,14,14,,,94.8,94
ONTANA TOTAL,57,1,9,,,,,,,,,,,,,,93.0,94
TAH TOTAL,54 55,31,,374,123,1,60,85,98,114,130,146,i79,247,,,93.9,94
YOMING TOTAL,57,26,26,123,54,34,39,46,48,,55,57,65,74,,,90.5,94
LASKA TOTAL,54 55,41,,,42,1,2,,22,34,42,56,74,98,,,92.7,94
ALIFORNIA TOTAL,54 57,261,,565,96,3,6,26,,71,94,122,172,,,,91.4,94
AWA I TOTAL,57,26,25,184,50,28,30,36,38,42,47,50,60,69,,,86.9,94
0 REGON TOTAL,54 55,74,1,388,110,7,10,55,84,100,119,146,,235,,,91.9,94
ASHINGTON TOTAL,57,20,,76,23,1,1,,8,15,18,30,45,69,,,94.8,94
NEW ENGLAD TOT AL,55 57,104,22,383,130,49,66,B2,95,112,,151,189,258,,,92.9,94
M10 ATUNTC TOT AL,57,777,,878,215,85,1 15,143,169,,,256,2935,365,,,88.9,94
MIO EAST TOTAL,54 57,213,,461,129,,50,79,98,116,137,164,203,258,,,93.4,94
SOUTH EAST TOT AL,54 57,118,,332,86,5,26,50,72,84,99,114,129,149,,,93.1,94
MID WEST TOTAL,57,535,,5940,144,7,30,82,110,,156,189,229,292,,,92.1,94
GRT PLAINS TOT AL,54 57,174,,439,101,10,29,44,59,73,95,124,156,235,,,93.5,94
GULF SOUTH TOT AL,54 57,246,,336,67,4,,38,47,59,70,85,102,128,,,94.2,94
ROCKY MNTN TOT AL,54 57,83,,374,80,9,37,48,52,60,75,89,119,156,,,93.7,94
PAC COAST TOTAL,54 37,422,,565,86,2,7,24,45,61,79,107,149,204,,,92.8,94
GRAND TOTAL,53 57,2674,,878,139,8,43,67,91,116,143,179,225,288,,,92.8,94
