Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONAN,55 56,,,,,,,,,,,,,,,77.8,211
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,4,1,4,3,2,,,95.9,211
MAXIMUM,,60,100,200,100,70,70,60,40,70,200,300,200,,,94.7,211
AVERAGE,,55,100,112,82,66,46,56,32,70,1232,166,150,,,88.3,211
Miki MUM,,,100,70,70,60,30,50,30,70,90,100,100,,,92.3,211
BOSTON MASS,55,,,,,,,,,,,,,,,92.7,211
NUMBER OF SAMPLES,,1,2,4,1,1,2,2,4,200,2,2,1,,,94.8,211
MAXIMUM,,190,100,200,,50,60,100,100,,100,300,100,,,95.1,211
AVERAGE,,190,85,,50,50,40,65,45,200,95,153,100,,,94.3,211
MINIMUM,,190,70,60,50,50,20,30,2,200,90,6,100,,,89.7,211
EVERETT MASS,55,,,,,,,,,,,,,,,95.0,211
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,4,1,2,,,94.5,211
MAXIMUM,,100,300,200,7,300,70,100,100,30,20,70,300,,,94.9,211
AVERAGE,,70,113,120,7,,46,55,52,20,20,70,200,,,92.8,211
MINIMUM,,40,10,60,7,90,30,5,4,10,20,70,100,,,88.8,211
ELIZABETH WN J,55 56,,,,,,,,,,,,,,,86.6,211
NUMBER OF SAMPLES,,3,2,3,5,1,,1,2,1,,1,2,,,95.5,211
MAX MUM,,54,67,180,170,17,,5,38,48,,76,160,,,89.5,211
AVERAGE,,43,42,76,72,17,,5,24,48,,76,107,,,94.5,211
MIN 1MUM,,30,17,,17,17,,5,10,48,,76,54,,,87.5,211
PAULSBORO AN J,55 56,,,,,,,,,,,,,,,63.0,211
NUMBER OF,,2,4,3,5,2,1,4,1,,2,,1,,,94.6,211
MAX 1MUM,,42,150,234,78,10,29,21,3,,32,,5,,,92.3,211
AVERAGE,,37,88,108,36,7,29,9,3,,24,,5,,,92.8,211
MIN,,33,13,45,3,4,29,4,3,,17,,5,,,91.1,211
CAMDEN N J,55 56,,,,,,,,,,,,,,,85.2,211
NUMBER OF SAMPLES,,2,3,3,2,,1,1,2,3,2,,2,,,95.3,211
MAX iMuM,,48,120,53,13,,10,20,18,22,16,,40,,,89.8,211
AVERAGE,,47,74,36,9,,10,20,14,17,13,,31,,,95.4,211
MIN MUM,,46,35,13,6,,10,20,,12,,,22,,,86.3,211
PERTH AMBOY No,55 56,,,,,,,,,,,,,,,80.0,211
NUMBER OF SAMPLES,,3,1,4,5,,,1,2,,2,3,2,,,94.2,211
MAX IMUM,,11,8,91,120,,,3,13,,68,45,53,,,91.4,211
AVERAGE,,9,8,46,,,,3,10,,40,25,38,,,95.2,211
WIN,,7,8,,4,,,3,8,,12,14,23,,,88.3,211
TRENTON WN J,55 56,,,,,,,,,,,,,,,76.0,211
NUMBER OF SAMPLES,,3,2,1,1,1,1,2,1,,1,1,3,,,93.6,211
MAX iMUM,,56,140,50,5,3,12,6,7,,56,25,98,,,90.7,211
AVERAGE,,36,76,50,5,3,12,5,7,,56,25,45,,,95.4,211
MIN 1MUM,,16,12,50,5,3,le,5,7,,56,25,12,,,85.1,211
JERSEY CITY N J,56,,,,,,,,,,,,,,,92.8,211
NUMBER OF SAMPLES,,2,3,4,120,,2,2,2,1,,,,,,95.0,211
MAX IMUM,,130,230,600,,,84,23,110,89,,130,160,,,89.0,211
AVERAGE,,106,150,252,75,,74,22,76,B89,,130,119,,,92.6,211
MIN,,B82,110,28,36,,65,22,42,89,,130,79,,,91.5,211
NEW YORK W Y,54 56,,,,,,,,,,,,,,,90.7,211
NUMBER OF SAWMFLES,,4,6,5,8,5,10,7,5,6,6,7,,,,91.9,211
MAX MUM,,572,640,590,410,387,300,300,100,290,266,720,998,,,89.2,211
AVERAGE,,355,315,363,313,223,148,151,46,116,192,432,455,,,92.4,211
MIN 1 MUM,,66,19,2,150,4,18,12,,16,72,252,110,,,84.2,211
PHILADELPHIA PA,54 56,,,,,,,,,,,,,,,73.8,211
NUMBER OF,,20,16,14,15,19,12,13,13,10,8,8,9,,,90.8,211
MAX 1MUM,,448,330,110,465,280,110,66,73,83,58,120,170,,,93.0,211
AVERAGE,,99,117,55,74,52,34,24,31,32,30,59,76,,,93.5,211
MIN IMUM,,4,9,3,,1,6,,6,13,10,12,18,,,92.4,211
BRISTOL PA,55 56,,,,,,,,,,,,,,,89.2,211
