Col_1,Col_2,Col_3,Col_4,Col_5,Col_6,Col_7,Col_8,Col_9,Col_10,Col_11,Col_12,Col_13,Col_14,Col_15,Col_16,Avg_Confidence,Page_Num
WATERBURY CONN,55 56,,,,,,,,,,,,,,,94.8,172
NUMBER OF SAMPLES,,2,2,4,5,3,3,3,4,1,,3,2,,,95.6,172
MAXIMUM,,20,60,80,,2800,20,40,20,40,90 52,100,100,,,91.9,172
AVERAGE,,20,40,40,32,946,16,26,12,40,,66,80,,,95.3,172
MINIMUM,,20,20,20,20,20,10,20,9,40,30,50,60,,,94.7,172
BOSTON MASS,55,,,,,,,,,,,,,,,85.3,172
NUMBER OF SAMPLES,,1,2,4,1,1,2,2,4,1,2,2,1,,,91.5,172
MAXIMUM,,60,30,50,10,20,20,300,30,70,40,60,40,,,94.0,172
AVERAGE,,60,25,35,10,20,12,170,15,70,35,45,40,,,95.2,172
MINIMUM,,690,20,20,10,20,5,40,190,70,30,30,40,,,88.8,172
EVERETT MAS S,55,,,,,,,,,,,,,,,77.0,172
NUMBER OF SAMPLES,,3,3,3,1,2,3,3,2,2,,1,2,,,95.1,172
MAX I MUM,,20,80,50,4,80,20,40,30,30,70,20,60,,,89.3,172
AVERAGE,,16,39,30,4,55,12,17,16,18,70,20,40,,,94.3,172
MIN MUM,,8,8,10,4,30,6,3,3,7,70,20,20,,,95.7,172
EL 1ZABETH WN,55 56,,,,,,,,,,,,,,,66.4,172
NUMBER OF SAMPLES,,3,2,2,5,1,,1,2,1,,1,2,,,94.6,172
MAX I MUM,,16,10,,35,10,,3,27,30,,25,40,,,91.2,172
AVERAGE,,13,8,38,19,10,,3,16,30,,25,25,,,95.0,172
MIN MUM,,9,6,i8,9,10,,3,6,30,,25,10,,,91.3,172
PA ULSBORO N,55 56,,,,,,,,,,,,,,,92.4,172
NUMBER OF SAMPLES,,2,4,2,4,,1,4,1,,2,,1,,,95.0,172
MAX MUM,,24,S1,40,23,5,il,22,4,,18,,7,,,92.7,172
AVERAGE,,21,33,25,15,4,11,9,4,,16,,7,,,94.4,172
Mi N I MUM,,19,16,11,10,3,11,4,4,,15,,7,,,88.6,172
CA MDEN N J,55 56,,,,,,,,,,,,,,,86.3,172
NUMBER OF SAMPLES,,2,3,2,1,,1,1,2,3,2,,2,,,94.6,172
MAX MUM,,25,72,28,10,,7,14,95,17,12,,19,,,94.8,172
AVERAGE,,24,42,28,10,,,14,61,12,11,,18,,,95.1,172
MIN MUM,,24,26,26,10,,7,14,28,9,10,,17,,,94.1,172
PERTH AMBOY N J,55 56,,,,,,,,,,,,,,,93.0,172
NUMBER OF SAMPLES,,3,1,3,4,,,1,2,,2,3,2,,,94.9,172
MAX I MUM,,39,8,21,53,,,5,19,,38,26,18,,,88.8,172
AVERAGE,,15,8,19,32,,,5,16,,24,13,15,,,95.4,172
Mtn I MUM,,3,8,19,14,,,5,13,,190,6,13,,,89.3,172
TRENTON WN J,55 56,,,,,,,,,,,,,,,86.6,172
NUMBER OF SAMPLES,,3,2,1,,1,1,2,1,,1,1,3,,,91.8,172
MAX MUM,,20,41,45,,,7,4,4,,35,15,30,,,95.5,172
AVERAGE,,13,30,45,,,7,3,4,,35,15,18,,,94.9,172
MIN I MUM,,9,19,45,,,7,3,4,,35,15,11,,,93.0,172
JERSEY cIiTy NJ,55 56,,,,,,,,,,,,,,,76.2,172
NUMBER OF SAMPLES,,2,3,3,3,,2,2,2,1,,1,2,,,93.5,172
MAX MUM,,34,100,150,29,,45,18,41,28,,30,42,,,95.3,172
AVERAGE,,27,72,85,25,,43,13,38,28,,30,32,,,95.2,172
MIN MUM,,20,46,41,22,,41,9,35,28,,30,22,,,92.3,172
NEw YORK WN,54 56,,,,,,,,,,,,,,,88.8,172
NUMBER OF SAMPLES,,1,3,1,4,1,,4,4,2,3,4,4,,,95.6,172
MAX IMUM,,89,84,58,110,68,60,100,60,41,95,210,137,,,92.4,172
AVERAGE,,89,66,58,78,68,38,67,26,40,69,119,91,,,95.5,172
MIN,,89,55,58,30,68,21,21,1,40,54,68,45,,,93.5,172
Pu ILADELPHI A PA,55 56,,,,,,,,,,,,,,,84.7,172
NUMBER OF SAMPLES,,17,13,13,,18,12,13,13,10,8,8,9,,,92.5,172
MAX,,120,69,43,98,130,74,23,40,40,52,,83,,,95.2,172
AVERAGE,,39,36,20,27,26,22,11,18,20,20,35,41,,,95.5,172
MIN tMUM,,9,11,9,9,8,5,1,6,8,12,,15,,,88.5,172
AL TOONA PA,56,,,,,,,,,,,,,,,93.2,172
NUMBER OF SAMPLES,,,1,1,2,3,,,1,2,2,1,,,,93.9,172
MAX 1MUM,,,3,7,8,10,,,8,10,10,8,,,,87.4,172
AVERAGE,,,3,7,6,6,,,8,6,5,8,,,,94.9,172
MIN,,,3,7,5,3,,,8,3,,8,,,,93.2,172
BR PA,55 56,,,,,,,,,,,,,,,95.2,172
NUMBER OF SAMPLES,,,1,1,1,2,,2,1,4,2,2,2,,,95.6,172
MAX IMUM,,,17,12,3,3,,13,,17,9,9,17,,,89.5,172
AVERAGE,,,17,12,3,1,,6,,6,4,7,16,,,93.2,172
MiWN,,,17,12,3,,,,,3,,5,,,,90.5,172
CH ESTER PA,55 56,,,,,,,,,,,,,,,93.8,172
NUM BER OF SAMPLES,,,1,,2,2,2,2,3,4,1,,,,,94.2,172
MAX 1MUM,,,17,,98,5,12,10,57,14,6,,11,,,91.4,172
AVERAGE,,,17,,53,2,8,10,24,10,6,,11,,,95.4,172
MIN,,,17,,8,,5,10,7,7,6,,11,,,91.4,172
ER bE PA,56,,,,,,,,,,,,,,,87.5,172
NUM BER OF SAMPLES,,3,1,2,3,2,1,1,,3,4,2,3,,,94.5,172
MAX,,20,4,6,5,20,4,3,,5,7,,4,,,92.6,172
AVERAGE,,13,4,6,2,10,4,3,,3,3,4,3,,,93.3,172
MIN,,9,4,6,,,4,3,,2,2,3,2,,,94.0,172
Pt TTSBURGH PA,56,,,,,,,,,,,,,,,86.8,172
NUM BER OF SAMPLES,,3,3,3,,,3,2,,,2,2,1,,,95.6,172
MAX,,10,9,40,,,100,,,20,20,10,8,,,95.3,172
AVE RAGE,,8,6,23,,,40,,,15,13,6,8,,,95.1,172
MIN MUM,,5,4,io,,,10,,,10,7,3,8,,,90.3,172
WILLEAMSPORT PA,55 56,,,,,,,,,,,,,,,84.2,173
NUMBER OF SAMPLES,,,3,1,2,3,2,1,,3,2,3,2,,,95.2,173
MAXIMUM,,,20,10,20,20,2,8,200,10,5,10,,,,93.6,173
AVERAGE,,,12,10,14,10,1,8,200,9,2,8,,,,94.7,173
MINIMUM,,,7,10,9,,,8,200,8,,6,8,,,93.9,173
WASHINGTON oc,55 56,,,,,,,,,,,,,,,89.5,173
NUMBER OF SAMPLES,,1,2,,1,3,2,1,3,,1,1,,,,95.4,173
MAXIMUM,,40,30,,20,30,40,30,20,30,40,20,,,,93.4,173
AVERAGE,,40,25,,20,23,25,30,,25,40,20,,,,95.4,173
MINIMUM,,40,20,,20,20,10,30,8,20,40,20,,,,95.2,173
LOUISVILLE KY,54 55,,,,,,,,,,,,,,,80.8,173
NUMBER OF SAMPLES,,2,3,1,1,1,3,13,13,12,6,1,6,,,92.1,173
MAXIMUM,,2,86,13,9,3,12,30,28,32,14,4,80,,,95.1,173
AVERAGE,,2,33,13,9,3,6,7,6,,7,4,21,,,95.2,173
MINIMUM,,2,3,13,9,3,,,,,2,4,2,,,94.4,173
BALTIMORE MD,57,,,,,,,,,,,,,,,89.7,173
NUMBER OF SAMPLES,,1,2,2,3,1,3,2,3,,,,,,,93.3,173
MAX1MUM,,35,45,57,B4,,33,33,56,67,,,,,,93.2,173
AVERAGE,,35,43,37,60,53,26,31,34,67,,,,,,94.6,173
MINIMUM,,35,42,17,21,53,19,29,19,67,,,,,,91.0,173
CHARLESTON W VA,55,,,,,,,,,,,,,,,91.8,173
NUMBER OF SAMPLES,,,1,,,2,2,,,1,3,2,1,,,88.4,173
MAXIMUM,,,8,,,20,10,5,10,9,8,100,,,,86.3,173
AVERAGE,,,8,,,11,6,4,10,9,6,50,7,,,93.8,173
MINtMUM,,,8,,,3,3,3,10,9,3,,7,,,89.8,173
TAMPA FLA,55,,,,,,,,,,,,,,,95.0,173
NUMBER OF SAMPLES,,2,1,1,3,2,1,,,3,1,2,,,,94.6,173
MAXIMUM,,20,8,20,5,,3,,20,9,,3,4,,,91.4,173
AVERAGE,,11,8,20,4,4,3,,12,6,,2,4,,,95.2,173
MINIMUM,,3,8,20,,3,3,,5,5,7,2,4,,,94.3,173
ATLANTA GA,55 36,,,,,,,,,,,,,,,83.5,173
NUMBER OF SAMPLES,,1,1,,,1,1,,1,,1,1,1,,,93.4,173
MAXIMUM,,10,7,6 9,,60,3,20,7,,10,6,8,,,91.8,173
AVERAGE,,10,7,,5,60,3,10,7,,10,6,8,,,88.5,173
MINIMUM,,10,7,,,60,3,3,7,,10,6,8,,,94.7,173
CH ATTANOOGA TENN,55 56,,,,,,,,,,,,,,,92.8,173
NUMBER OF SAMPLES,,1,,3,2,2,,1,,4,5,3,2,,,91.6,173
,,,6,30,3,8,,3,,9,18,4,10,,,92.8,173
AVERAGE,,,,13,1,6,,3,4,5,8,3,7,,,93.7,173
MIiENIMUM,,,,4,,,,3,2,3,2,2,4,,,85.8,173
CH AGO Pel,55,,,,,,,,,,,,,,,71.0,173
NUMBER OF SAMPLES,,2,3,6,3,8,11,9,6,4,10,10,,,,91.3,173
MAXIMUM,,10,50,100,70,50,100,20,30,30,30,30,50,,,89.9,173
AVERAGE,,9,30,33,39,15,20,7,1i,i9,13,16,30,,,93.7,173
MINIMUM,,9,10,3,9,4,6,,4,7,5,7,20,,,93.7,173
EA ST ST LOUIS PLL,56,,,,,,,,,,,,,,,79.8,173
NUMBER OF SAMPLES,,4,2,2,2,,3,1,4,3,1,2,3,,,95.0,173
MAXIMUM,,50,6,200,30,50,9,10,10,60,3,9,20,,,94.3,173
AVERAGE,,21,5,104,19,26,6,10,9,23,3,7,14,,,94.1,173
MINIMUM,,4,5,8,9,3,4,10,6,2,3,6,4,,,95.2,173
EA ST CHICAGO INO,55 56,,,,,,,,,,,,,,,87.3,173
NUMBER OF SAMPLES,,6,5,14,7,4,6,10,5,7,6,8,8,,,92.2,173
MAXIMUM,,60,30,70,50,30,30,11,100,20,30,30,40,,,95.6,173
AVERAGE,,30,15,27,26,20,12,6,24,9,21,10,13,,,94.5,173
MINIMUM,,5,6,4,4,10,2,1,4,5,7,5,3,,,93.9,173
NCINNATI OHIO,55,,,,,,,,,,,,,,,90.7,173
NUMBER OF SAMPLES,,2,,2,2,2,2,2,3,2,2,2,2,,,95.8,173
MAXIMUM,,10,,20,10,10,12,10,10,9,22,99,10,,,93.1,173
AVERAGE,,8,,13,7,7,11,,8,4,14,54,10,,,95.3,173
MINIMUM,,6,,6,5,5,10,5,4,,6,10,10,,,87.5,173
YOUNGSTOWN OHIO,57,,,,,,,,,,,,,,,94.7,173
NUMBER OF SAMPLES,,,,1,2,1,1,2,2,1,2,,,,,89.9,173
,,,,23,50,33,16,46,53,21,51,,,,,94.1,173
AVERAGE,,,,23,38,33,16,39,42,21,46,,,,,95.3,173
MINIMUM,,,,23,26,33,16,33,31,21,42,,,,,95.0,173
MI LWAUKEE wis,57,,,,,,,,,,,,,,,72.2,173
NUMBER OF SAMPLES,,2,2,2,3,2,1,2,2,2,1,,,,,91.3,173
MAXIMUM,,58,70,39,55,25,11,22,17,36,18,,,,,94.3,173
AVERAGE,,49,44,27,36,22,11,20,16,28,18,,,,,95.5,173
MINIMUM,,41,19,15,25,19,11,19,16,20,18,,,,,88.8,173
